"Gene","ModuleColor","kME_black","p.kME_black","GS_Activation_Status.Activated","PValue"
"NFYA","black",-0.813319082564533,1.80070255615643e-10,-0.406315133094023,0.00927952771894327
"BAD","black",0.915842108850976,1.22164066295372e-16,0.621240495720699,1.88822354412595e-05
"CD99","black",0.794078253340724,9.69397012210706e-10,0.719471653376169,1.6851134524005e-07
"CD38","black",0.804681047036365,3.92272830412718e-10,0.698394734276683,5.42495382376806e-07
"GDE1","black",0.719516283907752,1.68076055296027e-07,0.301165343745615,0.0589662428881753
"PHTF2","black",0.833844026579854,2.38316700102762e-11,0.620163732029854,1.97090831357404e-05
"MARK4","black",0.78406875911774,2.17311726481849e-09,0.466902622607939,0.00238796222212101
"ADAM22","black",-0.82240147912119,7.59688915207119e-11,-0.657527516770082,4.03304039864555e-06
"ABHD5","black",0.796273777019184,8.07296269017899e-10,0.444666876688185,0.00404318495320495
"MVP","black",0.856147464489664,1.89164363173142e-12,0.642952330110708,7.68065836182406e-06
"ANGEL1","black",-0.788640408095787,1.51108759444054e-09,-0.29240039342117,0.0671146080775338
"CD74","black",0.802948345424634,4.56465776606163e-10,0.409441243176245,0.00870197191380431
"TNFRSF1B","black",0.891306936386267,1.26680361684886e-14,0.723918831666912,1.29909316345646e-07
"TMSB10","black",0.914829723483673,1.51951609953139e-16,0.78106511376455,2.74605634187613e-09
"ZZZ3","black",-0.882490782086325,5.14918390252777e-14,-0.508616795456045,0.000804903040539259
"SLC4A8","black",0.793062711570094,1.05423694530103e-09,0.496538767793815,0.00111853608729875
"SEC61A1","black",0.746528341769497,3.19071701096021e-08,0.415078753164628,0.00773812216350182
"UNKL","black",-0.894750793054133,7.087141106534e-15,-0.730922297159191,8.53591100253273e-08
"SLC12A2","black",0.783794146694686,2.22044947761907e-09,0.365616988994927,0.0203404393162121
"ATXN3","black",-0.823822901480186,6.6079059308981e-11,-0.604261556377672,3.64510662326303e-05
"ZFAT","black",-0.80934164930683,2.58977046375456e-10,-0.563157013175835,0.000154825535791909
"ARHGAP10","black",0.834909960536559,2.12973625876926e-11,0.500006897456423,0.0010189427389585
"FAM50A","black",0.78367123032857,2.24194548505629e-09,0.757876291152252,1.49059549782621e-08
"IL4R","black",0.837224916032673,1.66373110901434e-11,0.788632331060926,1.51206972372644e-09
"CAPZB","black",0.867452661084828,4.42825465934055e-13,0.598188256469592,4.57051313309713e-05
"N4BP2","black",0.848118827355868,4.93212522267611e-12,0.702515935403128,4.35054177726828e-07
"DLG3","black",0.831508250418991,3.04062801306399e-11,0.694284899386187,6.73616930214857e-07
"NFX1","black",-0.810792999064525,2.27039500295696e-10,-0.611774263550677,2.73748812582283e-05
"TMED2","black",0.809262829961224,2.60826440181154e-10,0.84340460048417,8.44197194427287e-12
"SH3BP2","black",0.771169059776512,5.78948061737913e-09,0.595154933021961,5.10853345789794e-05
"MAPKAPK5","black",-0.81976049951686,9.81227818278442e-11,-0.688131186278703,9.25423583390467e-07
"SLC9A1","black",0.925055467395893,1.46450823965709e-17,0.592104769640269,5.70698423045859e-05
"PCBP4","black",0.864473079142107,6.57493371867648e-13,0.485124183677871,0.00151005309070041
"UNC13D","black",0.946911729668729,2.53624174716695e-20,0.712803166755899,2.46665553649561e-07
"OSM","black",0.941181494523062,1.69103061430862e-19,0.662974677298195,3.14182252007958e-06
"GGT1","black",0.848887893035819,4.51035520428123e-12,0.679548246439549,1.42310744592885e-06
"LGALS1","black",0.915282334717045,1.37875072253497e-16,0.790943924541061,1.25404691811044e-09
"ANKRD54","black",0.809498002914489,2.55344652158927e-10,0.478383528525819,0.00179427211067977
"C14orf93","black",-0.736128302755987,6.19435495687228e-08,-0.465478595139174,0.00247246815177341
"SNPH","black",-0.740773650653781,4.62362369397475e-08,-0.798886840027356,6.47422193792437e-10
"PLP2","black",0.919962603193789,4.88201700075532e-17,0.81896205361576,1.05929049279935e-10
"KLF8","black",0.794395737579513,9.44211249145008e-10,0.341628913612074,0.0309653576532169
"ZNF629","black",-0.880226878772107,7.24963664676195e-14,-0.509642599816054,0.000782281121794251
"PIH1D1","black",0.819084172076756,1.04698604042803e-10,0.689221393065756,8.75283802848157e-07
"CACTIN","black",-0.72066524656989,1.57222321628667e-07,-0.593916667483537,5.34424353356505e-05
"LIMK1","black",0.840304912096619,1.19065827839074e-11,0.733235471417794,7.40919697566217e-08
"SEC61B","black",0.800523799968403,5.62899190613432e-10,0.730182081478751,8.92876463964446e-08
"NPDC1","black",0.895824123470408,5.8894302697361e-15,0.704001940168935,4.0140791333142e-07
"ZMIZ1","black",0.777288005351086,3.66673613051648e-09,0.602369566159377,3.91321886417833e-05
