"Gene","ModuleColor","kME_blue","p.kME_blue","GS_Activation_Status.Activated","PValue"
"DPM1","blue",0.80564652629691,3.60270789221838e-10,-0.348673363051843,0.0274548254774722
"SCYL3","blue",-0.796501466544725,7.92020624642069e-10,0.2766210649373,0.0840015403128947
"FUCA2","blue",-0.779744605116717,3.0401015699581e-09,0.648770426668171,5.96339880914596e-06
"GCLC","blue",-0.728653863376563,9.79346017392871e-08,0.242755634321769,0.131218144456424
"M6PR","blue",-0.949340416754873,1.06420190961105e-20,0.677799462288628,1.5508212275002e-06
"RECQL","blue",-0.936428997467191,7.09834164725183e-19,0.877209443049855,1.131794639926e-13
"MSL3","blue",0.812885682994036,1.87421430165197e-10,-0.817970944019152,1.16428003835748e-10
"KMT2E","blue",0.840025938672295,1.22764522196246e-11,-0.746755490245875,3.1437077319857e-08
"RHBDD2","blue",0.869476075879563,3.3673195814985e-13,-0.571314972779207,0.000117973416723075
"LAMP2","blue",-0.880345598214086,7.12195561930585e-14,0.638989135676063,9.09830190985066e-06
"CRLF1","blue",0.881693649982482,5.81296751083825e-14,-0.747607045639841,2.9731455962869e-08
"RALA","blue",-0.843340540083328,8.50281658936344e-12,0.482037802902884,0.00163483253949864
"IFRD1","blue",0.910622929435093,3.65817427860802e-16,-0.564846192112138,0.000146436950743401
"ADIPOR2","blue",-0.941215418462047,1.67309406349233e-19,0.876934505390164,1.1779908321064e-13
"CD79B","blue",-0.823377898006562,6.90374647747977e-11,0.902564891965864,1.75516765011882e-15
"ST7L","blue",0.891923327664954,1.14337519119792e-14,-0.846969462899051,5.6319597176282e-12
"LUC7L","blue",0.827383196230436,4.63396114853987e-11,-0.944861938271053,5.11673790248126e-20
"CACNA2D2","blue",0.824070575351692,6.44843699457256e-11,-0.706673269762965,3.46902948656213e-07
"MYLIP","blue",0.927460090648594,8.05069960045158e-18,-0.628240769012993,1.4234334447393e-05
"CDK11A","blue",0.905887263061576,9.35277680778244e-16,-0.882662333537155,5.0159809488486e-14
"NADK","blue",-0.765534058587671,8.70995116911335e-09,0.75797473577286,1.48052018731438e-08
"MPND","blue",-0.735564690734271,6.41545629036676e-08,0.649950967321468,5.66121894177683e-06
"CRY1","blue",0.854897393532339,2.20429317019507e-12,-0.609654064988218,2.97008760478583e-05
"BAZ1B","blue",-0.89827540498595,3.82946316466658e-15,0.891630784052067,1.20047158393149e-14
"METTL13","blue",-0.950025991889623,8.26414742928603e-21,0.783928774333773,2.19712613008977e-09
"CD4","blue",-0.714056195577728,2.29809253910993e-07,0.672112338041738,2.04280547215523e-06
"AKAP8L","blue",0.760319659254705,1.25846750699552e-08,-0.735884790428508,6.28900057860626e-08
"TTC19","blue",0.968690918064566,1.34711685145256e-24,-0.713618171943462,2.35576533467896e-07
"MAP4K3","blue",0.932084271847003,2.39906932552483e-18,-0.778733030142061,3.28494349295860e-09
"PRICKLE3","blue",-0.884511049922366,3.77189101472014e-14,0.847782655585263,5.12787591858322e-12
"UBR7","blue",-0.713370908673697,2.38891038389038e-07,0.637970703037281,9.49940565665238e-06
"CLK1","blue",0.945394846173582,4.2744787269202e-20,-0.876306705138177,1.29020936303593e-13
"CD6","blue",0.781658425711648,2.62277509143317e-09,-0.356272519547409,0.0240439828173495
"COX15","blue",-0.934895936210392,1.10134880627815e-18,0.825460687245507,5.61824151231674e-11
