"Gene","ModuleColor","kME_blue","p.kME_blue","GS_Activation_Status.Activated","PValue"
"FIRRM","blue",0.986716577148817,3.18538030468831e-09,0.989500793237954,9.8722965391133e-10
"FUCA2","blue",0.982079940505632,1.41231761832145e-08,0.972430425755299,1.19767753199468e-07
"NFYA","blue",-0.988135844832339,1.81479524847698e-09,-0.953736444207488,1.54404803509798e-06
"STPG1","blue",0.888014943794133,0.000114609565961792,0.93998689208337,5.54037321740798e-06
"CYP51A1","blue",0.967408390353626,2.74183623656375e-07,0.995789497549854,1.03483253571755e-11
"BAD","blue",0.972083879017203,1.2741232776282e-07,0.903400645043072,5.62194150337057e-05
"LAP3","blue",0.978590986478736,3.41722827997405e-08,0.994518127868682,3.86298488056686e-11
"CD99","blue",0.994654573352885,3.40635056178555e-11,0.938316527446195,6.33745451700267e-06
"LASP1","blue",0.996231931909369,5.94449402777893e-12,0.977596515379549,4.28097511739777e-08
"M6PR","blue",0.942178940153987,4.61701879654733e-06,0.80735397956721,0.00149715624734017
"NDUFAF7","blue",-0.819878405639774,0.00109407350868991,-0.648887825930934,0.0224357000572966
"MTMR7","blue",-0.892417460805139,9.45049050650459e-05,-0.904362707238173,5.35641542246284e-05
"SARM1","blue",-0.980003312218988,2.43506989737532e-08,-0.980122761183369,2.36367902928569e-08
"CD38","blue",0.974350044034739,8.37580197278343e-08,0.869736942756428,0.000236407406723214
"VPS50","blue",-0.938443729781735,6.27374043013724e-06,-0.968307527924883,2.38754691910591e-07
"ARHGAP33","blue",0.995475053457438,1.48265373307683e-11,0.962339003428143,5.60083113830982e-07
"ST7","blue",0.912611820144005,3.46088256446657e-05,0.941043286571309,5.07875280078941e-06
"CDC27","blue",0.956595788401342,1.12779629053127e-06,0.996813815495265,2.57215733740906e-12
"SKAP2","blue",0.967699718682553,2.62275359232895e-07,0.98653176896342,3.41216196117785e-09
"ATOSB","blue",0.931734181666154,1.04040472381427e-05,0.790173511954155,0.00222491220022866
"TSPOAP1","blue",0.877435711812733,0.000176696102600759,0.704281765149218,0.0105610615740475
"WDR54","blue",0.924090604833356,1.7457226047069e-05,0.993593407282858,8.40897822105142e-11
"LAMP2","blue",0.901696970617179,6.11743335205583e-05,0.750003412532838,0.00496425260432017
"REX1BD","blue",-0.985499859980487,4.92704932619286e-09,-0.911349420721798,3.71010308808632e-05
"CRLF1","blue",-0.899668616193143,6.75138943930712e-05,-0.86280739496525,0.00030263927314803
"AP2B1","blue",0.936617759474641,7.23851036419298e-06,0.99565768276517,1.20701489091825e-11
"RALA","blue",-0.866485847144944,0.000265897643102299,-0.750730070152376,0.00489906611561326
"KDM7A","blue",-0.983377750558721,9.71918210895979e-09,-0.966393336343746,3.19076905663957e-07
"PHTF2","blue",0.970813182860992,1.588326995611e-07,0.86491148749128,0.000281170352766845
"ADIPOR2","blue",0.995045019869981,2.33276089179305e-11,0.975079903917817,7.25897441240803e-08
"MARK4","blue",0.965486789721902,3.63940485878316e-07,0.887330590306074,0.000118013921919016
"CEACAM21","blue",0.81670927513362,0.00118701822035574,0.628298907884573,0.0286720101999762
"TRAPPC6A","blue",0.816556125034811,0.00119165881941302,0.641620949364337,0.0245110516851573
"CD79B","blue",0.968485270290876,2.32203887400477e-07,0.996747515745728,2.85082717585798e-12
"LUC7L","blue",-0.975237749120779,7.03384254522041e-08,-0.990568801537382,5.78423812978303e-10
"CACNA2D2","blue",-0.890239673508434,0.000104070669332657,-0.830006814269894,0.000834112787734208
"E2F2","blue",0.99932742026494,1.08263623796886e-15,0.960627483001238,6.97432343522075e-07
"CDKL5","blue",-0.914939395030105,3.03603962938262e-05,-0.965973185041954,3.39286666990728e-07
"NADK","blue",0.98625187111241,3.77999452983428e-09,0.927490332874993,1.39639809922678e-05
"CYTH3","blue",-0.975621033957159,6.51026259753174e-08,-0.961839522859508,5.97716984980502e-07
"ADAM22","blue",-0.984071335472877,7.8628996839422e-09,-0.98300142077631,1.08634985555509e-08
"AASS","blue",-0.790672548576607,0.00220056602661343,-0.597558689041495,0.0401800981434199
"IL32","blue",0.993371029539,9.96957638491450e-11,0.983825804501016,8.48438824186944e-09
"PKD1","blue",-0.961497588577669,6.24618879770761e-07,-0.99162039125495,3.20844210530946e-10
"HEATR5B","blue",-0.995022644610434,2.38581996369495e-11,-0.946181984308279,3.2473572990292e-06
"SEC62","blue",-0.970629591726212,1.63840688844115e-07,-0.867343254990823,0.000257856543506314
"ETV7","blue",0.961336567173026,6.37616027490865e-07,0.84508902920734,0.000538404089088625
"GIPR","blue",0.945164588924164,3.55996111912839e-06,0.890945259117176,0.000100892049633355
"PHF7","blue",0.972156198339327,1.25785811579545e-07,0.942868599171144,4.3532749717258e-06
"CD4","blue",0.944506928717554,3.77439480961444e-06,0.996064074864003,7.38981648455833e-12
"HIVEP2","blue",-0.961611285361615,6.15569122568985e-07,-0.99860261313184,4.1862206844469e-14
"ELOA","blue",0.919791090038731,2.28246212572337e-05,0.825669885452143,0.000938797697354435
