"Gene","ModuleColor","kME_brown","p.kME_brown","GS_Activation_Status.Activated","PValue"
"ENPP4","brown",0.787355535946647,0.00236627821409118,0.51654510413658,0.0855336291525405
"AK2","brown",0.969543539247901,1.96098313391028e-07,0.898515313823743,7.13417467268882e-05
"KDM1A","brown",0.967613341545172,2.65762299262525e-07,0.6113149221606,0.034686460900945
"NDUFAB1","brown",0.980399121346789,2.204892774889e-08,0.869683208170001,0.000236873094596255
"SLC25A13","brown",0.836076627902775,0.000703008530049539,0.488152877390774,0.107373137170004
"MCUB","brown",-0.803780391692627,0.00163075150751463,-0.718987270530022,0.00841162486060178
"DHX33","brown",0.967584651097811,2.66928620786214e-07,0.887879831758407,0.00011527551712258
"ACSM3","brown",0.943813414868275,4.01147274684469e-06,0.562016523758005,0.0571889715118585
"SPPL2B","brown",-0.904894450243825,5.21394574499459e-05,-0.51424570979701,0.087179399496687
"CREBBP","brown",-0.966361091242531,3.20593141118929e-07,-0.900107331276943,6.6100889299723e-05
"CROT","brown",-0.847743756304667,0.000496149931795447,-0.762606879610462,0.00392252817016838
"PDK2","brown",-0.944793949251546,3.67958749183385e-06,-0.868306436556417,0.000249050880629617
"SPATA20","brown",0.981227967760403,1.77897802460992e-08,0.777126854570627,0.00293778194396279
"FARP2","brown",0.914394886148523,3.13152826564539e-05,0.453053140022533,0.139118034539623
"VPS41","brown",0.943463725950622,4.13540381962999e-06,0.548477971225168,0.0648169485971492
"CCDC124","brown",0.966335908427872,3.21781273008427e-07,0.891624120200556,9.79061228017433e-05
"PAFAH1B1","brown",-0.924559758006441,1.6938017143012e-05,-0.47340128612101,0.120059774861728
"BLTP2","brown",0.98529077462696,5.29081716947001e-09,0.842317852613848,0.00058543463691515
"BAIAP3","brown",-0.971873872937839,1.32230645452115e-07,-0.883708863701091,0.000137371280859826
"PSMB1","brown",0.986236620694731,3.80090918975165e-09,0.855762505813692,0.000383951917780573
"JARID2","brown",0.979341203100601,2.86261700122783e-08,0.875397190854691,0.000191204662241948
"DLEC1","brown",-0.995357641401681,1.6849257172396e-11,-0.8012786258897,0.00172958648857368
"CYB561","brown",-0.994445572612988,4.12498471049944e-11,-0.82208057846886,0.00103286554874815
"UBE3C","brown",0.958528123434978,9.01075831916033e-07,0.903453044866806,5.60721834762626e-05
"TRAF3IP3","brown",-0.98210157517643,1.40386377556242e-08,-0.643106424423065,0.0240759292566862
"VTA1","brown",0.974022538531915,8.91943655177314e-08,0.861701848822092,0.00031441948629498
"IFFO1","brown",-0.970947446937105,1.55248001743285e-07,-0.893198352858856,9.12481988678963e-05
"IDS","brown",-0.960996942259383,6.65734304007408e-07,-0.902564923326371,5.86089363112684e-05
"HFE","brown",-0.92342740193883,1.82125245742932e-05,-0.488701098791217,0.10691961631382
"MRC2","brown",0.968323813305089,2.38148436510959e-07,0.595529927661401,0.0410395884519031
"APBA3","brown",-0.932648152524423,9.74119887845129e-06,-0.562815772762157,0.0567592224365522
"RABGAP1","brown",-0.77996405876506,0.00276974151034944,-0.430370828566034,0.162548298805194
"QPCTL","brown",0.971764637266075,1.34793632988504e-07,0.632038217877148,0.0274562516824637
"KDM5D","brown",-0.973753454974002,9.38680649981844e-08,-0.890318809177164,0.000103710313111426
"SLC25A39","brown",0.97310266427651,1.05980899334556e-07,0.608297650379881,0.0358424025691983
"NUB1","brown",-0.981188189767616,1.79778632239198e-08,-0.77614855453735,0.00299748690818041
"HEBP1","brown",0.940085997494159,5.49570613918336e-06,0.547198426509139,0.0655724483149342
"CD6","brown",0.955111669801371,1.33090170007533e-06,0.727169026405686,0.00736760417711367
"SLC30A9","brown",0.995510599264196,1.42541101780656e-11,0.80007795768095,0.00177861990606126
"CCDC88C","brown",-0.978929016973568,3.15763090640898e-08,-0.62061566083605,0.0312911317204123
"ZMYND11","brown",-0.985007002475368,5.81847966190891e-09,-0.834996621012345,0.00072508162994854
"XYLT2","brown",0.909719964010048,4.05243308362639e-05,0.459921957568755,0.132479798977881
"STEEP1","brown",0.918656483252733,2.44375697585284e-05,0.506363561821283,0.0929833124489703
"ZFP64","brown",0.899712739570563,6.7370719747498e-05,0.803150977348756,0.00165519841454791
"SAMD4A","brown",0.93750881748003,6.75407282416949e-06,0.570289147047513,0.0528493271748779
"SERPINB1","brown",0.993242920233781,1.09685330794622e-10,0.831945397680337,0.000790347481596685
"RNH1","brown",0.972626157735034,1.15614306750536e-07,0.870229052887521,0.000232175689260615
"AKAP11","brown",0.947339494374854,2.91858216211162e-06,0.550484365653111,0.0636444421622476
"SNAPC1","brown",0.974474594875541,8.17612531230737e-08,0.862630447424146,0.000304501263583153
"STRAP","brown",0.978379078298541,3.58845148633472e-08,0.878008339104887,0.000172779633270131
"PLEKHO1","brown",-0.98826522426955,1.71834982760197e-09,-0.667835126905164,0.017627735626529
"RRAGD","brown",0.979683827490947,2.63449588133627e-08,0.828364931469544,0.000872623759492589
"HSD17B6","brown",0.886677279825612,0.000121337231782095,0.779474998524372,0.00279817131837039
"TOMM34","brown",0.995570813145138,1.33248372849873e-11,0.798170799802527,0.00185868715479868
"KPNA6","brown",0.965337570695052,3.71782650660706e-07,0.888899550386694,0.000110323524441463
"CD44","brown",-0.954889535115682,1.36364604535442e-06,-0.557965458493472,0.0594021196539767
"BTN3A1","brown",-0.99603023736892,7.71254434284007e-12,-0.816741367176693,0.00118604756534345
"MIPEP","brown",0.971720392803632,1.35842921320245e-07,0.633450318160269,0.0270069742815103
"VEZT","brown",0.964896240494821,3.95766060789673e-07,0.618507747157274,0.0320387556118833
"NUP160","brown",0.991386707498567,3.6800336048232e-10,0.837938867814904,0.00066617275001581
"FAM13B","brown",-0.973026496617486,1.07476215559486e-07,-0.882985982903371,0.000141515792652524
"SARS1","brown",0.987348715882301,2.49887294083343e-09,0.849088494619969,0.000475753094146028
"RANBP3","brown",0.925435519232754,1.60014618481365e-05,0.615367824722055,0.0331760586364053
"ARID4A","brown",-0.975574132800411,6.57260882923401e-08,-0.857245410385739,0.000365570646596753
"ALG1","brown",-0.965849853885067,3.45408233110161e-07,-0.806451033644152,0.00153008772370269
"PIAS1","brown",-0.961517820758939,6.23000804730017e-07,-0.886155377712836,0.000124044350484753
"SLC4A7","brown",-0.920602120796001,2.17240297922017e-05,-0.578147350324898,0.04894579452895
"MAP2K3","brown",0.986983505569092,2.87922541701571e-09,0.855071841881464,0.000392754385551251
"RNF19A","brown",0.989037772070952,1.2240336804543e-09,0.848771653658843,0.000480499191805382
"FAM136A","brown",0.961189039300255,6.49711799002736e-07,0.898420445319987,7.16640388101941e-05
"RFC1","brown",0.962260239157548,5.65889084942393e-07,0.906924739532337,4.69712839973251e-05
"NSUN2","brown",0.989733210034452,8.83035236328169e-10,0.793312612152169,0.0020751365160734
"FBXO42","brown",-0.91966625631526,2.29978556623156e-05,-0.497444805026226,0.0998578121299849
"MFAP3","brown",-0.937658510889793,6.67527044249348e-06,-0.512433034021237,0.0884918158379638
"MTREX","brown",0.968215319369015,2.42210538470504e-07,0.589321789238072,0.0437506828851094
"RTN4R","brown",0.810831813331664,0.00137537124286489,0.656633994727368,0.020367491206582
"RIPOR3","brown",-0.967636769911259,2.64812901531416e-07,-0.763708516879545,0.00384008702283319
"TRIT1","brown",0.960872083240456,6.76315821310638e-07,0.606913955369896,0.0363816034935532
"CUL7","brown",0.953253269995877,1.62504697170123e-06,0.558520841904856,0.0590952402977451
"HSPA5","brown",0.976117049170004,5.87928308414495e-08,0.868315613286126,0.000248968127790625
"CTPS2","brown",0.853995354724827,0.000406786028398947,0.396345797439916,0.202125736016557
"TPR","brown",0.958162528633958,9.40916667895379e-07,0.562448621725762,0.056956355605293
"KATNIP","brown",-0.84618709979287,0.000520601364536033,-0.424616373136799,0.168865502499109
"GOPC","brown",-0.988370039298611,1.64325535579407e-09,-0.824418767211691,0.000970802348598484
"MRPS10","brown",0.963147962626736,5.03147028355345e-07,0.879097486211001,0.000165517841430357
"R3HDM1","brown",0.960587710333294,7.00914899886128e-07,0.898312401134558,7.20324825736216e-05
"VAMP3","brown",-0.929504220050546,1.21714873887976e-05,-0.497066008335741,0.100157093705851
"ARID1B","brown",-0.964479044595662,4.19553647435745e-07,-0.905844993999724,4.96669975350705e-05
"MCUR1","brown",0.97168969921062,1.36574653778902e-07,0.875322229776509,0.000191755354027659
"HEBP2","brown",-0.993891569583538,6.62936814136744e-11,-0.780766251828244,0.00272358608231349
"RRP12","brown",0.98493941542675,5.9501390882978e-09,0.656197239801898,0.0204802497596739
"ANAPC4","brown",-0.918429603690877,2.4770609731766e-05,-0.797937728564126,0.00186865817050963
"SYNE2","brown",-0.984995549934886,5.84062401182028e-09,-0.861436447852109,0.000317299880898822
"ITIH4","brown",-0.950728407129136,2.10489884140845e-06,-0.853445225899043,0.000414105514720957
"HPF1","brown",0.968547392723689,2.29948364395649e-07,0.871766694119808,0.000219332834296443
"RC3H2","brown",-0.939173808531347,5.91778527366902e-06,-0.513910411675005,0.0874211630487588
"USP13","brown",0.92361113408882,1.80007464141235e-05,0.725260617191452,0.00760191780078049
"FLYWCH1","brown",-0.99034738769558,6.49344567184194e-10,-0.822075094130059,0.00103301462647685
"ALDH18A1","brown",0.979160644436639,2.98901301930117e-08,0.87123188409565,0.00022373517854968
"GATB","brown",0.956338213289113,1.16115245440291e-06,0.773542029321102,0.00316107375510005
"CTDP1","brown",0.959359839221006,8.15420364125403e-07,0.745631404404021,0.00537038507378246
