"Gene","ModuleColor","kME_brown","p.kME_brown","GS_Activation_Status.Activated","PValue"
"FIRRM","brown",-0.962134464511251,2.70736208920373e-09,0.951287492102432,1.53368556187758e-08
"CD99","brown",-0.767070647937924,0.000525050429298081,0.873198414915104,1.00426971019577e-05
"RPAP3","brown",-0.823276158303567,8.9219355660681e-05,0.700052990054217,0.0025323613423618
"MSL3","brown",0.886619830428301,4.76222722616954e-06,-0.898628207168365,2.247889700778e-06
"RHBDD2","brown",0.822971805881775,9.02229179251529e-05,-0.578019580481151,0.0190158996623081
"SOX8","brown",0.719868678198488,0.00166441286826154,-0.840689452396846,4.53296050023179e-05
"LAMP2","brown",-0.839835808104906,4.69449404500217e-05,0.68775610086886,0.0032338973622124
"TMEM132A","brown",0.836051282888813,5.46983627946945e-05,-0.66259139127896,0.0051577574483607
"RALA","brown",-0.86355424031409,1.63340077284302e-05,0.535377194080634,0.0325837422737653
"VPS41","brown",-0.745191900219139,0.000923656895899053,0.676006664453507,0.00404301144192636
"ST7L","brown",0.956337866928595,7.22526779974419e-09,-0.823947017976887,8.7040103301751e-05
"LUC7L","brown",0.940658821309372,5.93417599706013e-08,-0.948668718577459,2.1972575763596e-08
"CACNA2D2","brown",0.831282608263136,6.5965142227729e-05,-0.70746914224489,0.00217265553416008
"BAIAP3","brown",0.807971476386081,0.000152799739791807,-0.738202410526806,0.00109370684691672
"MYLIP","brown",0.907496825784373,1.2133062441928e-06,-0.621901225102239,0.0101070899657739
"CDK11A","brown",0.983763640176541,7.6416546067069e-12,-0.876781320170281,8.29875536102373e-06
"CYB561","brown",0.751172463499457,0.000795941576440082,-0.537876172432031,0.031628705668244
"CRY1","brown",0.839365501403837,4.78552668716519e-05,-0.75595324700701,0.000704602019823016
"VTA1","brown",-0.900112047737353,2.03568005483373e-06,0.782533035388796,0.000339424840618631
"SPRTN","brown",0.864672713972791,1.54674368957872e-05,-0.645318871316701,0.00694128497253858
"METTL13","brown",-0.960532551408153,3.60293095302306e-09,0.817375953718933,0.000110421529790201
"ZNF207","brown",-0.900468228809212,1.98734296974411e-06,0.829534275810731,7.05532984097667e-05
"CD4","brown",-0.863482650124613,1.63908347577742e-05,0.93235123254207,1.4520044439401e-07
"BTBD7","brown",0.795858705023012,0.000226510305940805,-0.731264817737695,0.0012869917486895
"RNF216","brown",0.879225578481133,7.26158301141376e-06,-0.979927905854117,3.33818595254506e-11
"TTC19","brown",0.92807543673139,2.20431899769219e-07,-0.668310185418146,0.00465587815750607
"MAP4K3","brown",0.841782748656601,4.33289082056262e-05,-0.68492549290976,0.00341569213552833
"PRICKLE3","brown",-0.857104392690899,2.21675195366831e-05,0.890611566159597,3.74639200256071e-06
"EHD3","brown",0.811294008735598,0.000136508797067249,-0.898850395371927,2.21497300623293e-06
"PGM3","brown",0.910398155859895,9.78420288447394e-07,-0.93637535497123,9.55516155593101e-08
"CLK1","brown",0.919099762038702,4.90034240851724e-07,-0.835976313936684,5.4862133564114e-05
"RNF14","brown",-0.83654515409581,5.36296704031843e-05,0.663821570338917,0.00504630564690264
"UFL1","brown",-0.796310094690162,0.000223315296732937,0.593730825400101,0.0153158102474086
"CCDC88C","brown",0.874780193445223,9.23820779718591e-06,-0.803366635123535,0.000178021785018684
"YAF2","brown",0.88429641184074,5.45383773703771e-06,-0.575147438057341,0.019761284433662
"RGPD5","brown",0.939656131483938,6.65469348289835e-08,-0.847215557183794,3.44475355940188e-05
"GLT8D1","brown",-0.810505909930961,0.000140235799708081,0.532451021928215,0.0337296905427452
"RALBP1","brown",-0.932703492310864,1.40122919848795e-07,0.785603648562777,0.000309985585790762
"MRE11","brown",-0.751486528476732,0.000789657690501339,0.629159656822552,0.00902398653087632
"PLEKHB1","brown",0.879289821263517,7.23586990497214e-06,-0.983119164632804,1.00180830449432e-11
"SPAST","brown",-0.714211197194519,0.00188271037318249,0.782487943178515,0.000339873771394003
