"Gene","ModuleColor","kME_magenta","p.kME_magenta","GS_Activation_Status.Activated","PValue"
"TSPOAP1","magenta",-0.893830865787694,8.29264131466085e-15,0.592349980311289,5.65661884488792e-05
"KDM7A","magenta",0.835827964282022,1.93195184958491e-11,-0.67395764769059,1.8693181465247e-06
"NFIX","magenta",0.8768457227924,1.19328328990933e-13,-0.480159275210657,0.00171515915567672
"EHD3","magenta",0.804924312990644,3.83968063400574e-10,-0.771617205743607,5.60168458164429e-09
"CAPN1","magenta",-0.904697884040742,1.17477529809775e-15,0.8215084300583,8.28741130984124e-11
"WAS","magenta",-0.943555595496276,7.89287168621966e-20,0.749131294325261,2.68914314782055e-08
"ATP6V0A1","magenta",0.746482725797426,3.20023585334334e-08,-0.349228101702077,0.027192981110657
"TUBG2","magenta",0.907962686706472,6.2370815652196e-16,-0.635516801053717,1.05332774370378e-05
"PIK3CB","magenta",0.913483472095718,2.02261621741713e-16,-0.630258289345121,1.31041898185637e-05
"IL17RB","magenta",-0.740928619322758,4.57824862261666e-08,0.303881531247402,0.0566078262070462
"SOAT1","magenta",-0.783926862934729,2.19745566146572e-09,0.603716717029754,3.72054676454493e-05
"LZTS1","magenta",-0.889407413214035,1.73080069222751e-14,0.840665836270007,1.14435559527607e-11
"GPC1","magenta",-0.894259845810428,7.70828324108198e-15,0.620866866763326,1.91654855830421e-05
"TLE2","magenta",0.955168544724405,1.0981150375367e-21,-0.784828056145001,2.04709914642399e-09
"CBFB","magenta",-0.93241926843135,2.19040372900697e-18,0.815079433393387,1.52896335014015e-10
"LRP6","magenta",0.886229258584942,2.88138532490333e-14,-0.459939481586706,0.00282666116381738
"PFN2","magenta",0.921199593001382,3.67145882917184e-17,-0.791406387152888,1.20763425937758e-09
"TRNT1","magenta",0.903600656101912,1.44595497855808e-15,-0.654437506457282,4.63651244164959e-06
"ZNF532","magenta",0.842830700265413,9.00193739893928e-12,-0.672879863156893,1.96892066302045e-06
"WNT8B","magenta",-0.801692448714365,5.08993987499802e-10,0.724423162663552,1.26092791181637e-07
"KIFAP3","magenta",-0.812041978486651,2.02544260341694e-10,0.263437884091786,0.100496216149845
"FGFR1","magenta",-0.865398537928812,5.82118340760263e-13,0.57957236596969,8.89361249123767e-05
"CEACAM1","magenta",-0.913407619612974,2.05518849801847e-16,0.630533800257872,1.29563979402512e-05
"MID2","magenta",0.935468825536951,9.35803240922952e-19,-0.811440544440367,2.14013415756087e-10
"SIRPG","magenta",-0.862359953564989,8.65354153700189e-13,0.597276065908301,4.7266203107482e-05
"P2RX7","magenta",-0.912776866344973,2.34585756130573e-16,0.63240781372508,1.19909000088535e-05
"SIRT4","magenta",0.77811843302153,3.44255523445432e-09,-0.566026060353006,0.000140823499463797
"RNF31","magenta",-0.92688224869283,9.31290615625281e-18,0.586125942123018,7.06828978965242e-05
"DPYSL2","magenta",-0.892132501335757,1.10412851557786e-14,0.702893738975499,4.26261183497917e-07
"SYDE2","magenta",0.925230862725266,1.40291659284128e-17,-0.60836822645674,3.11978552534863e-05
"SNAP29","magenta",-0.922989056240775,2.4109174164759e-17,0.575431734893493,0.000102569754870397
"PPM1F","magenta",0.78483819868103,2.04546294781973e-09,-0.453115298958783,0.00332355545371396
"TM9SF1","magenta",-0.930771911194044,3.41146507013722e-18,0.785167526749744,1.99299400680499e-09
"MYL12A","magenta",-0.937019396386821,5.97614840949205e-19,0.835469834112941,2.00696849730081e-11
"ALG13","magenta",0.934866295837672,1.11062483200769e-18,-0.780895477902412,2.78228536410218e-09
"HAGHL","magenta",0.733041404183735,7.49813270203762e-08,-0.522747770749615,0.000539171733861672
"VPS35L","magenta",-0.866951651305233,4.73570224035592e-13,0.764560513280107,9.33608000411660e-09
"MAP4K1","magenta",-0.887531408405734,2.34266490325577e-14,0.623883535568104,1.69851997116589e-05
"TRMT1","magenta",0.777377699340353,3.64188263594964e-09,-0.254110958728894,0.113587145181823
"MEGF8","magenta",0.756649664927946,1.62160415112559e-08,-0.558411897919787,0.000180761679795056
"PALS2","magenta",0.913883142295032,1.85887732064962e-16,-0.62970188980879,1.34073708118552e-05
"IQCE","magenta",-0.901342225862897,2.20023243000258e-15,0.69574145678319,6.2412212591393e-07
"MOSPD3","magenta",-0.965171192733524,9.8908490404126e-24,0.724013253907679,1.29186726801692e-07
"PCOLCE","magenta",-0.840355418152434,1.1840748202865e-11,0.533673391994085,0.000390750486988814
"AEBP1","magenta",0.83344762763186,2.48442233474837e-11,-0.408294547169091,0.00891014090206415
"FSD1L","magenta",-0.883542638626511,4.38195319169701e-14,0.779240148974517,3.15998952017513e-09
"GIT1","magenta",-0.869225048437116,3.48456154301188e-13,0.748553111858679,2.79376253021256e-08
"PIGL","magenta",0.896260541970352,5.45925377093494e-15,-0.81808363763614,1.15186935016437e-10
"LGALS3BP","magenta",-0.931636418222164,2.70745523771643e-18,0.7373562961849,5.73689616134189e-08
"PPP1R9B","magenta",-0.873139696999015,2.02677679312293e-13,0.71828631917243,1.8046161775583e-07
"TRIM2","magenta",0.829637232627868,3.68608360439373e-11,-0.573895295649878,0.00010809172204007
"CPT1A","magenta",-0.89265210078193,1.0120541054056e-14,0.643121284687821,7.62498867020342e-06
"CEP126","magenta",0.894974920514791,6.8195303698888e-15,-0.58903967976062,6.37184765309499e-05
"ALDH2","magenta",0.742414622029092,4.16366189972716e-08,-0.378745399382855,0.0159531831021353
"OAS3","magenta",-0.906033274292858,9.09274453656806e-16,0.733978610019729,7.07761098328694e-08
"C12orf57","magenta",0.88612310694158,2.93009140501481e-14,-0.697011342691803,5.83735051239745e-07
"RAB23","magenta",-0.828290052364881,4.22803752242345e-11,0.547495661269096,0.000255890363979166
"SMAP1","magenta",-0.936431304168501,7.09359353839329e-19,0.697018593367725,5.83511551649856e-07
"GUCA1B","magenta",0.897055724103727,4.75047771195457e-15,-0.643082440785199,7.63775469638741e-06
"RNF130","magenta",0.924575500879484,1.64635620461809e-17,-0.654725869832369,4.57687463186549e-06
"CLCN2","magenta",0.708552160396603,3.12760831571007e-07,-0.474879442904551,0.00195987872676529
"SLC1A4","magenta",-0.946689766743252,2.74014907298737e-20,0.839908221743045,1.24357336892967e-11
"GPR89A","magenta",-0.768479742451006,7.04547475652351e-09,0.522496376697503,0.000543111866537997
"BLZF1","magenta",-0.759976107987055,1.28893548723879e-08,0.155279522052199,0.338692215776106
"CAMSAP2","magenta",0.977679086190018,2.34954108695431e-27,-0.729168602464105,9.49389460654327e-08
"PTBP3","magenta",-0.866390047855488,5.10413655022094e-13,0.438870496562822,0.00461217531707741
"BBOF1","magenta",0.771168816440109,5.7895841629221e-09,-0.572998528372295,0.000111437678534959
"HYCC1","magenta",-0.95904522052833,2.0372392291704e-22,0.735686941399329,6.36688499716196e-08
"TRIM24","magenta",-0.76621061585504,8.29810956727860e-09,0.589631919781072,6.23814995894157e-05
