"Gene","ModuleColor","kME_pink","p.kME_pink","GS_Activation_Status.Activated","PValue"
"SKAP2","pink",-0.769491425237458,6.54585597961292e-09,0.593140761113046,5.49693355747681e-05
"SPPL2B","pink",0.865617932903679,5.65480929618364e-13,-0.608474343276206,3.10717597991041e-05
"MYCBP2","pink",0.960621237332252,9.79929541583579e-23,-0.874824757917635,1.59625565053133e-13
"MASP2","pink",0.938074960706048,4.37507171174014e-19,-0.904182004478339,1.2956830390027e-15
"BTBD7","pink",0.820549913401134,9.09369275827837e-11,-0.69710471092548,5.80863047290739e-07
"LRRC7","pink",0.778791211916556,3.27037701029492e-09,-0.704300722293698,3.94940459486456e-07
"RETSAT","pink",-0.771136218639153,5.80347093074191e-09,0.634662915440609,1.09165327971295e-05
"ARHGEF5","pink",-0.798759627643598,6.54464253395986e-10,0.727092325907179,1.07567418077995e-07
"LIMA1","pink",-0.894821156020657,7.00208026169978e-15,0.68538191752763,1.06387100549189e-06
"KCNQ1","pink",0.829777523851313,3.63355413407839e-11,-0.591439588791704,5.845667976163e-05
"POLR1H","pink",-0.7479489493538,2.90711695596177e-08,0.682872637275068,1.20666622561404e-06
"MSANTD3","pink",-0.905611075466952,9.86391520494144e-16,0.780787110491574,2.80566219910535e-09
"MYDGF","pink",-0.939474794522522,2.86854207311937e-19,0.831906333642864,2.91772605739228e-11
"TXK","pink",0.923751878023064,2.00897356032601e-17,-0.682734243141107,1.21503393937191e-06
"ACTR6","pink",-0.782577420316851,2.44197217706845e-09,0.452013447178915,0.0034105591905117
"DGKD","pink",0.897226771428467,4.60979478270932e-15,-0.710168603324885,2.85904790986221e-07
"SLC25A43","pink",-0.825634783912119,5.52163055669092e-11,0.679191238170467,1.44836390781046e-06
"SP140","pink",-0.933115611064087,1.81020098321969e-18,0.823218152463272,7.01293840758746e-11
"TCF7","pink",0.899232821733275,3.22725502564715e-15,-0.785563583534016,1.93155770663577e-09
