"Gene","ModuleColor","kME_turquoise","p.kME_turquoise","GS_Activation_Status.Activated","PValue"
"FIRRM","turquoise",0.858078678994003,1.48928532212792e-12,0.950142733768686,7.91303138325982e-21
"STPG1","turquoise",0.878218007583074,9.76508517650473e-14,0.859447532887582,1.25439179992222e-12
"CYP51A1","turquoise",0.759223126225819,1.358131539023e-08,0.799500405066685,6.1444049678345e-10
"LAP3","turquoise",0.875016314733468,1.55317089995639e-13,0.889991221554719,1.5734538379565e-14
"LASP1","turquoise",0.813945756974171,1.69916655441846e-10,0.932364654035235,2.22321095818709e-18
"RBM5","turquoise",-0.946480636536756,2.94635538537035e-20,-0.885052405526934,3.46664635316955e-14
"MTMR7","turquoise",-0.703409624039674,4.14519737705602e-07,-0.648921980987363,5.92379479418378e-06
"ARF5","turquoise",0.744879984846726,3.55193569835814e-08,0.795386645234342,8.69478371636402e-10
"SARM1","turquoise",-0.77594311046712,4.05888291888355e-09,-0.835603715363066,1.9786107438991e-11
"POLDIP2","turquoise",0.969717060313294,7.21598939088381e-25,0.890712609791711,1.39760405103004e-14
"AK2","turquoise",0.970382261154806,4.75908518543062e-25,0.868784837717377,3.6994759857349e-13
"FKBP4","turquoise",0.938428484967703,3.93634501662587e-19,0.760479127110774,1.24455407838185e-08
"ARHGAP33","turquoise",0.704644368666984,3.87621103038256e-07,0.876262854564825,1.29841183678888e-13
"NDUFAB1","turquoise",0.950755261622435,6.29021883769639e-21,0.837220136025661,1.66458620077164e-11
"ST7","turquoise",0.820546006429307,9.09712457990917e-11,0.784884357102678,2.03803205366362e-09
"CDC27","turquoise",0.95123173708445,5.25105847877859e-21,0.955640838514204,9.01669013135416e-22
"HCCS","turquoise",0.930798537717549,3.38741699715797e-18,0.867462660525347,4.42231381967053e-13
"SLC25A5","turquoise",0.920640274562437,4.17875383085757e-17,0.891270998349593,1.27437363731787e-14
"DHX33","turquoise",0.919634464186815,5.2613327300471e-17,0.818696941096901,1.08647023321613e-10
"RPAP3","turquoise",0.877769701141334,1.04287984302437e-13,0.736674552793325,5.98683468286549e-08
"CIAPIN1","turquoise",0.82809993967366,4.31026963275664e-11,0.883439625737275,4.45204648209442e-14
"CREBBP","turquoise",-0.95725223129394,4.52713694286891e-22,-0.867412483479664,4.45220055766659e-13
"GCFC2","turquoise",0.708567589964935,3.12493801221588e-07,0.52234845366838,0.000545442290259271
"WDR54","turquoise",0.952379742776566,3.37318023678319e-21,0.951406930301138,4.9115209751985e-21
"IBTK","turquoise",0.894339995648134,7.60349478843978e-15,0.8562298066485,1.87258575750207e-12
"FBXL3","turquoise",-0.903338805339158,1.51887321787334e-15,-0.882618883597313,5.04940812637836e-14
"REX1BD","turquoise",-0.801430899335212,5.20621332913256e-10,-0.797150190875301,7.49965449229437e-10
"AP2B1","turquoise",0.90793821815787,6.26729367543085e-16,0.873138291984314,2.02717749616078e-13
"ZNF263","turquoise",-0.897065120614801,4.74264548107874e-15,-0.844952544227513,7.09013186245742e-12
