"Gene","ModuleColor","kME_turquoise","p.kME_turquoise","GS_Activation_Status.Activated","PValue"
"SCYL3","turquoise",0.841886844182949,0.000593026446693153,-0.61641387582978,0.0327940080543864
"KRIT1","turquoise",0.986377927471338,3.61061230977676e-09,-0.91921654544727,2.36305399400037e-05
"RAD52","turquoise",0.964623553666781,4.11188879060631e-07,-0.968607564058122,2.27780334967202e-07
"ALS2","turquoise",-0.872678665388367,0.000211982011542915,0.899599335958712,6.77391816435064e-05
"RBM5","turquoise",0.99788889579553,3.29056317356253e-13,-0.946495167153565,3.15564496404134e-06
"ARF5","turquoise",-0.973075672183511,1.06508897837509e-07,0.985134617060606,5.57622872409625e-09
"POLDIP2","turquoise",-0.99717304528897,1.41513377615406e-12,0.94461788156487,3.73751871657734e-06
"PLXND1","turquoise",0.988672999622339,1.44081641558222e-09,-0.968758560775591,2.22411336352235e-07
"FKBP4","turquoise",-0.937348861892424,6.83908892310133e-06,0.765192851183141,0.00373109279408724
"RBM6","turquoise",0.955537041486901,1.26994152603896e-06,-0.982921652038762,1.11193081546804e-08
"RECQL","turquoise",-0.996800045426085,2.62816127152479e-12,0.939999443871802,5.53470025634454e-06
"HCCS","turquoise",-0.974042164632767,8.88608759264208e-08,0.881464846567588,0.000150556281433841
"SLC25A5","turquoise",-0.993713800526636,7.64954833936021e-11,0.970854691908353,1.57717493510802e-07
"POLR2J","turquoise",-0.96825122046883,2.40860317251374e-07,0.945084185667565,3.58564624509938e-06
"RPAP3","turquoise",-0.892536730981221,9.40016836164057e-05,0.699394022054933,0.0113585499928886
"CIAPIN1","turquoise",-0.971883235742428,1.32012785304446e-07,0.96834514548528,2.3735615767916e-07
"MSL3","turquoise",0.981870576507594,1.49624434204028e-08,-0.982882302625883,1.12472546817545e-08
"KMT2E","turquoise",0.979954318969196,2.46484404482603e-08,-0.96039688218623,7.17816799868465e-07
"IBTK","turquoise",-0.973920102493225,9.0951190513949e-08,0.983285506362539,9.99032622022797e-09
"MYCBP2","turquoise",0.987222967998929,2.62500164263987e-09,-0.973653340496781,9.56558966018652e-08
"FBXL3","turquoise",0.948036435068146,2.73373354436864e-06,-0.987728195619036,2.14728274285428e-09
"ITGA3","turquoise",-0.871130017837242,0.000224581459482062,0.661680735413657,0.0190972064617002
"ZFX","turquoise",0.867993734013182,0.000251883573335841,-0.680778160261682,0.0148100649867445
"ZNF263","turquoise",0.987939881997529,1.96905949074583e-09,-0.952184774342576,1.81615633355133e-06
"MAP3K9","turquoise",-0.947595272009471,2.84962730825172e-06,0.966946708797822,2.93932500996933e-07
"AGK","turquoise",-0.981178222281585,1.80252402013824e-08,0.941441034588523,4.9130614283096e-06
"GGCT","turquoise",-0.996880016053634,2.31607541588038e-12,0.947987070306703,2.74651277784096e-06
"DBF4","turquoise",-0.967888607974638,2.54776899122711e-07,0.994184997295696,5.18545011151575e-11
"COX10","turquoise",-0.951063759436032,2.03539442163328e-06,0.986278905280211,3.74314524441758e-09
"PAF1","turquoise",-0.973999305172473,8.959043781558e-08,0.953213338602745,1.63188889846885e-06
"ELAC2","turquoise",-0.908684026162092,4.28266830947716e-05,0.719607429187158,0.00832883177892254
"MATK","turquoise",-0.989457411029045,1.00772166728059e-09,0.914728225246155,3.07279550398734e-05
"ST7L","turquoise",0.889784675956016,0.000106161648296866,-0.834880145682316,0.000727493783419055
"TSR3","turquoise",-0.922471364460345,1.93464416698451e-05,0.738679715444502,0.00606712181875562
"PIGQ","turquoise",0.950466282343173,2.16052589522916e-06,-0.865698972738226,0.000273447965011292
"CDK11A","turquoise",0.979579822169672,2.70215211918184e-08,-0.958555388371397,8.98159210103635e-07
"SPAG9","turquoise",-0.909741301563008,4.04779546259679e-05,0.719217265545738,0.00838084838545915
"CELSR3","turquoise",-0.96627387501312,3.24722969340511e-07,0.985664308736037,4.65520505718263e-09
"PLEKHG6","turquoise",0.967470085061693,2.71626611385433e-07,-0.88380296349902,0.000136838839990981
"SS18L2","turquoise",-0.897430229479627,7.50967425544032e-05,0.930046840249551,1.17210967845803e-05
"MED24","turquoise",-0.994515482804479,3.87229643764301e-11,0.938285510118516,6.35306807498883e-06
"RHOBTB2","turquoise",0.773063270325809,0.00319184431596899,-0.773498444119229,0.00316386566793022
"REV3L","turquoise",0.983638628960297,8.98398947025469e-09,-0.903510851741374,5.59101109589175e-05
"TENM1","turquoise",0.997265806258812,1.1978898356787e-12,-0.94054766839863,5.2913709910493e-06
"MASP2","turquoise",0.990907015651293,4.82158287870935e-10,-0.933487993829812,9.16196922297763e-06
"FAM76A","turquoise",0.943733792152299,4.0394291759196e-06,-0.934548762483215,8.46964954699794e-06
"BAZ1B","turquoise",-0.992947987169256,1.35739031835423e-10,0.968208385378307,2.42472014634752e-07
"RANBP9","turquoise",-0.981256570421508,1.76555102235336e-08,0.979745566361114,2.59497763628647e-08
"METTL13","turquoise",-0.989505030612376,9.85246067425685e-10,0.94613896914918,3.2601170342721e-06
"DYRK4","turquoise",-0.95867374846699,8.85584631373157e-07,0.884518719479334,0.000132841546812073
"UQCRC1","turquoise",-0.997253889848334,1.22419778515737e-12,0.918239025917552,2.50531169220451e-05
"STARD3NL","turquoise",-0.995037223928396,2.35113942431588e-11,0.944148997614327,3.89532503245244e-06
"NCAPD2","turquoise",-0.987332226464157,2.51513088219517e-09,0.981927709378971,1.47295745155657e-08
"NISCH","turquoise",0.982335404408955,1.31504256107931e-08,-0.982724217343862,1.17731665222348e-08
"ZNF200","turquoise",0.936130362702589,7.51487897425995e-06,-0.920245683308201,2.22024470193126e-05
"SCMH1","turquoise",-0.828461517471396,0.000870321005773005,0.777702618189348,0.00290306939278274
"NME1-NME2","turquoise",-0.87445905798569,0.000198186217496162,0.832728697079158,0.000773176232425557
"BTBD7","turquoise",0.71980164682165,0.00830302885502402,-0.74405972522941,0.00552233837782014
"MBTD1","turquoise",0.995897522333219,9.08887007202970e-12,-0.92844532382934,1.30897233792636e-05
"UTP18","turquoise",-0.920435153840272,2.19471132095481e-05,0.737693178207536,0.00617125039185059
"PTBP1","turquoise",-0.99806026375126,2.15555656680542e-13,0.926143042565211,1.52750871480288e-05
"LARS2","turquoise",-0.916403170966701,2.79067102979918e-05,0.731202243156912,0.00689025668946668
"PPP5C","turquoise",-0.965851651796653,3.45318367066201e-07,0.992883475776799,1.42047016607226e-10
"CEP68","turquoise",0.993267534489942,1.07706489016531e-10,-0.964207464542246,4.35639599341158e-07
"ZBTB32","turquoise",-0.990995390226803,4.59246749901393e-10,0.970295107681982,1.73287365918248e-07
"BRCA1","turquoise",-0.980863907568393,1.95710891975725e-08,0.986596815795496,3.33091924961595e-09
"ERCC1","turquoise",-0.914189132553093,3.1682199054909e-05,0.91354773270428,3.28477674864732e-05
"PRICKLE3","turquoise",-0.959358753347255,8.15527807867116e-07,0.987235190755433,2.61252348417892e-09
"EXTL3","turquoise",-0.837339866035057,0.000677854154639716,0.628990137241179,0.0284444021379965
"CALCOCO1","turquoise",0.925950641122595,1.54699838592123e-05,-0.744213897052807,0.00550729106087426
"MAP4K5","turquoise",0.948593836371519,2.59268052439586e-06,-0.878253897058523,0.000171121076799405
"PSMC4","turquoise",-0.989841498959227,8.37589996412231e-10,0.967725552793102,2.61239570214588e-07
"MAN2B2","turquoise",0.918236079207724,2.50575048859136e-05,-0.732899658396075,0.00669646036172943
"MVP","turquoise",-0.971950392540282,1.3045849686605e-07,0.991863124092042,2.77102353662369e-10
"CLK1","turquoise",0.986868174817375,3.00847944792763e-09,-0.979164207388968,2.98647657704772e-08
"RNF14","turquoise",-0.853312541592175,0.000415886101786827,0.668141656838943,0.0175567845910303
"POLA2","turquoise",-0.995028240731297,2.37246017902538e-11,0.919806379197946,2.28034750793813e-05
"ZC3H3","turquoise",-0.967676480653913,2.63209849995336e-07,0.886650473788217,0.000121475138290341
"MDH1","turquoise",-0.997260950422751,1.20855495396327e-12,0.955541224943294,1.26935320608555e-06
"NUDCD3","turquoise",-0.919124038923615,2.37623690386895e-05,0.855057995865542,0.000392932441273128
"ATP2C1","turquoise",-0.959772196528402,7.75423928765609e-07,0.992518826855479,1.82253681840533e-10
"RALBP1","turquoise",-0.977892684976,4.00738475392085e-08,0.981115130861152,1.83274381084207e-08
"ADGRA2","turquoise",0.742669966235054,0.00565938293972385,-0.709981465882655,0.00968454998494654
"ZDHHC6","turquoise",0.806946849770816,0.00151193664844638,-0.784965491248864,0.00249146514988701
"NDUFS1","turquoise",-0.873711964160346,0.000203887105130625,0.668843165801813,0.017395198064779
"RB1CC1","turquoise",0.957356688120196,1.03367937133041e-06,-0.976737470023398,5.15967465597709e-08
"ALAS1","turquoise",-0.97158436153305,1.39109793318156e-07,0.992072862258828,2.43268598146519e-10
"DERA","turquoise",-0.992232695095975,2.19771734458021e-10,0.967689458689084,2.62687627164157e-07
"NCAPH2","turquoise",-0.995624205160203,1.25419588952073e-11,0.942876333637718,4.35038635429931e-06
"RNASET2","turquoise",0.994307927952474,4.66098787773402e-11,-0.967933242978065,2.53030163917827e-07
"SLAMF7","turquoise",-0.950014150962829,2.2592102506706e-06,0.985554807016474,4.83484620502818e-09
"B4GALT7","turquoise",0.973971428644311,9.00675121409846e-08,-0.952698415756464,1.72218278155806e-06
