"Gene","ModuleColor","kME_turquoise","p.kME_turquoise","GS_Activation_Status.Activated","PValue"
"STPG1","turquoise",0.91329716257419,7.83368231061179e-07,0.817685343098876,0.000109214294260699
"CYP51A1","turquoise",0.890433175912128,3.78751369235201e-06,0.941666254401767,5.27816020990825e-08
"M6PR","turquoise",0.797634733899686,0.000214154170195225,0.848496364862013,3.25926857080099e-05
"ARF5","turquoise",0.88293793420544,5.8960801630545e-06,0.881899137107129,6.25430246303615e-06
"SARM1","turquoise",-0.90423646836771,1.53254244671866e-06,-0.851887101507225,2.80815035194605e-05
"POLDIP2","turquoise",0.975404113509048,1.36834340676055e-10,0.868608163396105,1.27185767859589e-05
"AK2","turquoise",0.957819541444803,5.69661895040174e-09,0.858416669473736,2.08571978467625e-05
"FKBP4","turquoise",0.927518188278585,2.32318002789568e-07,0.771363117086698,0.000466705192531755
"RECQL","turquoise",0.938089401901989,7.92902850158562e-08,0.933840181680779,1.24753609403247e-07
"ARHGAP33","turquoise",0.907085612933455,1.25016653728584e-06,0.961919918449598,2.81497364263659e-09
"NDUFAB1","turquoise",0.970355249897334,4.98853477100897e-10,0.860106743503935,1.92659330892417e-05
"CDC27","turquoise",0.987916167724023,9.7714871277755e-13,0.947241477713287,2.65211752611236e-08
"HCCS","turquoise",0.919433165021645,4.76502031573081e-07,0.887575129897215,4.50015792370295e-06
"DHX33","turquoise",0.912760929461432,8.16726401216611e-07,0.817954333045406,0.000108173646224269
"CIAPIN1","turquoise",0.935665913683457,1.03066682098947e-07,0.956331446374896,7.23258437825726e-09
"SPPL2B","turquoise",-0.816185797217409,0.000115169600340355,-0.788530969769018,0.000283918049799901
"CREBBP","turquoise",-0.942397073958705,4.84181667430502e-08,-0.881515787854077,6.39104750604947e-06
"WDR54","turquoise",0.93297217831367,1.36352158782786e-07,0.960487875041748,3.63114447269436e-09
"KMT2E","turquoise",-0.915019412541915,6.83918344971183e-07,-0.864163019954407,1.58574198239817e-05
"IBTK","turquoise",0.964328861913524,1.79306310626754e-09,0.891955247252789,3.44858286345578e-06
"MYCBP2","turquoise",-0.973709774059075,2.17153290625008e-10,-0.91698559723619,5.83659940183562e-07
"FBXL3","turquoise",-0.858672185566636,2.06097787948518e-05,-0.804502165957252,0.000171502487015344
"CRLF1","turquoise",-0.86662810603622,1.40451584976558e-05,-0.809590083606796,0.000144672722715947
"AP2B1","turquoise",0.968900396302777,6.94933677184552e-10,0.868618983759168,1.27116278675922e-05
"MAP3K9","turquoise",0.847707726447992,3.3724596982702e-05,0.925400301180286,2.82586412051181e-07
"AGK","turquoise",0.908521120304988,1.12546566798774e-06,0.932608304647368,1.41479862943359e-07
"GGCT","turquoise",0.990223962723231,2.23002818662422e-13,0.907706837129712,1.19483878364236e-06
"COX10","turquoise",0.947898820999571,2.43356397684557e-08,0.803596943695354,0.000176683177032913
"ELAC2","turquoise",0.903602751921013,1.60218446548216e-06,0.723785877067865,0.00152569753857547
"PNPLA4","turquoise",0.93132220167788,1.6093747010827e-07,0.786924486912462,0.000297988953933552
"ADIPOR2","turquoise",0.932764272869863,1.39262261075796e-07,0.980511223753165,2.71971905983986e-11
"CCDC124","turquoise",0.967152481491758,1.0142820104826e-09,0.83850718341014,4.9554689531972e-05
"CD79B","turquoise",0.843202271676808,4.08419136650276e-05,0.909314660601137,1.06116982204192e-06
"TSR3","turquoise",0.962194615886157,2.67782899993196e-09,0.839693321483275,4.72191955371498e-05
"E2F2","turquoise",0.898260527549059,2.30326836817166e-06,0.947285359128255,2.63702519126219e-08
"CDKL5","turquoise",-0.886391657094164,4.82669077924851e-06,-0.953090467360653,1.18352198889066e-08
"CYTH3","turquoise",-0.888151871335416,4.34790894014244e-06,-0.871905385334119,1.07433682178521e-05
"SPAG9","turquoise",0.912735200461142,8.18356730620417e-07,0.916538968202874,6.05264571306545e-07
"SS18L2","turquoise",0.873386364506507,9.94412650621816e-06,0.968323155225576,7.89198607146368e-10
"MPND","turquoise",0.832560987872228,6.27702963956353e-05,0.758960171569366,0.000651699214198112
"PKD1","turquoise",-0.807168259413391,0.000156971356782439,-0.91184885022614,8.76228927669282e-07
"HEATR5B","turquoise",-0.89939502602931,2.13600523207449e-06,-0.930584126474532,1.73096695382083e-07
"UBE3C","turquoise",0.955568479803492,8.14825463378950e-09,0.84176209229742,4.33660119773228e-05
"REV3L","turquoise",-0.91605484765949,6.29444275334929e-07,-0.943546215459124,4.21782644492091e-08
"TENM1","turquoise",-0.96875482971817,7.17747337162838e-10,-0.852701869341135,2.70793294184147e-05
"MASP2","turquoise",-0.9798927956591,3.37896128560175e-11,-0.905862102706322,1.36549285225054e-06
"BAZ1B","turquoise",0.958038372446673,5.49614432321988e-09,0.939799899964169,6.54703211668853e-08
"DYRK4","turquoise",0.913349490124622,7.80175740864686e-07,0.865948359104043,1.45265566332959e-05
"STARD3NL","turquoise",0.901446768021703,1.85950962124551e-06,0.752208126960973,0.000775373837309296
"NCAPD2","turquoise",0.997832065241749,6.00051040778861e-18,0.959939820151912,3.99287888589714e-09
"PHF7","turquoise",0.856136935443187,2.3177158045984e-05,0.741663606871331,0.00100655993906998
