gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_biotype	Significance
MIR29B2CHG	982.3203403045537	-2.1029155432770588	0.1180337292441017	-17.816225554714855	5.288677244269516e-71	2.1534964870941043e-66	lncRNA	Significantly Downregulated
PEG13	237.07620646449791	-4.119520046314337	0.2407016721188896	-17.114629948559664	1.1544702164783008e-65	2.3504436372389963e-61	lncRNA	Significantly Downregulated
LYZ	271.4186749106962	-8.46293131260527	0.496014472191363	-17.061863689614807	2.853058233045044e-65	3.872455939712038e-61	protein_coding	Significantly Downregulated
ENSG00000307066.1	51.75964207468379	-3.8824900613212154	0.2420046487518696	-16.043039178565454	6.394688059938908e-58	6.509632577816309e-54	lncRNA	Significantly Downregulated
LINC00402	169.38849225350054	-6.973486589832288	0.44599442808684964	-15.635815496049927	4.1512611195095634e-55	3.3807040305061985e-51	lncRNA	Significantly Downregulated
WNT7A	168.1132107495638	-6.174533624529233	0.4059673742973843	-15.209433110765662	3.0618298791453754e-52	2.077910847482009e-48	protein_coding	Significantly Downregulated
SMTN	501.4190386469828	2.904082454019977	0.19258597597852792	15.079407725637111	2.2124471267805194e-51	1.286980493648228e-47	protein_coding	Significantly Upregulated
HDAC7	5458.085423622219	1.3258364920994823	0.08799851890860207	15.066577353154504	2.686757809392846e-51	1.3675261405083413e-47	protein_coding	Significantly Upregulated
ERO1B	306.1979065404969	-2.234753191670213	0.14892290964877702	-15.006107501798768	6.696381829594518e-51	3.0296663524362127e-47	protein_coding	Significantly Downregulated
CCL4.2	120.33236774604757	25.683441206892873	1.716519687316601	14.962508963146966	1.290668705229867e-50	5.255473900825496e-47	NA	Significantly Upregulated
CALM2	3754.796900647467	1.4069271046332286	0.09505745272671169	14.80080797744619	1.4473352690272905e-49	5.357640438138385e-46	protein_coding	Significantly Upregulated
ACAT2	724.9566484477265	1.8531591277739698	0.1253434047377455	14.784656054710757	1.8399479962979146e-49	6.2434035384378985e-46	protein_coding	Significantly Upregulated
PNP	1881.0420332464407	1.5646066286901525	0.10624331637831504	14.726635820731017	4.3481918697475686e-49	1.3619540364942403e-45	protein_coding	Significantly Upregulated
ETFB	827.423703149822	1.9444011862276496	0.13439799132482086	14.467486954684524	1.944476701730625e-47	5.655510486983523e-44	protein_coding	Significantly Upregulated
PPM1G	1776.9696755725313	1.599573851238918	0.11079235220066726	14.437583637016457	3.0018277857859426e-47	8.14876170729452e-44	protein_coding	Significantly Upregulated
NDUFA12	681.6458309665281	1.83407439181826	0.12741346450450003	14.394666991834946	5.589345005796403e-47	1.4224533705688983e-43	protein_coding	Significantly Upregulated
FDPS	1764.0120295183328	2.2480639458512295	0.15654352622610748	14.360631832223985	9.139014531350777e-47	2.1890090158945424e-43	protein_coding	Significantly Upregulated
SLC8B1	893.2770186293138	-1.8744500585628328	0.1317252553957779	-14.229997527284455	5.968388526685919e-46	1.3501489578784662e-42	protein_coding	Significantly Downregulated
TMPO	6053.916583227259	1.8148202879732507	0.12807986274598776	14.169442791896667	1.4161973920723294e-45	3.035060084620693e-42	protein_coding	Significantly Upregulated
AMY2B	252.28847766553747	-2.5628134421874083	0.18331774534252884	-13.98017108163095	2.059922493591122e-44	4.193899200826845e-41	protein_coding	Significantly Downregulated
CENPH	484.90169294603015	3.490376411178315	0.25042684109769525	13.9377088968537	3.73746260330627e-44	6.917533624728546e-41	protein_coding	Significantly Upregulated
MRPL16	521.2744882935502	1.3959875309877352	0.10014175389539082	13.94011465433289	3.6135925050093326e-44	6.917533624728546e-41	protein_coding	Significantly Upregulated
SAE1	1871.8361265481813	2.139923520238016	0.1538931413532765	13.905255955011118	5.885594036642588e-44	1.0419804503393458e-40	protein_coding	Significantly Upregulated
ETHE1	425.74307861091455	1.8880048554703979	0.1358955563145383	13.893058071012263	6.979077336531972e-44	1.1840877086093557e-40	protein_coding	Significantly Upregulated
CEP78	892.813686898598	1.2780209703424068	0.09203019873339618	13.886973927381456	7.597803323698545e-44	1.2374998141507241e-40	protein_coding	Significantly Upregulated
DERA	261.8857845111067	1.8437347609873669	0.13291206180569065	13.871839289370103	9.383927303464607e-44	1.4696312918068281e-40	protein_coding	Significantly Upregulated
MSMO1	697.5524560117913	2.0710996122792067	0.1502403063356007	13.785246201860561	3.126979649689891e-43	4.7158327539156544e-40	protein_coding	Significantly Upregulated
MYL12B	2298.350171928489	1.2182883015553427	0.08865640702241796	13.741683680540788	5.713154509562243e-43	8.30835494553089e-40	protein_coding	Significantly Upregulated
SCARNA5	5413.127310475789	-2.4375442201652286	0.17745219581117402	-13.736342957170319	6.150493406528346e-43	8.635929000704405e-40	scaRNA	Significantly Downregulated
CDC7	412.4215150623867	2.3605037485680893	0.17192530394901132	13.729821581517488	6.729903834994329e-43	9.134498475237802e-40	protein_coding	Significantly Upregulated
ENSG00000288748.2	118.2781932445703	-3.3520245996678506	0.24466265256281694	-13.700597800913734	1.0069185465837767e-42	1.3226037515595097e-39	lncRNA	Significantly Downregulated
KIF24	304.35670955602575	2.4144819601748724	0.17824707262753003	13.545703301508015	8.400544444775891e-42	1.0689430288963422e-38	protein_coding	Significantly Upregulated
HPCAL4	362.1319713179014	-3.961297036143442	0.29386721146235006	-13.479887791601953	2.0541900341760228e-41	2.534683757624651e-38	protein_coding	Significantly Downregulated
SMC1A	3962.418998379231	1.573883653364422	0.11686844263433802	13.467139784593888	2.44141570926532e-41	2.9238825372227813e-38	protein_coding	Significantly Upregulated
ZBTB40	1297.8107461212644	-1.0868264169268687	0.08083721433625313	-13.444629751911908	3.310586534108199e-41	3.851536373781479e-38	protein_coding	Significantly Downregulated
AKR7A2	417.83979466100266	1.2881994916246777	0.0962718140146592	13.380858196237218	7.823875623439021e-41	8.849455319744819e-38	protein_coding	Significantly Upregulated
