gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_biotype	Significance
ACTB	91421.3133449474	2.7480427467597246	0.04191213345380438	65.56675884296422	0	0	protein_coding	Significantly Upregulated
SCD	4872.751379356899	8.344988719769646	0.158770456169347	52.56008530244917	0	0	protein_coding	Significantly Upregulated
PGK1	8977.871440798252	2.8446527681823706	0.06999024103408892	40.643562961826	0	0	protein_coding	Significantly Upregulated
GPI	6283.97986988968	2.9078707246835567	0.054441319327892264	53.41293636125657	0	0	protein_coding	Significantly Upregulated
GPI	6283.97986988968	2.9078707246835567	0.054441319327892264	53.41293636125657	0	0	protein_coding	Significantly Upregulated
SLC1A5	2674.5309052012403	4.121299172474191	0.09992357803293564	41.24451159180646	0	0	protein_coding	Significantly Upregulated
PFN1	13953.550080103962	2.5400891155717615	0.05544206781581882	45.81519441176072	0	0	protein_coding	Significantly Upregulated
NSD2	5186.803155437857	2.803705925485222	0.06375225913679006	43.97814231915216	0	0	protein_coding	Significantly Upregulated
GAPDH	31807.685297127202	4.113070138311413	0.0992968524996146	41.42195885138834	0	0	protein_coding	Significantly Upregulated
SUB1	2333.952048177216	2.099682584029172	0.050602223916877874	41.493879547235544	0	0	protein_coding	Significantly Upregulated
CISH	4638.929679156255	5.101641153712198	0.09186182535627431	55.5360307061844	0	0	protein_coding	Significantly Upregulated
STMN1	3730.902209293681	4.697954467835059	0.11486399884344602	40.90014726231271	0	0	protein_coding	Significantly Upregulated
H2BC11	3713.401318223145	4.819626310549888	0.1040807717496711	46.30659659347807	0	0	protein_coding	Significantly Upregulated
TOP2A	6683.748487927157	9.725951368232648	0.19237662192324267	50.55682582945684	0	0	protein_coding	Significantly Upregulated
MYO1G	9475.041693994935	3.0432062066869983	0.06327350991867696	48.096054898777005	0	0	protein_coding	Significantly Upregulated
NUSAP1	2015.0539384944732	6.904640423748082	0.16362820652260873	42.19712829764505	0	0	protein_coding	Significantly Upregulated
KIF11	1762.8834028777205	5.656191430883422	0.12794587717326017	44.20768809317701	0	0	protein_coding	Significantly Upregulated
CCNA2	1470.5472407878774	5.940288663804767	0.1404822712684381	42.28497026826873	0	0	protein_coding	Significantly Upregulated
H2BC5	2905.4821794946183	3.019308247380199	0.05664994102206642	53.29764149629231	0	0	protein_coding	Significantly Upregulated
H4C8	3352.2563842027685	2.9174322422834242	0.07253204323160138	40.22266728331089	0	0	protein_coding	Significantly Upregulated
RACGAP1	1660.4510395385869	5.0376096557779455	0.10416392147398335	48.36232722897411	0	0	protein_coding	Significantly Upregulated
HMGB2	4303.847632179718	3.30646152047395	0.057347672826405696	57.65642017388876	0	0	protein_coding	Significantly Upregulated
PLK1	1165.6282925040525	5.968527653772686	0.1380104966410877	43.24691091645394	0	0	protein_coding	Significantly Upregulated
TPM4	7313.825149423864	3.357121548522728	0.040652904832101176	82.58011481314391	0	0	protein_coding	Significantly Upregulated
H1-4	8109.521992142571	2.4168989784198533	0.0343328131212826	70.3961825056986	0	0	protein_coding	Significantly Upregulated
BUB1	1447.7971715310148	6.218634869195684	0.14749334873016243	42.16213763355942	0	0	protein_coding	Significantly Upregulated
RCC2	2406.6224840679524	1.974053742192172	0.04876564813649129	40.480416392025546	0	0	protein_coding	Significantly Upregulated
