"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051276","chromosome organization","288/4584","461/10333",0.62472885032538,1.40822932164314,8.00701115538775,1.01579361262146e-15,4.95910441681797e-12,4.72397492690696e-12,"MAD1L1/POLDIP2/CDC27/NCAPD2/DDX11/TACC3/MRE11/HMGB3/RFC1/PNKP/SPDL1/PARP3/TPR/ARID1B/RAD51/NDC1/STAG3/RHOA/NUP133/SMG6/SMC1A/XRCC1/SMARCE1/CLASP1/ACTB/MLH1/SPAG5/TOP2B/PPP2R5C/ZCWPW1/XRCC5/KIF22/HSP90AA1/NDC80/TDRD3/PDS5B/ZMPSTE24/ATRX/SEH1L/MAP3K4/TPX2/ANAPC5/NUDC/MAP3K20/HNRNPC/CDC23/AAAS/MSH2/HSP90AB1/BCL7C/YY1/CCNB1IP1/APEX1/KIF3B/CHMP4B/ACTR5/SMCHD1/CEP192/NAA10/CENPT/CTCF/ACD/RAB11A/NBN/DOT1L/CCDC61/AKAP8/CCNE1/PPP2R1A/RPA3/NSMCE4A/BCCIP/SMC3/RAD51C/KPNB1/SMARCD2/RANGRF/GAR1/FBXW7/ANAPC15/PTGES3/BCL7A/NUP107/RIPOR2/FBXO5/PPP2R5D/SENP6/IK/MSH3/RAD50/NUP155/SMC4/INO80D/INO80B/CCT4/CHMP3/MAD2L2/UCHL5/CDC20/CENPF/RPA2/DCLRE1B/TCP1/NCAPH/KIF18A/PDS5A/SHLD2/ZWINT/CENPK/CDK2/ITPA/XRCC3/PCID2/HSPA2/SMARCA4/POT1/KNSTRN/SGO1/MAU2/GNL3L/CHMP2A/DKC1/LATS1/CHMP1A/TUBG1/TOP2A/GCH1/RAN/RPA1/TERF2/PCNA/NASP/SLF1/DPF2/CCNB1/APC/NAT10/CCT7/BRIP1/ACTL6A/SMC2/CDK5RAP2/XPA/MYC/PPP2R1B/NUSAP1/KNL1/CENPO/KIF11/DNA2/HNRNPD/CENPE/NABP2/BRCA2/RB1/PML/KATNB1/WRAP53/ANAPC11/P3H4/ITGB3BP/KIF2C/NUF2/PARP1/EML4/FANCD2/DYNC1LI1/NHP2/CCT6A/NCAPG2/HMBOX1/CHMP7/ATM/EML3/INCENP/LTO1/CCT5/NCAPD3/FBXO4/CENPH/ANAPC1/INO80C/CCSAP/BUB3/CCT8/AIFM1/NSMCE2/H4C8/MIS18A/RECQL4/RACGAP1/SMC6/ABRAXAS1/CCT3/CIP2A/SGO2/TOPBP1/GNL3/HMGB2/MAD2L1/NIPBL/TERT/PTTG1/RAD21/SUN1/WRN/ABRAXAS2/CCT2/CENPN/PLK1/GOLGA2/CDT1/FEN1/AXIN2/CHTF8/NSMCE1/BUB1/CENPX/NFRKB/EXOSC10/SHLD1/DCP2/SMARCC1/ZWILCH/DHX36/DCTN2/CCNE2/BANF1/RMI2/RUVBL1/ANAPC2/RMDN1/TOP3A/GEN1/CTC1/RRS1/RCC1/SLX1B/NOP10/SKA2/RUVBL2/CHEK2/KMT5A/H1-5/KNTC1/H1-10/RAD51D/DRG1/PPP1CC/SIRT7/MCRS1/CENPP/SLX4/XRCC6/ANAPC7/H4C3/H3C12/H4C11/BLM/H3C4/MCMBP/LDB1/CHAMP1/PRC1/SMG5/EHMT2/MSH5/ZBTB48/MZT1/LCMT1/NUP62/PHB2/SHLD3/PRKDC/H4C15/H4C12/H4C6/H4C13/H3C11/UHRF1/H4C9/H4C4/H3C7/H4C1/H4C2/H3C10/H3C2/H3C3",288
"GO:0006260","DNA replication","156/4584","235/10333",0.663829787234043,1.4963684972708,6.87288073155376,5.07784765086589e-12,1.23950261157636e-08,1.18073320639608e-08,"REV3L/BRCA1/DDX11/POLA2/MRE11/RTF2/RFC1/BOD1L1/PNKP/JADE2/RFC2/RAD51/POLQ/POLD1/WDR18/NUCKS1/CDC42/MCM2/TIPIN/MCM6/POLD3/ZMPSTE24/ATRX/ORC1/SUPT16H/CDC7/CDC34/MCM5/POLE2/YY1/CINP/PTK6/ACTR5/METTL4/POLI/RBBP8/POLA1/RBBP7/DNAJA3/NBN/MCM4/RNASEH2A/CCNE1/LIG1/RPA3/POLD2/TWNK/GTPBP4/SMC3/GLI1/CDKN1B/CDK2AP1/RFC5/TIMELESS/MCM9/FBXO5/MCM3/GMNN/RAD50/INO80D/INO80B/ORC2/UCHL5/RPA2/SET/PDS5A/POLK/ATF1/CDK2/TTF1/DTD1/MCM8/HELB/CHTF18/DUT/RPA1/ANKRD17/TERF2/PCNA/NASP/RFC3/ORC3/USP37/REV1/ACTL6A/CDK9/DNA2/BARD1/BRCA2/CARM1/PARP1/CCNA2/PRIM2/MMS22L/SSRP1/CHEK1/OBI1/RAD17/INO80C/TBRG1/EME1/DONSON/CHAF1B/PTMS/TONSL/RECQL4/LRWD1/DBF4B/RBBP4/NFIA/TOPBP1/MEAF6/RFC4/ORC5/WRN/WEE1/MCM7/RRM1/CDT1/CHAF1A/TK1/RFWD3/FEN1/CHTF8/CENPX/NFRKB/RNASEH1/NOC3L/KCTD13/CENPS/CCNE2/RMI2/RUVBL1/ATAD5/POLE/GEN1/RMI1/CTC1/GINS3/RUVBL2/TRAIP/FAF1/MCRS1/FANCM/SLX4/FAM111B/BLM/MCMBP/EME2/PRIM1/WDHD1/BAZ1A/EHMT2/NT5M/TREX1/POLG2",156
"GO:0007059","chromosome segregation","209/4584","336/10333",0.62202380952381,1.40213176784675,6.69146983732253,1.8181617693771e-11,2.95875525269967e-08,2.81846971828352e-08,"FIRRM/MAD1L1/POLDIP2/CDC27/SLC25A5/NCAPD2/BRCA1/TACC3/MRE11/SPDL1/TPR/ARID1B/NDC1/ASPM/STAG3/RHOA/SIRT2/CSNK2A2/CDC42/RAD18/SMC1A/NDE1/SMARCE1/CLASP1/NUP37/ACTB/MLH1/SPAG5/TOP2B/ZCWPW1/KIF22/NDC80/SEH1L/AURKA/TPX2/ANAPC5/NUDC/MAP3K20/HAUS4/CDC23/AAAS/SRPK1/BCL7C/CENPM/CCNB1IP1/TUBB1/CSNK2A1/KIF3B/CHMP4B/FAM83D/CEP192/BEX4/CENPT/CTCF/RAB11A/ERCC2/CCDC61/AKAP8/CCNE1/PPP2R1A/BCCIP/SMC3/KPNB1/SMARCD2/RANGRF/ANAPC15/BCL7A/RIPOR2/FBXO5/SENP6/IK/NR3C1/SMC4/ECT2/ACTR3/CHMP3/MAD2L2/CDC20/CENPF/NUP43/CENPL/NCAPH/KIF18A/GPSM2/ZWINT/CENPK/STIL/XRCC3/TUBGCP3/PCID2/SMARCA4/KNSTRN/SGO1/MAU2/CEP85/CHMP2A/LATS1/CHMP1A/TUBG1/TOP2A/RAN/DPF2/CCNB1/ARL8B/APC/BRIP1/ACTL6A/C9orf78/SMC2/CDK5RAP2/PPP2R1B/NUSAP1/KNL1/HAUS2/TUBGCP4/ACTR2/CENPO/KIF11/CENPE/RB1/KATNB1/NCOR1/ANAPC11/P3H4/ITGB3BP/KIF2C/NUF2/EML4/FANCD2/DYNC1LI1/TLK2/NCAPG2/CHMP7/HAUS6/MKI67/ATM/EML3/INCENP/DSN1/NCAPD3/CENPU/HAUS1/CENPH/ANAPC1/CCSAP/BUB3/NSMCE2/MIS18A/PMF1/RACGAP1/SMC6/ABRAXAS1/SGO2/MAD2L1/NIPBL/PTTG1/RAD21/SUN1/DCAF13/ABRAXAS2/CENPN/CIAO2B/CIAO2A/PLK1/GOLGA2/CDT1/DDB1/BUB1/CENPX/HDAC3/SMARCC1/ZWILCH/DCTN2/CENPS/CCNE2/RMI2/ANAPC2/RMDN1/TOP3A/GEN1/RRS1/RCC2/RCC1/SKA2/TUBB/CHEK2/KMT5A/KNTC1/DRG1/CENATAC/PPP1CC/SIRT7/CENPP/PLSCR1/ANAPC7/TLK1/CCDC69/CHAMP1/PRC1/EHMT2/MSH5/MZT1/LCMT1/NUP62/HAUS7/HAUS3/PPP2R2A/HAUS5/UHRF1",209
"GO:0048285","organelle fission","210/4584","339/10333",0.619469026548673,1.39637291695625,6.62601627335386,2.82961649101708e-11,3.45354692728635e-08,3.2898014887667e-08,"MAD1L1/POLDIP2/COX10/NCAPD2/RALBP1/MRE11/UBR2/SPDL1/CUL7/TPR/RAD51/NDC1/CTDP1/ASPM/STAG3/RHOA/SIRT2/VPS35/CDC42/SMC1A/NDE1/CLASP1/MLH1/SPAG5/TOP2B/ZCWPW1/CDC14A/KIF22/NDC80/CDC14B/SEH1L/RAD54L/AURKA/TPX2/ANAPC5/NUDC/CDC23/AAAS/RANBP1/MIEF1/PRMT5/CCNB1IP1/KIF3B/CHMP4B/CEP192/SMPD3/RAB11A/GDAP1/PEX11G/CCDC61/AKAP8/CCNE1/FZR1/PPP2R1A/BCCIP/SMC3/UBE2S/RAD51C/KPNB1/RANGRF/ANAPC15/CORO1C/CDKN1B/RIPOR2/FBXO5/IK/RAD1/RAD50/SMC4/ACTR3/CHMP3/MAD2L2/CDC20/MTFR1L/CENPF/NCAPH/KIF18A/ZWINT/CENPK/CKS2/XRCC3/PCID2/HSPA2/KNSTRN/SGO1/CEP85/CHMP2A/CHMP1A/TUBG1/TOP2A/BRME1/RAN/FIGNL1/CCNB1/SPIRE1/APC/BORA/BRIP1/C9orf78/SMC2/CDK5RAP2/NUSAP1/KNL1/ACTR2/KIF11/KIF20B/CENPE/BRCA2/RB1/KATNB1/ANAPC11/P3H4/KIF2C/NUF2/EML4/FANCD2/DYNC1LI1/NCAPG2/CHMP7/MKI67/ATM/EML3/INCENP/CHEK1/NCAPD3/CYRIB/CCSAP/BUB3/EME1/MCU/NSMCE2/PINK1/ACOX1/RACGAP1/LRP5/NFIA/PEX19/ABRAXAS1/MAD2L1/NIPBL/PTTG1/RAD21/SUN1/DCAF13/ABRAXAS2/TMEM135/MARF1/PEX11A/PLK1/MEI1/GOLGA2/CDT1/DDB1/REEP4/MFF/BUB1/CENPX/UBB/MTBP/TMCC1/ZWILCH/DCTN2/CENPS/CCNE2/BANF1/TOM1L2/AURKAIP1/SPHK1/BNIP3/CNTD1/RMDN1/MIEF2/GEN1/RMI1/RRS1/CALR/RCC1/RAD51B/PLCB1/SKA2/CHEK2/KMT5A/KNTC1/RAD51D/L3MBTL1/PSMD13/DRG1/PPP1CC/SIRT7/FANCA/FANCM/SLX4/ANAPC7/RAD54B/EME2/CHAMP1/OPA1/PRC1/EHMT2/MSH5/MZT1/SPIRE2/LCMT1/NUP62/PHB2/BTBD18/PDXP/PGAM5/UHRF1/MYO19",210
"GO:0000725","recombinational repair","122/4584","178/10333",0.685393258426966,1.54497568484421,6.54885707040398,4.54079509595074e-11,4.4336323316863e-08,4.22341741766534e-08,"CREBBP/REV3L/MBTD1/BRCA1/MRE11/ASTE1/RAD51/POLQ/TP53BP1/NUCKS1/ZFYVE26/XRCC1/MCM2/ACTB/MCM6/XRCC5/PALB2/RAD54L/CDC7/MCM5/YY1/MRGBP/CSNK2A1/SMCHD1/RBBP8/HTATSF1/NBN/MCM4/RPA3/NSMCE4A/RAD51C/C1QBP/TIMELESS/CHD4/MCM9/MCM3/BRD8/RAD50/PSMD14/MAD2L2/RPA2/EPC1/SHLD2/HROB/MCM8/XRCC3/PRMT1/HELB/YEATS4/SEM1/GINS2/RPA1/FIGNL1/SLF1/EPC2/ACTL6A/ACTR2/ZGRF1/NABP2/BRCA2/WRAP53/INTS3/PARP1/MMS22L/GINS4/ATM/CHEK1/PPP4C/SFR1/NSMCE2/UBQLN4/TONSL/RECQL4/MRNIP/SENP3/SMC6/HELQ/PPP4R2/TOPBP1/MEAF6/NIPBL/RAD21/SPIDR/WRN/RNF169/MCM7/PLK1/HDGFL2/RFWD3/FEN1/NSMCE1/RHNO1/SHLD1/SWSAP1/RMI2/RUVBL1/SWI5/TOP3A/DMAP1/GEN1/RMI1/FANCB/SLX1B/RAD51B/RUVBL2/EP400/KMT5A/RAD51D/PARPBP/FANCM/H2AX/SLX4/XRCC6/XRCC2/RAD54B/BLM/ZSWIM7/ERCC6/AP5Z1/USP51/SHLD3/UHRF1",122
"GO:0000280","nuclear division","188/4584","300/10333",0.626666666666667,1.41259744037231,6.47575037783937,7.71359866862886e-11,6.27629811670769e-08,5.97871559964953e-08,"MAD1L1/POLDIP2/NCAPD2/MRE11/UBR2/SPDL1/CUL7/TPR/RAD51/NDC1/CTDP1/ASPM/STAG3/RHOA/SIRT2/CDC42/SMC1A/NDE1/CLASP1/MLH1/SPAG5/TOP2B/ZCWPW1/CDC14A/KIF22/NDC80/CDC14B/SEH1L/RAD54L/AURKA/TPX2/ANAPC5/NUDC/CDC23/AAAS/RANBP1/PRMT5/CCNB1IP1/KIF3B/CHMP4B/CEP192/SMPD3/RAB11A/CCDC61/AKAP8/CCNE1/FZR1/PPP2R1A/BCCIP/SMC3/UBE2S/RAD51C/KPNB1/RANGRF/ANAPC15/CDKN1B/RIPOR2/FBXO5/IK/RAD1/RAD50/SMC4/ACTR3/CHMP3/MAD2L2/CDC20/CENPF/NCAPH/KIF18A/ZWINT/CENPK/CKS2/XRCC3/PCID2/HSPA2/KNSTRN/SGO1/CEP85/CHMP2A/CHMP1A/TUBG1/TOP2A/BRME1/RAN/FIGNL1/CCNB1/SPIRE1/APC/BORA/BRIP1/C9orf78/SMC2/CDK5RAP2/NUSAP1/KNL1/ACTR2/KIF11/KIF20B/CENPE/BRCA2/RB1/KATNB1/ANAPC11/P3H4/KIF2C/NUF2/EML4/FANCD2/DYNC1LI1/NCAPG2/CHMP7/MKI67/ATM/EML3/INCENP/CHEK1/NCAPD3/CCSAP/BUB3/EME1/NSMCE2/RACGAP1/LRP5/NFIA/ABRAXAS1/MAD2L1/NIPBL/PTTG1/RAD21/SUN1/DCAF13/ABRAXAS2/MARF1/PLK1/MEI1/GOLGA2/CDT1/DDB1/REEP4/BUB1/CENPX/UBB/MTBP/ZWILCH/DCTN2/CENPS/CCNE2/BANF1/TOM1L2/AURKAIP1/SPHK1/CNTD1/RMDN1/GEN1/RMI1/RRS1/CALR/RCC1/RAD51B/PLCB1/SKA2/CHEK2/KMT5A/KNTC1/RAD51D/L3MBTL1/PSMD13/DRG1/PPP1CC/SIRT7/FANCA/FANCM/SLX4/ANAPC7/RAD54B/EME2/CHAMP1/PRC1/EHMT2/MSH5/MZT1/SPIRE2/LCMT1/NUP62/PHB2/BTBD18/PDXP/UHRF1",188
"GO:0000724","double-strand break repair via homologous recombination","117/4584","172/10333",0.680232558139535,1.53334271886034,6.29826191888827,2.38588128318701e-10,1.66398177493128e-07,1.58508624197296e-07,"CREBBP/REV3L/MBTD1/BRCA1/MRE11/ASTE1/RAD51/POLQ/TP53BP1/NUCKS1/ZFYVE26/XRCC1/MCM2/ACTB/MCM6/PALB2/RAD54L/CDC7/MCM5/YY1/MRGBP/CSNK2A1/SMCHD1/RBBP8/HTATSF1/NBN/MCM4/RPA3/NSMCE4A/RAD51C/C1QBP/TIMELESS/CHD4/MCM9/MCM3/BRD8/RAD50/PSMD14/MAD2L2/RPA2/EPC1/SHLD2/MCM8/XRCC3/PRMT1/HELB/YEATS4/SEM1/GINS2/RPA1/FIGNL1/SLF1/EPC2/ACTL6A/ACTR2/NABP2/BRCA2/WRAP53/INTS3/PARP1/MMS22L/GINS4/ATM/CHEK1/PPP4C/SFR1/NSMCE2/UBQLN4/TONSL/RECQL4/MRNIP/SENP3/SMC6/HELQ/PPP4R2/TOPBP1/MEAF6/NIPBL/RAD21/SPIDR/WRN/RNF169/MCM7/PLK1/HDGFL2/RFWD3/FEN1/NSMCE1/SHLD1/SWSAP1/RMI2/RUVBL1/SWI5/TOP3A/DMAP1/GEN1/RMI1/FANCB/SLX1B/RAD51B/RUVBL2/EP400/KMT5A/RAD51D/PARPBP/FANCM/H2AX/SLX4/XRCC2/RAD54B/BLM/ZSWIM7/ERCC6/AP5Z1/USP51/SHLD3/UHRF1",117
"GO:0006302","double-strand break repair","178/4584","286/10333",0.622377622377622,1.40292931326963,6.1703816665255,5.5084758370328e-10,3.36154737954926e-07,3.20216398000143e-07,"CREBBP/REV3L/IFFO1/MBTD1/PPP5C/BRCA1/DDX11/MRE11/ASTE1/PNKP/PARP3/TDP1/ARID1B/RAD51/POLQ/HPF1/TP53BP1/NUCKS1/CSNK2A2/ZFYVE26/XRCC1/MCM2/SMARCE1/ACTB/MCM6/MLH1/TOP2B/ZCWPW1/XRCC5/DDX1/PALB2/RAD54L/FH/MSH2/CDC7/BCL7C/MCM5/YY1/MRGBP/CSNK2A1/ACTR5/SMCHD1/RBBP8/POLA1/HTATSF1/NBN/MCM4/BABAM1/RPA3/NSMCE4A/RAD51C/C1QBP/SMARCD2/NSD2/PRPF19/BCL7A/FOXM1/TIMELESS/CHD4/TDP2/MCM9/MCM3/BRD8/RAD50/OGG1/PSMD14/MAD2L2/RPA2/DCLRE1B/EPC1/SHLD2/POLM/DEK/MCM8/XRCC3/PRMT1/HELB/YEATS4/SMARCA4/SEM1/POT1/PARP2/GINS2/BRME1/RPA1/FIGNL1/SLF1/DPF2/SPIRE1/EPC2/BRIP1/ACTL6A/ACTR2/DNA2/ZGRF1/NABP2/BRCA2/PML/WRAP53/INTS3/PARP1/FANCD2/MMS22L/GINS4/ATM/CHEK1/PPP4C/XRCC4/EME1/SFR1/NSMCE2/BABAM2/UBQLN4/TONSL/RECQL4/MRNIP/SENP3/SMC6/HELQ/ABRAXAS1/PPP4R2/TOPBP1/MEAF6/ATRIP/HMGB2/NIPBL/RAD21/SPIDR/WRN/RNF169/MCM7/MARF1/PLK1/ATP23/HDGFL2/RFWD3/FEN1/UBE2V2/NSMCE1/APLF/RHNO1/SHLD1/SMARCC1/SWSAP1/RMI2/RUVBL1/SWI5/TOP3A/DMAP1/GEN1/RMI1/GGN/FANCB/SLX1B/RAD51B/RUVBL2/EP400/CHEK2/KMT5A/RAD51D/PARPBP/NHEJ1/FANCM/H2AX/SLX4/XRCC6/XRCC2/RAD54B/BLM/EME2/SPIRE2/ZSWIM7/ERCC6/AP5Z1/USP51/SHLD3/PRKDC/UHRF1",178
"GO:0006310","DNA recombination","181/4584","292/10333",0.61986301369863,1.39726102106194,6.14889738731028,6.29658303798637e-10,3.41554648793883e-07,3.25360279085658e-07,"CREBBP/REV3L/MBTD1/BRCA1/MRE11/UBR2/HMGB3/ASTE1/PARP3/FOXP3/RAD51/POLQ/TP53BP1/NUCKS1/TCF3/ZFYVE26/XRCC1/MCM2/TBX21/ACTB/MCM6/MLH1/UNG/TOP2B/ZCWPW1/XRCC5/PALB2/RAD54L/MSH2/CDC7/MCM5/HDAC10/YY1/CCNB1IP1/APEX1/MRGBP/CSNK2A1/ACTR5/SMCHD1/RBBP8/HTATSF1/CD40LG/NBN/MCM4/ERCC2/RPA3/NSMCE4A/RAD51C/C1QBP/NSD2/TIMELESS/CHD4/MCM9/MCM3/BRD8/MSH3/RAD50/KPNA1/INO80D/PSMD14/INO80B/MSH6/MAD2L2/UCHL5/TNFSF4/RPA2/EPC1/SHLD2/PMS2/POLM/HROB/MCM8/XRCC3/PRMT1/HELB/YEATS4/SEM1/GINS2/TOP2A/BRME1/RPA1/FIGNL1/TERF2/SLF1/SWAP70/EPC2/BRIP1/ACTL6A/ACTR2/BARD1/ZGRF1/NABP2/BRCA2/WRAP53/INTS3/PARP1/HSPD1/FANCD2/DCAF1/MMS22L/GINS4/ATM/CHEK1/PPP4C/XRCC4/INO80C/EME1/BATF/SFR1/NSMCE2/UBQLN4/TONSL/RECQL4/MRNIP/SENP3/SMC6/HELQ/PPP4R2/TOPBP1/MEAF6/HMGB2/NIPBL/TERT/RAD21/SPIDR/WRN/RNF169/MCM7/PLK1/HDGFL2/RFWD3/FEN1/APEX2/NSMCE1/APLF/CENPX/NFRKB/RHNO1/SHLD1/SWSAP1/CENPS/RMI2/RUVBL1/SWI5/ATAD5/CNTD1/TOP3A/DMAP1/GEN1/RMI1/FANCB/SLX1B/RAD51B/KPNA2/RUVBL2/EP400/KMT5A/H1-5/H1-10/RAD51D/PARPBP/NHEJ1/MCRS1/FANCM/H2AX/SLX4/XRCC6/XRCC2/RAD54B/BLM/EME2/MSH5/TREX1/ZSWIM7/EXOSC6/ERCC6/AP5Z1/USP51/SHLD3/PRKDC/UHRF1",181
"GO:0098813","nuclear chromosome segregation","151/4584","238/10333",0.634453781512605,1.43015072521155,5.9947948456806,1.64612511932768e-09,8.03638283255773e-07,7.65534818651546e-07,"MAD1L1/POLDIP2/CDC27/NCAPD2/TACC3/MRE11/SPDL1/TPR/ARID1B/NDC1/ASPM/STAG3/RHOA/SIRT2/CDC42/SMC1A/SMARCE1/CLASP1/ACTB/MLH1/SPAG5/TOP2B/ZCWPW1/KIF22/NDC80/SEH1L/AURKA/TPX2/ANAPC5/NUDC/MAP3K20/CDC23/AAAS/BCL7C/CCNB1IP1/KIF3B/CHMP4B/FAM83D/CEP192/RAB11A/CCDC61/AKAP8/CCNE1/PPP2R1A/BCCIP/SMC3/KPNB1/SMARCD2/RANGRF/ANAPC15/BCL7A/RIPOR2/FBXO5/IK/SMC4/ECT2/ACTR3/CHMP3/MAD2L2/CDC20/CENPF/NCAPH/KIF18A/ZWINT/CENPK/XRCC3/PCID2/SMARCA4/KNSTRN/SGO1/CHMP2A/LATS1/CHMP1A/TUBG1/TOP2A/RAN/DPF2/CCNB1/APC/BRIP1/ACTL6A/C9orf78/SMC2/CDK5RAP2/NUSAP1/KNL1/ACTR2/KIF11/CENPE/RB1/KATNB1/ANAPC11/P3H4/KIF2C/NUF2/EML4/FANCD2/DYNC1LI1/NCAPG2/CHMP7/ATM/EML3/INCENP/DSN1/NCAPD3/ANAPC1/CCSAP/BUB3/NSMCE2/PMF1/RACGAP1/ABRAXAS1/MAD2L1/NIPBL/PTTG1/RAD21/SUN1/DCAF13/ABRAXAS2/PLK1/GOLGA2/CDT1/DDB1/BUB1/SMARCC1/ZWILCH/DCTN2/CCNE2/RMI2/ANAPC2/RMDN1/GEN1/RRS1/RCC2/RCC1/SKA2/CHEK2/KMT5A/KNTC1/DRG1/PPP1CC/SIRT7/ANAPC7/CHAMP1/PRC1/EHMT2/MSH5/MZT1/LCMT1/NUP62/UHRF1",151
