"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051276","chromosome organization","252/3733","461/10333",0.546637744034707,1.5131014757864,8.47618406473939,8.5102260457437e-17,4.14192701646346e-13,3.93441187293751e-13,"POLDIP2/CDC27/NCAPD2/DDX11/TACC3/MRE11/HMGB3/RFC1/SPDL1/TPR/ARID1B/RAD51/NDC1/STAG3/RHOA/NUP133/SMG6/SMC1A/XRCC1/ACTB/MLH1/SPAG5/XRCC5/KIF22/HSP90AA1/NDC80/TDRD3/PDS5B/ZMPSTE24/ATRX/SEH1L/TPX2/ANAPC5/NUDC/MAP3K20/HNRNPC/CDC23/AAAS/MSH2/HSP90AB1/YY1/CCNB1IP1/APEX1/KIF3B/CHMP4B/SMCHD1/CEP192/NAA10/CENPT/ACD/NBN/DOT1L/AKAP8/CCNE1/PPP2R1A/RPA3/BCCIP/SMC3/RAD51C/KPNB1/SMARCD2/RANGRF/GAR1/FBXW7/ANAPC15/PTGES3/NUP107/RIPOR2/FBXO5/PPP2R5D/SENP6/MSH3/RAD50/NUP155/SMC4/INO80D/INO80B/CCT4/CHMP3/MAD2L2/UCHL5/CDC20/CENPF/RPA2/DCLRE1B/TCP1/NCAPH/KIF18A/PDS5A/ZWINT/CENPK/CDK2/ITPA/XRCC3/HSPA2/SMARCA4/POT1/KNSTRN/SGO1/MAU2/GNL3L/CHMP2A/DKC1/LATS1/TUBG1/TOP2A/GCH1/RAN/RPA1/PCNA/NASP/SLF1/CCNB1/APC/NAT10/CCT7/BRIP1/ACTL6A/SMC2/XPA/MYC/PPP2R1B/NUSAP1/KNL1/CENPO/KIF11/DNA2/HNRNPD/CENPE/NABP2/BRCA2/RB1/KATNB1/WRAP53/ANAPC11/ITGB3BP/KIF2C/NUF2/PARP1/FANCD2/DYNC1LI1/NHP2/CCT6A/NCAPG2/CHMP7/ATM/EML3/INCENP/LTO1/CCT5/NCAPD3/FBXO4/CENPH/ANAPC1/INO80C/CCSAP/BUB3/CCT8/AIFM1/NSMCE2/H4C8/MIS18A/RECQL4/RACGAP1/SMC6/CCT3/CIP2A/SGO2/TOPBP1/GNL3/HMGB2/MAD2L1/NIPBL/TERT/PTTG1/RAD21/SUN1/WRN/ABRAXAS2/CCT2/CENPN/PLK1/GOLGA2/CDT1/FEN1/AXIN2/NSMCE1/BUB1/CENPX/NFRKB/DCP2/SMARCC1/ZWILCH/DCTN2/CCNE2/BANF1/RMI2/RUVBL1/ANAPC2/TOP3A/GEN1/CTC1/RRS1/RCC1/SLX1B/NOP10/SKA2/RUVBL2/CHEK2/KMT5A/H1-5/KNTC1/H1-10/RAD51D/DRG1/PPP1CC/SIRT7/CENPP/SLX4/XRCC6/ANAPC7/H4C3/H3C12/H4C11/BLM/H3C4/MCMBP/LDB1/CHAMP1/PRC1/SMG5/MSH5/ZBTB48/MZT1/LCMT1/NUP62/PHB2/PRKDC/H4C15/H4C12/H4C6/H4C13/H3C11/UHRF1/H4C9/H4C4/H3C7/H4C1/H4C2/H3C10/H3C2/H3C3",252
"GO:0006260","DNA replication","140/3733","235/10333",0.595744680851064,1.6490302135639,7.5688585386757,1.28015351492385e-13,3.11525357856718e-10,2.95917591449765e-10,"BRCA1/DDX11/POLA2/MRE11/RTF2/RFC1/BOD1L1/JADE2/RFC2/RAD51/POLQ/POLD1/WDR18/NUCKS1/CDC42/MCM2/TIPIN/MCM6/POLD3/ZMPSTE24/ATRX/ORC1/SUPT16H/CDC7/CDC34/MCM5/POLE2/YY1/CINP/PTK6/POLI/RBBP8/POLA1/RBBP7/DNAJA3/NBN/MCM4/RNASEH2A/CCNE1/LIG1/RPA3/POLD2/GTPBP4/SMC3/GLI1/CDKN1B/CDK2AP1/RFC5/TIMELESS/FBXO5/MCM3/GMNN/RAD50/INO80D/INO80B/UCHL5/RPA2/SET/PDS5A/POLK/ATF1/CDK2/TTF1/DTD1/MCM8/HELB/CHTF18/DUT/RPA1/PCNA/NASP/RFC3/ORC3/USP37/REV1/ACTL6A/DNA2/BARD1/BRCA2/CARM1/PARP1/CCNA2/PRIM2/MMS22L/SSRP1/CHEK1/OBI1/RAD17/INO80C/TBRG1/EME1/DONSON/CHAF1B/PTMS/TONSL/RECQL4/LRWD1/DBF4B/RBBP4/TOPBP1/RFC4/ORC5/WRN/WEE1/MCM7/RRM1/CDT1/CHAF1A/TK1/RFWD3/FEN1/CENPX/NFRKB/NOC3L/KCTD13/CENPS/CCNE2/RMI2/RUVBL1/ATAD5/POLE/GEN1/RMI1/CTC1/GINS3/RUVBL2/TRAIP/FAF1/FANCM/SLX4/FAM111B/BLM/MCMBP/EME2/PRIM1/WDHD1/BAZ1A/NT5M/TREX1/POLG2",140
"GO:0007059","chromosome segregation","184/3733","336/10333",0.547619047619048,1.51581773882872,7.22903440879432,1.17413480038206e-12,1.90483802448649e-09,1.80940352395719e-09,"FIRRM/POLDIP2/CDC27/SLC25A5/NCAPD2/BRCA1/TACC3/MRE11/SPDL1/TPR/ARID1B/NDC1/ASPM/STAG3/RHOA/CSNK2A2/CDC42/RAD18/SMC1A/NUP37/ACTB/MLH1/SPAG5/KIF22/NDC80/SEH1L/AURKA/TPX2/ANAPC5/NUDC/MAP3K20/HAUS4/CDC23/AAAS/SRPK1/CENPM/CCNB1IP1/TUBB1/CSNK2A1/KIF3B/CHMP4B/FAM83D/CEP192/BEX4/CENPT/ERCC2/AKAP8/CCNE1/PPP2R1A/BCCIP/SMC3/KPNB1/SMARCD2/RANGRF/ANAPC15/RIPOR2/FBXO5/SENP6/NR3C1/SMC4/ECT2/ACTR3/CHMP3/MAD2L2/CDC20/CENPF/NUP43/CENPL/NCAPH/KIF18A/GPSM2/ZWINT/CENPK/STIL/XRCC3/TUBGCP3/SMARCA4/KNSTRN/SGO1/MAU2/CEP85/CHMP2A/LATS1/TUBG1/TOP2A/RAN/CCNB1/APC/BRIP1/ACTL6A/C9orf78/SMC2/PPP2R1B/NUSAP1/KNL1/HAUS2/TUBGCP4/ACTR2/CENPO/KIF11/CENPE/RB1/KATNB1/ANAPC11/ITGB3BP/KIF2C/NUF2/FANCD2/DYNC1LI1/TLK2/NCAPG2/CHMP7/HAUS6/MKI67/ATM/EML3/INCENP/DSN1/NCAPD3/CENPU/HAUS1/CENPH/ANAPC1/CCSAP/BUB3/NSMCE2/MIS18A/PMF1/RACGAP1/SMC6/SGO2/MAD2L1/NIPBL/PTTG1/RAD21/SUN1/DCAF13/ABRAXAS2/CENPN/CIAO2B/CIAO2A/PLK1/GOLGA2/CDT1/DDB1/BUB1/CENPX/HDAC3/SMARCC1/ZWILCH/DCTN2/CENPS/CCNE2/RMI2/ANAPC2/TOP3A/GEN1/RRS1/RCC2/RCC1/SKA2/CHEK2/KMT5A/KNTC1/DRG1/CENATAC/PPP1CC/SIRT7/CENPP/PLSCR1/ANAPC7/TLK1/CCDC69/CHAMP1/PRC1/MSH5/MZT1/LCMT1/NUP62/HAUS7/HAUS3/PPP2R2A/HAUS5/UHRF1",184
"GO:0048285","organelle fission","184/3733","339/10333",0.542772861356932,1.5024034225559,7.07346146325305,3.38532000915334e-12,3.58508673461541e-09,3.40546990763377e-09,"POLDIP2/COX10/NCAPD2/RALBP1/MRE11/SPDL1/CUL7/TPR/RAD51/NDC1/CTDP1/ASPM/STAG3/RHOA/VPS35/CDC42/SMC1A/MLH1/SPAG5/CDC14A/KIF22/NDC80/CDC14B/SEH1L/RAD54L/AURKA/TPX2/ANAPC5/NUDC/CDC23/AAAS/RANBP1/MIEF1/PRMT5/CCNB1IP1/KIF3B/CHMP4B/CEP192/GDAP1/PEX11G/AKAP8/CCNE1/FZR1/PPP2R1A/BCCIP/SMC3/UBE2S/RAD51C/KPNB1/RANGRF/ANAPC15/CORO1C/CDKN1B/RIPOR2/FBXO5/RAD1/RAD50/SMC4/ACTR3/CHMP3/MAD2L2/CDC20/CENPF/NCAPH/KIF18A/ZWINT/CENPK/CKS2/XRCC3/HSPA2/KNSTRN/SGO1/CEP85/CHMP2A/TUBG1/TOP2A/BRME1/RAN/FIGNL1/CCNB1/APC/BORA/BRIP1/C9orf78/SMC2/NUSAP1/KNL1/ACTR2/KIF11/KIF20B/CENPE/BRCA2/RB1/KATNB1/ANAPC11/KIF2C/NUF2/FANCD2/DYNC1LI1/NCAPG2/CHMP7/MKI67/ATM/EML3/INCENP/CHEK1/NCAPD3/CYRIB/CCSAP/BUB3/EME1/MCU/NSMCE2/PINK1/ACOX1/RACGAP1/LRP5/PEX19/MAD2L1/NIPBL/PTTG1/RAD21/SUN1/DCAF13/ABRAXAS2/MARF1/PLK1/MEI1/GOLGA2/CDT1/DDB1/REEP4/MFF/BUB1/CENPX/UBB/MTBP/ZWILCH/DCTN2/CENPS/CCNE2/BANF1/TOM1L2/AURKAIP1/SPHK1/BNIP3/CNTD1/MIEF2/GEN1/RMI1/RRS1/CALR/RCC1/RAD51B/SKA2/CHEK2/KMT5A/KNTC1/RAD51D/L3MBTL1/PSMD13/DRG1/PPP1CC/SIRT7/FANCA/FANCM/SLX4/ANAPC7/RAD54B/EME2/CHAMP1/OPA1/PRC1/MSH5/MZT1/SPIRE2/LCMT1/NUP62/PHB2/BTBD18/PDXP/PGAM5/UHRF1/MYO19",184
"GO:0140053","mitochondrial gene expression","108/3733","175/10333",0.617142857142857,1.70826068654089,7.10652490060264,3.68305602487714e-12,3.58508673461541e-09,3.40546990763377e-09,"ELAC2/LARS2/TFB1M/TRIT1/POLR2B/MRPS10/GATB/MRPS35/MRPS24/IARS2/POLR1A/HSD17B10/MRPS34/MRPL22/MTIF2/MRPL28/MRPS33/MRPS18A/ALKBH1/MRPS31/SARS2/MRPL4/GARS1/MTPAP/TFAM/C1QBP/MRPL27/MRPL51/MTRF1L/MRPL18/MRPL2/MRPS27/MRPL3/MRPL19/MRPL37/MRPS15/DARS2/FOXO3/MTERF2/MTERF4/MRPS2/POLR1B/MRPS26/TRMT5/MRPS12/MRPL34/QRSL1/PRKAA1/DAP3/MRPS9/TBRG4/TACO1/MRPL47/MRPL15/PNPT1/LRPPRC/FASTKD1/MRPL24/TARS2/MRPL9/MRPS5/RARS2/MRPS28/POLR3A/MRPL39/MTERF3/RPUSD3/MRPL17/MRPS18C/GFM2/FASTK/MRPL16/TRUB2/MRPL58/THAP11/GFM1/MRPL1/HARS1/MRPL36/MRPL13/CHCHD1/MRPL52/MRPL57/MRPL11/ANGEL2/MRPL48/AURKAIP1/PUS1/TUFM/GADD45GIP1/MRPL14/MRPS23/MRPS16/SHMT2/MRPL30/MRPL40/MRPL21/MRPS18B/MRPL53/MRPL23/MRPS17/MRPL33/MRPS6/CHCHD10/MRPL12/MRPS21/RCC1L/MRPL45",108
"GO:0000280","nuclear division","166/3733","300/10333",0.553333333333333,1.5316349674078,7.02761539239471,4.90352314501807e-12,3.97757452446716e-09,3.77829362331919e-09,"POLDIP2/NCAPD2/MRE11/SPDL1/CUL7/TPR/RAD51/NDC1/CTDP1/ASPM/STAG3/RHOA/CDC42/SMC1A/MLH1/SPAG5/CDC14A/KIF22/NDC80/CDC14B/SEH1L/RAD54L/AURKA/TPX2/ANAPC5/NUDC/CDC23/AAAS/RANBP1/PRMT5/CCNB1IP1/KIF3B/CHMP4B/CEP192/AKAP8/CCNE1/FZR1/PPP2R1A/BCCIP/SMC3/UBE2S/RAD51C/KPNB1/RANGRF/ANAPC15/CDKN1B/RIPOR2/FBXO5/RAD1/RAD50/SMC4/ACTR3/CHMP3/MAD2L2/CDC20/CENPF/NCAPH/KIF18A/ZWINT/CENPK/CKS2/XRCC3/HSPA2/KNSTRN/SGO1/CEP85/CHMP2A/TUBG1/TOP2A/BRME1/RAN/FIGNL1/CCNB1/APC/BORA/BRIP1/C9orf78/SMC2/NUSAP1/KNL1/ACTR2/KIF11/KIF20B/CENPE/BRCA2/RB1/KATNB1/ANAPC11/KIF2C/NUF2/FANCD2/DYNC1LI1/NCAPG2/CHMP7/MKI67/ATM/EML3/INCENP/CHEK1/NCAPD3/CCSAP/BUB3/EME1/NSMCE2/RACGAP1/LRP5/MAD2L1/NIPBL/PTTG1/RAD21/SUN1/DCAF13/ABRAXAS2/MARF1/PLK1/MEI1/GOLGA2/CDT1/DDB1/REEP4/BUB1/CENPX/UBB/MTBP/ZWILCH/DCTN2/CENPS/CCNE2/BANF1/TOM1L2/AURKAIP1/SPHK1/CNTD1/GEN1/RMI1/RRS1/CALR/RCC1/RAD51B/SKA2/CHEK2/KMT5A/KNTC1/RAD51D/L3MBTL1/PSMD13/DRG1/PPP1CC/SIRT7/FANCA/FANCM/SLX4/ANAPC7/RAD54B/EME2/CHAMP1/PRC1/MSH5/MZT1/SPIRE2/LCMT1/NUP62/PHB2/BTBD18/PDXP/UHRF1",166
"GO:0000725","recombinational repair","107/3733","178/10333",0.601123595505618,1.66391913001863,6.7194611253062,4.69648212118226e-11,3.26539692625629e-08,3.10179691371917e-08,"CREBBP/MBTD1/BRCA1/MRE11/ASTE1/RAD51/POLQ/NUCKS1/ZFYVE26/XRCC1/MCM2/ACTB/MCM6/XRCC5/PALB2/RAD54L/CDC7/MCM5/YY1/CSNK2A1/SMCHD1/RBBP8/HTATSF1/NBN/MCM4/RPA3/RAD51C/C1QBP/TIMELESS/CHD4/MCM3/BRD8/RAD50/PSMD14/MAD2L2/RPA2/EPC1/HROB/MCM8/XRCC3/PRMT1/HELB/YEATS4/SEM1/GINS2/RPA1/FIGNL1/SLF1/EPC2/ACTL6A/ACTR2/ZGRF1/NABP2/BRCA2/WRAP53/INTS3/PARP1/MMS22L/GINS4/ATM/CHEK1/PPP4C/SFR1/NSMCE2/UBQLN4/TONSL/RECQL4/MRNIP/SENP3/SMC6/HELQ/PPP4R2/TOPBP1/NIPBL/RAD21/WRN/MCM7/PLK1/HDGFL2/RFWD3/FEN1/NSMCE1/RHNO1/RMI2/RUVBL1/TOP3A/DMAP1/GEN1/RMI1/FANCB/SLX1B/RAD51B/RUVBL2/KMT5A/RAD51D/PARPBP/FANCM/H2AX/SLX4/XRCC6/XRCC2/RAD54B/BLM/ZSWIM7/ERCC6/AP5Z1/UHRF1",107
"GO:0032543","mitochondrial translation","84/3733","131/10333",0.641221374045801,1.77491038253824,6.71264521531481,5.48626873528163e-11,3.33770874182696e-08,3.17048582702065e-08,"LARS2/MRPS10/GATB/MRPS35/MRPS24/IARS2/MRPS34/MRPL22/MTIF2/MRPL28/MRPS33/MRPS18A/ALKBH1/MRPS31/SARS2/MRPL4/GARS1/C1QBP/MRPL27/MRPL51/MTRF1L/MRPL18/MRPL2/MRPS27/MRPL3/MRPL19/MRPL37/MRPS15/DARS2/MRPS2/MRPS26/MRPS12/MRPL34/QRSL1/DAP3/MRPS9/TACO1/MRPL47/MRPL15/LRPPRC/MRPL24/TARS2/MRPL9/MRPS5/RARS2/MRPS28/MRPL39/RPUSD3/MRPL17/MRPS18C/GFM2/MRPL16/TRUB2/MRPL58/GFM1/MRPL1/HARS1/MRPL36/MRPL13/CHCHD1/MRPL52/MRPL57/MRPL11/MRPL48/AURKAIP1/TUFM/GADD45GIP1/MRPL14/MRPS23/MRPS16/SHMT2/MRPL30/MRPL40/MRPL21/MRPS18B/MRPL53/MRPL23/MRPS17/MRPL33/MRPS6/MRPL12/MRPS21/RCC1L/MRPL45",84
"GO:0000724","double-strand break repair via homologous recombination","102/3733","172/10333",0.593023255813954,1.64149726823616,6.38028435993249,3.96974044336336e-10,2.14674741531661e-07,2.0391929856435e-07,"CREBBP/MBTD1/BRCA1/MRE11/ASTE1/RAD51/POLQ/NUCKS1/ZFYVE26/XRCC1/MCM2/ACTB/MCM6/PALB2/RAD54L/CDC7/MCM5/YY1/CSNK2A1/SMCHD1/RBBP8/HTATSF1/NBN/MCM4/RPA3/RAD51C/C1QBP/TIMELESS/CHD4/MCM3/BRD8/RAD50/PSMD14/MAD2L2/RPA2/EPC1/MCM8/XRCC3/PRMT1/HELB/YEATS4/SEM1/GINS2/RPA1/FIGNL1/SLF1/EPC2/ACTL6A/ACTR2/NABP2/BRCA2/WRAP53/INTS3/PARP1/MMS22L/GINS4/ATM/CHEK1/PPP4C/SFR1/NSMCE2/UBQLN4/TONSL/RECQL4/MRNIP/SENP3/SMC6/HELQ/PPP4R2/TOPBP1/NIPBL/RAD21/WRN/MCM7/PLK1/HDGFL2/RFWD3/FEN1/NSMCE1/RMI2/RUVBL1/TOP3A/DMAP1/GEN1/RMI1/FANCB/SLX1B/RAD51B/RUVBL2/KMT5A/RAD51D/PARPBP/FANCM/H2AX/SLX4/XRCC2/RAD54B/BLM/ZSWIM7/ERCC6/AP5Z1/UHRF1",102
"GO:0006261","DNA-templated DNA replication","85/3733","137/10333",0.62043795620438,1.71738157017408,6.35689168277144,4.99146171331103e-10,2.42934441586848e-07,2.30763156261706e-07,"BRCA1/DDX11/POLA2/MRE11/RTF2/RFC1/BOD1L1/RFC2/RAD51/POLQ/POLD1/WDR18/NUCKS1/MCM2/TIPIN/MCM6/POLD3/ZMPSTE24/ATRX/ORC1/CDC7/CDC34/MCM5/POLE2/RBBP8/POLA1/DNAJA3/NBN/MCM4/CCNE1/LIG1/POLD2/CDK2AP1/RFC5/TIMELESS/FBXO5/MCM3/GMNN/RAD50/CDK2/MCM8/HELB/RPA1/PCNA/RFC3/ORC3/DNA2/BARD1/BRCA2/CARM1/PARP1/PRIM2/MMS22L/EME1/DONSON/TONSL/LRWD1/DBF4B/TOPBP1/RFC4/ORC5/WRN/MCM7/RRM1/CDT1/TK1/RFWD3/FEN1/CENPX/NOC3L/CENPS/CCNE2/ATAD5/POLE/GEN1/GINS3/TRAIP/FANCM/BLM/MCMBP/EME2/PRIM1/WDHD1/BAZ1A/POLG2",85
