"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005759","mitochondrial matrix","285/4771","463/10792",0.615550755939525,1.39237555189674,7.68182726492847,1.369214876085e-14,8.89989669455251e-12,7.92703349312369e-12,"POLDIP2/NDUFAB1/SLC25A5/COX10/ELAC2/LARS2/NDUFS1/MIPEP/TFB1M/TRIT1/MRPS10/RAD51/POLQ/MRPL43/ALDH18A1/MRPS35/CS/MRPS24/KARS1/MTHFD2/FECH/IARS2/IDH3G/PDK3/COASY/PRKACA/HSD17B10/ACADVL/MRPS34/ACAT1/ACACB/MCCC1/NRDC/ARG2/ME2/MRPL22/BCKDHB/OXCT1/HADHA/MRPL28/MRPS33/DLD/FH/MRPS18A/ATP5F1D/TXN2/ACO2/GSTZ1/PCK2/PRORP/METTL4/PGK1/MRPS31/ARL2BP/MLYCD/MPG/DNAJA3/BCKDK/DECR1/GSR/SARS2/MRPL4/ETFB/BCAT2/ETHE1/HIBADH/ABHD11/GARS1/NUDT1/TWNK/TFAM/C1QBP/MRPL27/PDHX/COQ5/ATP5F1B/MRPL51/MTRF1L/MRPL18/ACOT13/HSD17B8/MRPL2/MRPS27/NR3C1/OGG1/PCCB/MRPL3/DGUOK/NDUFS7/MRPL19/GLS/HSPE1/MRPL37/PARK7/MECR/ATP5PB/ADPRS/MRPS15/SDHB/HMGCL/DARS2/FOXO3/ACOT2/ALDH6A1/PYROXD2/MTHFD1L/MRPS14/MTERF2/MTERF4/MRPS2/ACADS/ACOT9/ATP5F1E/GOT2/CLPP/MRPS26/TRMT5/ECHS1/MPST/MRPS12/IVD/MRPL34/RTN4IP1/ATG4D/ACSS2/PDHA1/MCCC2/DHX30/GRSF1/RIDA/ERAL1/DAP3/CCNB1/BLOC1S1/MRPS9/ALDH1L2/SUCLA2/TBRG4/MRPL47/FPGS/ALDH1B1/HINT2/NARS2/MRPL15/NDUFAF1/HADHB/PNPT1/LRPPRC/DNA2/FASTKD1/PPA2/HADH/ETFBKMT/NDUFA9/MMAB/ETFA/GCSH/SOD1/MRPL24/TARS2/MRPL9/HAX1/PYCR2/MRPS5/LIPT1/HSPD1/ABHD10/AMT/CBR4/MMUT/RARS2/MDH2/ADHFE1/MRPS28/LACTB2/AK3/PDSS1/DLAT/OXSM/GUF1/ATP5F1A/SDHAF4/MRPL39/MTERF3/RPUSD3/MRPL17/NDUFS2/ALDH4A1/THEM4/FLAD1/FDPS/PARS2/BOLA3/MRPS18C/SUCLG1/ABCE1/GFM2/TERT/PDSS2/FASTK/PDP1/NUDT2/FXN/ATP5F1C/VDAC2/PRDX3/NDUFB8/NUDT13/IDH3A/CLPX/MRPL16/ACSF2/TRUB2/ACAA2/MRPL58/ECI1/PDHB/DTYMK/GFM1/MRPL1/METTL15/NFU1/BTD/NUDT9/MRPL36/BCL2L1/MRPL13/CHCHD1/MRPL52/MRPL57/PC/MRPL11/ANGEL2/PDE12/PHYKPL/LIPT2/MRPL48/AURKAIP1/ACSF3/TYMS/PUS1/TOP3A/TUFM/GADD45GIP1/FAHD1/D2HGDH/MRPL14/MRPS23/IDH2/MRPS16/SHMT2/GLRX5/NIPSNAP1/MRPL30/MRPL40/HPDL/CMC1/TRMT2B/LONP1/SDHAF3/MRPL21/ATAD3A/HIBCH/MRPS18B/MRPL53/NT5M/ARL2/VDAC1/MRPL23/LYRM4/GPX1/MRPS17/MRPL33/MRPS6/NFS1/MARS2/BCKDHA/POLG2/MRPL46/MRPL12/MRPS21/FDX2/RCC1L/MRM1/MRPL45",285
"GO:0019866","organelle inner membrane","293/4771","482/10792",0.607883817427386,1.37503294019626,7.49833504862485,5.58608104844703e-14,1.33125291931e-11,1.18573134513442e-11,"NDUFAB1/HCCS/SLC25A5/AGK/COX10/DNAJC11/UQCRC1/IFFO1/SLC25A39/NDUFS1/MRPS10/MCUR1/LETMD1/MRPL43/ATP11B/ALDH18A1/MRPS35/MRPS24/NDUFB4/FECH/ACADVL/MRPS34/BCS1L/TIMM21/DELE1/MRPL22/RNF13/ZMPSTE24/NOA1/HADHA/MRPL28/PGS1/L2HGDH/COQ9/CRLS1/SLC8B1/MRPS33/NDUFB2/CRAT/MRPS18A/ATP5F1D/NDUFB7/TIMM13/SLC25A1/GCAT/SUN2/SAMM50/TIMM9/UQCC1/CDS2/TAFAZZIN/MRPS31/SLC25A15/NUTF2/DHODH/TIMM50/MRPL4/CHCHD3/MICU1/TWNK/SLC25A11/MRPL27/NDUFC1/MFSD10/FOXRED1/PTPMT1/COQ5/ATP5F1B/MRPL51/LDHB/COX6A1/TMEM14C/MRPL18/MRPL2/COX7A2/NNT/MRPS27/LMNB1/TIMMDC1/MRPL3/GPD2/MPV17/NDUFS7/MRPL19/COX7A2L/MRPL37/ATP5PB/MRPS15/SDHB/NDUFB3/NDUFA8/COQ6/MRPS14/TMPO/MRPS2/CBX3/SLC25A16/NDUFAF4/ATP5F1E/MRS2/NDUFA1/SLC25A19/MRPS26/ROMO1/COX6B1/IFI6/TIMM8A/UQCR11/MRPS12/MTX2/TOMM40/MRPL34/TMEM160/COX7B/ABCB7/NDUFA2/IMMT/COQ3/ERAL1/DAP3/COX16/KGD4/TIMM10/ATP5MC2/COQ10A/ABCB10/COX5B/MRPS9/NDUFB5/MRPL47/FPGS/DMAC1/NRM/MRPL15/NDUFAF1/HADHB/LRPPRC/NDUFA9/UQCRC2/NDUFB10/AFG3L2/TIMM29/SDHC/MRPL24/MRPL9/LBR/MRPS5/HSPD1/SLC25A38/NDUFS6/NDUFB11/MRPS28/SIGMAR1/SURF1/SLC25A25/PDSS1/ATPSCKMT/TIMM8B/NDUFC2/GUF1/ATP5F1A/ATP5MC3/MRPL39/ATP5PF/APOOL/CYP2U1/MICU3/MCU/ATP5MJ/AIFM1/MRPL17/PINK1/NDUFS2/ATP5MC1/THEM4/RDH13/SLC25A34/FLVCR1/MRPS18C/COX18/SLC9B2/CCDC51/NDUFAF2/NDUFS4/UQCRQ/SFXN1/PDSS2/SUN1/COX6C/SLC25A32/NDUFB6/STOML2/ATP5F1C/NDUFB8/CLPX/NEMP1/MRPL16/PHB1/MRPL58/ATP5PD/NDUFS5/LETM1/ATP5ME/MRPL1/SPNS1/NDUFA3/TMEM126A/TMEM126B/MRPL36/ETFDH/BCL2L1/MRPL13/CHCHD1/MRPL52/MRPL57/MTX1/MICOS10/UQCRH/CNP/ATP5MK/LEMD3/UQCC4/MRPL11/NDUFA11/MICOS13/PARL/UCP3/MRPL48/TMEM70/MTLN/AURKAIP1/COX8A/DNAJC30/TYMS/NDUFAF3/TMEM11/COX5A/CYC1/GADD45GIP1/MRPL14/SLC25A42/HIGD1A/MRPS23/MRPS16/SHMT2/SLC25A10/COA5/SFXN4/NDUFB1/UQCR10/NDUFA12/APOO/TMEM186/NDUFA6/MRPL30/MRPL40/NDUFA13/TMEM120B/TMEM201/NDUFA4/ABCB8/MRPL21/ATAD3A/SPG7/OPA1/MT-ND4/MT-CO3/MRPS18B/SDHD/MRPL53/PLPP6/MRPL23/PHB2/UQCRHL/MRPS17/ATP5MF/ATP5PO/MRPL33/STMP1/PLA2G4B/MRPS6/PGAM5/SMIM20/CHCHD10/COA8/MRPL46/MRPL12/TIMM23/MRPS21/RCC1L/TIMM22/MRPL45/SCO2",293
"GO:0005743","mitochondrial inner membrane","273/4771","444/10792",0.614864864864865,1.39082406657339,7.4859309226377,6.14424424296925e-14,1.33125291931e-11,1.18573134513442e-11,"NDUFAB1/HCCS/SLC25A5/AGK/COX10/DNAJC11/UQCRC1/SLC25A39/NDUFS1/MRPS10/MCUR1/LETMD1/MRPL43/ALDH18A1/MRPS35/MRPS24/NDUFB4/FECH/ACADVL/MRPS34/BCS1L/TIMM21/DELE1/MRPL22/NOA1/HADHA/MRPL28/PGS1/L2HGDH/COQ9/CRLS1/SLC8B1/MRPS33/NDUFB2/CRAT/MRPS18A/ATP5F1D/NDUFB7/TIMM13/SLC25A1/GCAT/SAMM50/TIMM9/UQCC1/CDS2/TAFAZZIN/MRPS31/SLC25A15/DHODH/TIMM50/MRPL4/CHCHD3/MICU1/TWNK/SLC25A11/MRPL27/NDUFC1/FOXRED1/PTPMT1/COQ5/ATP5F1B/MRPL51/LDHB/COX6A1/TMEM14C/MRPL18/MRPL2/COX7A2/NNT/MRPS27/TIMMDC1/MRPL3/GPD2/MPV17/NDUFS7/MRPL19/COX7A2L/MRPL37/ATP5PB/MRPS15/SDHB/NDUFB3/NDUFA8/COQ6/MRPS14/MRPS2/SLC25A16/NDUFAF4/ATP5F1E/MRS2/NDUFA1/SLC25A19/MRPS26/ROMO1/COX6B1/IFI6/TIMM8A/UQCR11/MRPS12/MTX2/TOMM40/MRPL34/TMEM160/COX7B/ABCB7/NDUFA2/IMMT/COQ3/ERAL1/DAP3/COX16/KGD4/TIMM10/ATP5MC2/COQ10A/ABCB10/COX5B/MRPS9/NDUFB5/MRPL47/FPGS/DMAC1/MRPL15/NDUFAF1/HADHB/NDUFA9/UQCRC2/NDUFB10/AFG3L2/TIMM29/SDHC/MRPL24/MRPL9/MRPS5/HSPD1/SLC25A38/NDUFS6/NDUFB11/MRPS28/SURF1/SLC25A25/PDSS1/ATPSCKMT/TIMM8B/NDUFC2/GUF1/ATP5F1A/ATP5MC3/MRPL39/ATP5PF/APOOL/CYP2U1/MICU3/MCU/ATP5MJ/AIFM1/MRPL17/PINK1/NDUFS2/ATP5MC1/THEM4/RDH13/SLC25A34/FLVCR1/MRPS18C/COX18/SLC9B2/CCDC51/NDUFAF2/NDUFS4/UQCRQ/SFXN1/PDSS2/COX6C/SLC25A32/NDUFB6/STOML2/ATP5F1C/NDUFB8/CLPX/MRPL16/PHB1/MRPL58/ATP5PD/NDUFS5/LETM1/ATP5ME/MRPL1/SPNS1/NDUFA3/TMEM126A/TMEM126B/MRPL36/ETFDH/BCL2L1/MRPL13/CHCHD1/MRPL52/MRPL57/MTX1/MICOS10/UQCRH/CNP/ATP5MK/UQCC4/MRPL11/NDUFA11/MICOS13/PARL/UCP3/MRPL48/TMEM70/MTLN/AURKAIP1/COX8A/DNAJC30/TYMS/NDUFAF3/TMEM11/COX5A/CYC1/GADD45GIP1/MRPL14/SLC25A42/HIGD1A/MRPS23/MRPS16/SHMT2/SLC25A10/COA5/SFXN4/NDUFB1/UQCR10/NDUFA12/APOO/TMEM186/NDUFA6/MRPL30/MRPL40/NDUFA13/NDUFA4/ABCB8/MRPL21/ATAD3A/SPG7/OPA1/MT-ND4/MT-CO3/MRPS18B/SDHD/MRPL53/MRPL23/PHB2/UQCRHL/MRPS17/ATP5MF/ATP5PO/MRPL33/STMP1/PLA2G4B/MRPS6/PGAM5/SMIM20/CHCHD10/COA8/MRPL46/MRPL12/TIMM23/MRPS21/RCC1L/TIMM22/MRPL45/SCO2",273
"GO:0098798","mitochondrial protein-containing complex","119/4771","176/10792",0.676136363636364,1.52942017110954,6.30343971958978,2.35847761806018e-10,3.83252612934779e-08,3.41358602613973e-08,"NDUFAB1/SLC25A5/AGK/DNAJC11/MRPS10/MRPL43/MRPS35/MRPS24/HSD17B10/MRPS34/TIMM21/ACACB/MRPL22/HADHA/MRPL28/BAX/MRPS33/MRPS18A/TIMM13/TOMM22/SAMM50/TIMM9/PRORP/MRPS31/TIMM50/MRPL4/CHCHD3/MICU1/MRPL27/MRPL51/MRPL18/MRPL2/MRPS27/MRPL3/MRPL19/MRPL37/MRPS15/MRPS14/MTERF4/MRPS2/MRPS26/ROMO1/TIMM8A/MRPS12/MTX2/TOMM40/MRPL34/IMMT/DAP3/TIMM10/MRPS9/MRPL47/MRPL15/HADHB/PNPT1/DNA2/AFG3L2/TIMM29/MRPL24/MRPL9/MRPS5/MRPS28/PDSS1/TIMM8B/TOMM70/MRPL39/APOOL/MICU3/MCU/MRPL17/MRPS18C/PDSS2/FXN/CLPX/MRPL16/PHB1/MRPL58/MRPL1/MRPL36/MRPL13/CHCHD1/MRPL52/MRPL57/MTX1/MICOS10/MRPL11/MICOS13/MRPL48/AURKAIP1/TOMM5/GADD45GIP1/MRPL14/MRPS23/MRPS16/APOO/MRPL30/MRPL40/TOMM7/MRPL21/SPG7/MRPS18B/MRPL53/VDAC1/MRPL23/LYRM4/TOMM6/PHB2/MRPS17/MRPL33/MRPS6/NFS1/CHCHD10/POLG2/MRPL46/MRPL12/TIMM23/MRPS21/TIMM22/MRPL45",119
"GO:0098687","chromosomal region","212/4771","352/10792",0.602272727272727,1.36234065661859,6.15232671562223,6.16347875287887e-10,8.01252237874253e-08,7.13665960859659e-08,"FIRRM/MAD1L1/NCAPD2/MRE11/NUP160/SPDL1/POLR2B/TPR/RAD51/THOC3/FLYWCH1/POLD1/STAG3/TP53BP1/SIRT2/NUP133/SMG6/SMC1A/NDE1/XRCC1/MCM2/SMARCE1/CLASP1/NUP37/ACTB/MCM6/SPAG5/PPP2R5C/XRCC5/KIF22/NDC80/XPO1/PDS5B/ATRX/SEH1L/ORC1/AURKA/CBX5/MSH2/CENPM/SUN2/THOC5/MCM5/TELO2/APEX1/RASSF2/CHMP4B/SMCHD1/SUV39H1/RBBP7/FMR1/CENPT/CTCF/ACD/NBN/MCM4/DOT1L/PPP2R1A/EZH2/KDM4C/NSMCE4A/SMC3/SMARCD2/ZNF330/GAR1/PTGES3/NUP107/CHD4/MCM3/RAD50/CSNK1A1/SMC4/CHMP3/ORC2/CDC20/CENPF/RPA2/DCLRE1B/HELLS/NUP43/CENPL/KIF18A/PDS5A/CBX3/ZWINT/CENPK/CDK2/H2BC11/NUP85/THOC2/XRCC3/SMARCA4/POT1/KNSTRN/MIS18BP1/SGO1/CHMP2A/CLIP1/DNMT1/CHMP1A/THOC6/TOP2A/RPA1/TERF2/PCNA/SLF1/CCNB1/CDC73/APC/ORC3/NAT10/DYNC1LI2/ACTL6A/C9orf78/KNL1/CENPO/DNA2/CENPE/NABP2/BRCA2/PML/WRAP53/ITGB3BP/KIF2C/NUF2/PARP1/DYNC1LI1/NHP2/HMBOX1/CHMP7/ATM/MTA2/INCENP/CHEK1/DSN1/NCAPD3/CENPU/GPATCH11/SUV39H2/RAD17/CENPH/CFDP1/BUB3/PHF6/NSMCE2/SEC13/H4C8/ZNF276/MIS18A/PMF1/RECQL4/LRWD1/RBBP4/SMC6/SGO2/THOC7/MEAF6/MAD2L1/TERT/RAD21/ORC5/SUN1/WRN/CENPN/MCM7/PLK1/CDT1/DDB1/FEN1/NSMCE1/BUB1/CENPX/MTBP/SMARCC1/ZWILCH/DHX36/DCTN2/CKAP5/CENPS/CTC1/RCC2/SKA2/ALYREF/CHEK2/KNTC1/RAD51D/PPP1CC/CENPP/H2AX/SLX4/XRCC6/HDAC2/H4C3/H4C11/BLM/PHF2/BAZ1A/CHAMP1/DCTN1/ZBTB48/PRKDC/H4C15/H4C12/H4C6/H4C13/H4C9/H2BC3/H2AC8/H4C4/H2AC4/H4C1/H4C2",212
"GO:0000313","organellar ribosome","65/4771","88/10792",0.738636363636364,1.67079514490959,5.62418292320165,1.41204793716103e-08,1.31118737022095e-06,1.16785919614822e-06,"MRPS10/MRPL43/MRPS35/MRPS24/MRPS34/MRPL22/MRPL28/MRPS33/MRPS18A/MRPS31/MRPL4/MRPL27/MRPL51/MRPL18/MRPL2/MRPS27/MRPL3/MRPL19/MRPL37/MRPS15/MRPS14/MTERF4/MRPS2/MRPS26/MRPS12/MRPL34/DAP3/MRPS9/MRPL47/MRPL15/MRPL24/MRPL9/MRPS5/MRPS28/MRPL39/MRPL17/MRPS18C/MRPL16/MRPL58/MRPL1/MRPL36/MRPL13/CHCHD1/MRPL52/MRPL57/MRPL11/MRPL48/AURKAIP1/GADD45GIP1/MRPL14/MRPS23/MRPS16/MRPL30/MRPL40/MRPL21/MRPS18B/MRPL53/MRPL23/MRPS17/MRPL33/MRPS6/MRPL46/MRPL12/MRPS21/MRPL45",65
"GO:0005761","mitochondrial ribosome","65/4771","88/10792",0.738636363636364,1.67079514490959,5.62418292320165,1.41204793716103e-08,1.31118737022095e-06,1.16785919614822e-06,"MRPS10/MRPL43/MRPS35/MRPS24/MRPS34/MRPL22/MRPL28/MRPS33/MRPS18A/MRPS31/MRPL4/MRPL27/MRPL51/MRPL18/MRPL2/MRPS27/MRPL3/MRPL19/MRPL37/MRPS15/MRPS14/MTERF4/MRPS2/MRPS26/MRPS12/MRPL34/DAP3/MRPS9/MRPL47/MRPL15/MRPL24/MRPL9/MRPS5/MRPS28/MRPL39/MRPL17/MRPS18C/MRPL16/MRPL58/MRPL1/MRPL36/MRPL13/CHCHD1/MRPL52/MRPL57/MRPL11/MRPL48/AURKAIP1/GADD45GIP1/MRPL14/MRPS23/MRPS16/MRPL30/MRPL40/MRPL21/MRPS18B/MRPL53/MRPL23/MRPS17/MRPL33/MRPS6/MRPL46/MRPL12/MRPS21/MRPL45",65
"GO:0098803","respiratory chain complex","69/4771","97/10792",0.711340206185567,1.60905124819842,5.36352798802896,6.53096651069578e-08,5.30641028994032e-06,4.72635734326668e-06,"NDUFAB1/UQCRC1/NDUFS1/NDUFB4/BCS1L/NDUFB2/ATP5F1D/NDUFB7/NDUFC1/ATP5F1B/COX6A1/COX7A2/NNT/NDUFS7/COX7A2L/ATP5PB/SDHB/NDUFB3/NDUFA8/ATP5F1E/NDUFA1/COX6B1/UQCR11/COX7B/NDUFA2/COX5B/NDUFB5/NDUFA9/UQCRC2/NDUFB10/SDHC/NDUFS6/NDUFB11/SURF1/NDUFC2/ATP5F1A/ATP5PF/ATP5MJ/NDUFS2/ATP5MC1/NDUFS4/UQCRQ/COX6C/NDUFB6/ATP5F1C/NDUFB8/ATP5PD/NDUFS5/ATP5ME/NDUFA3/UQCRH/ATP5MK/NDUFA11/COX8A/COX5A/CYC1/NDUFB1/UQCR10/NDUFA12/NDUFA6/NDUFA13/NDUFA4/MT-ND4/MT-CO3/SDHD/UQCRHL/ATP5MF/ATP5PO/STMP1",69
"GO:0000781","chromosome, telomeric region","101/4771","156/10792",0.647435897435897,1.46449972859531,5.20187414226337,1.59730678284529e-07,1.15361045427716e-05,1.02750728721042e-05,"MRE11/POLR2B/RAD51/THOC3/POLD1/TP53BP1/SIRT2/SMG6/XRCC1/MCM2/MCM6/XRCC5/ATRX/ORC1/CBX5/MSH2/SUN2/THOC5/MCM5/TELO2/APEX1/SMCHD1/RBBP7/ACD/NBN/MCM4/DOT1L/EZH2/NSMCE4A/GAR1/PTGES3/CHD4/MCM3/RAD50/ORC2/RPA2/DCLRE1B/CBX3/CDK2/THOC2/XRCC3/POT1/THOC6/RPA1/TERF2/PCNA/SLF1/CDC73/ORC3/NAT10/DNA2/NABP2/BRCA2/PML/WRAP53/PARP1/NHP2/HMBOX1/ATM/MTA2/CHEK1/RAD17/NSMCE2/H4C8/RECQL4/LRWD1/RBBP4/SMC6/THOC7/TERT/ORC5/SUN1/WRN/MCM7/DDB1/FEN1/NSMCE1/DHX36/CTC1/ALYREF/CHEK2/RAD51D/PPP1CC/H2AX/SLX4/XRCC6/HDAC2/H4C3/H4C11/BLM/ZBTB48/PRKDC/H4C15/H4C12/H4C6/H4C13/H4C9/H2BC3/H4C4/H4C1/H4C2",101
"GO:0032993","protein-DNA complex","117/4771","187/10792",0.625668449197861,1.41526176980577,5.09904281176757,2.71328380329166e-07,1.76363447213958e-05,1.57084851769517e-05,"MBTD1/POLA2/POLD1/WDR18/MCM2/KDM5A/ACTB/MCM6/POLD3/XRCC5/CDC5L/MCM5/EP300/MRGBP/POLA1/ACD/MCM4/RPA3/POLD2/PRPF19/GTF2H3/MCM3/BRD8/RPA2/EPC1/H2BC11/MED1/MAX/HELB/YEATS4/POT1/GINS2/RPA1/TERF2/PCNA/SLF1/ORC3/EPC2/ACTL6A/XPA/IRF4/RPRD1A/PARP1/PRIM2/GINS4/H4C8/DONSON/TONSL/MEAF6/POLR2H/H2AZ1/TERT/KDM1B/GTF2A1/MCM7/PLRG1/RUVBL1/DMAP1/SUZ12/CTC1/H2AC6/H2BC4/NPM1/H2AC25/GINS3/RUVBL2/EP400/H3C13/H2AC21/H1-5/H1-10/BRF1/H2BC13/SP1/H2AX/XRCC6/H2AC13/H2AC11/H2AC7/H2BC26/H4C3/H3C12/H4C11/H3C4/H2BC12/PRIM1/H3C14/H2BC18/TREX1/H2BC15/PRKDC/H4C15/H4C12/H2BC14/H2BC6/H4C6/H2BC17/H2AC12/H4C13/H3C11/H2BC9/H4C9/H2BC3/H2AC16/H2AC8/H4C4/H2BC7/H3C7/H2AC4/H2BC10/H4C1/H2AC17/H4C2/H3C10/H3C2/H3C3/H2AC19",117
