"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016874","ligase activity","92/4714","142/10643",0.647887323943662,1.46276300142817,4.94997679903482,5.95328014216745e-07,0.000604257934429996,0.000577154843256445,"LARS2/SARS1/UBA6/ADSS2/GATB/KARS1/IARS2/ACSL4/ASNS/ACACB/MCCC1/ITCH/UBA5/AACS/CAD/AARS1/VARS1/ATP5F1D/RTCB/TTLL1/MTHFD1/GSS/SARS2/LIG1/GARS1/CARS1/ATP5F1B/TARS1/RARS1/PCCB/ATP6V1A/FARSB/ATP5PB/DARS2/TTLL5/MTHFD1L/TRIM25/ATP5F1E/UBA2/PAICS/QRSL1/LRRC47/UBA1/ACSS2/MCCC2/LARS1/DPH6/NARS1/YARS1/MDM2/TTLL4/SUCLA2/EPRS1/FPGS/VARS2/NARS2/WARS1/TPGS1/SAE1/TARS2/UBA3/RARS2/AK3/ATP5F1A/ATP5PF/GART/HLCS/NAE1/DIP2A/PARS2/SUCLG1/GMPS/ACSL6/ATP5F1C/RIMKLB/MARS1/ACSF2/ATP5PD/ATP5ME/HARS1/PC/LIPT2/TTLL11/ACSF3/PFAS/FARSA/TARS3/IARS1/TTLL3/ATP5MF/ATP5PO/MARS2",92
"GO:0003684","damaged DNA binding","50/4714","70/10643",0.714285714285714,1.61267349536336,4.58558436561673,3.72223499596431e-06,0.00188903426045189,0.00180430443751744,"CREBBP/BRCA1/PNKP/POLQ/POLD1/NTHL1/TP53BP1/RAD18/XRCC1/UNG/XRCC5/MSH2/EP300/APEX1/POLI/RBBP8/MPG/NBN/ERCC2/RPA3/RAD1/OGG1/MSH6/RPA2/DCLRE1B/POLK/POT1/PARP2/RPA1/PCNA/DDB2/REV1/XPA/TDG/NEIL1/PARP1/XPC/CUL4B/RECQL4/SMC6/HMGB2/WRN/DDB1/FEN1/RAD23A/H2AX/XRCC6/BLM/FANCG/ZNF432",50
"GO:0030527","structural constituent of chromatin","51/4714","73/10643",0.698630136986301,1.57732722697183,4.41328188013069,8.40541050027842e-06,0.0028438305525942,0.00271627476166892,"H2BC11/HMGA1/H4C8/H2AZ1/H2AC6/H2BC4/H2AC25/H3C13/H2AC21/H1-5/H1-10/H2BC13/H2AX/H2AC13/H2AC11/H2AC7/H2BC26/H4C3/H3C12/H4C11/H3C4/H2BC12/H3C14/H2BC18/H2BC15/H4C15/H4C12/H2BC14/H2BC6/H4C6/H2BC17/H2AC12/H4C13/H3C11/H2BC9/H4C9/H2BC3/H2AC16/H2AC8/H4C4/H2BC7/H3C7/H2AC4/H2BC10/H4C1/H2AC17/H4C2/H3C10/H3C2/H3C3/H2AC19",51
"GO:0003678","DNA helicase activity","47/4714","68/10643",0.691176470588235,1.56049876463101,4.13432505399904,2.94929182706641e-05,0.00628773151020137,0.0060057046625828,"DDX11/MRE11/RFC2/RAD51/POLQ/MCM2/MCM6/XRCC5/ATRX/RAD54L/MCM5/MCM4/ERCC2/TWNK/RFC5/CHD4/MCM9/MCM3/ASCC3/RAD50/CHD6/MCM8/HELB/CHTF18/CHD1L/DHX30/IGHMBP2/RFC3/BRIP1/DNA2/ZGRF1/G3BP1/RECQL4/HELQ/RFC4/WRN/MCM7/CHTF8/DHX36/RUVBL1/CHD9/RUVBL2/FANCM/GTF2F2/XRCC6/RAD54B/BLM",47
"GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","52/4714","77/10643",0.675324675324675,1.52470948652535,4.12026042365087,3.09740468482826e-05,0.00628773151020137,0.0060057046625828,"MDH1/H6PD/AKR7A2/IDH3G/KCNAB2/RDH11/ALDH3A2/HSD17B10/ME2/HADHA/AKR1B1/L2HGDH/PHGDH/HIBADH/IMPDH1/DHRS7B/UGDH/LDHB/HSD17B8/HMGCR/EHHADH/GPD2/AKR1A1/KDSR/HSD17B4/RDH5/GRHPR/HADHB/HADH/SORD/PGD/CBR4/MDH2/NSDHL/ADHFE1/HSD17B12/DHRS4/PRXL2B/CBR3/G6PD/RDH13/IDH3A/KCNAB1/KCNAB3/CTBP2/D2HGDH/IDH2/SDR42E1/DHRS4L2/ADH5/HSD17B11/DHRS11",52
"GO:0000217","DNA secondary structure binding","25/4714","31/10643",0.806451612903226,1.82076039799089,4.08050872561879,3.75534036099707e-05,0.00635278411068671,0.00606783942540053,"HMGB3/RAD18/CLSPN/MSH2/YY1/RAD51C/MSH6/KMT2A/XRCC3/POT1/HMGA1/HNRNPD/XPC/RECQL4/SMC6/HMGB2/WRN/MECP2/GEN1/RAD51B/RAD51D/FANCM/LIN54/XRCC2/BLM",25
"GO:0016491","oxidoreductase activity","245/4714","460/10643",0.532608695652174,1.20249349762963,3.95883879114823,4.87764880195958e-05,0.00707259076284139,0.00675536022045831,"CYP51A1/UQCRC1/KDM5D/MDH1/NDUFS1/H6PD/MSMO1/AKR7A2/ALDH18A1/PDIA5/NDUFB4/MTHFD2/IDH3G/KCNAB2/RDH11/ALDH3A2/HSD17B10/ACADVL/KDM5A/IPCEF1/DNAJC10/RSBN1/ME2/BCKDHB/PLOD1/GSTP1/HADHA/AKR1B1/ERO1B/OGFOD1/L2HGDH/BLVRB/NDUFB2/DLD/TXNL1/PHGDH/CRAT/SCD/NDUFB7/TECR/TXN2/SDR39U1/GSTZ1/ALKBH1/MTHFD1/APEX1/PGK1/DHRS12/DHODH/CYB5B/HMOX2/DECR1/SQLE/GSR/IL4I1/ETHE1/HIBADH/IMPDH1/BLVRA/KDM4C/PNPO/ALOX12/DHRS7B/NDUFC1/UGDH/HTATIP2/FOXRED1/PDHX/CYP27B1/GAPDH/LDHB/COX6A1/HSD17B8/COX7A2/NNT/HMGCR/EHHADH/GPD2/NDUFS7/PECR/KDM3A/COX7A2L/GPX7/QSOX1/PARK7/MECR/SDHB/AKR1A1/PRDX1/NDUFB3/NDUFA8/KDSR/ALDH6A1/COQ6/PYROXD2/MTHFD1L/KDM3B/KIAA1191/ACADS/PRDX4/MTRR/NDUFA1/COX6B1/POR/SRD5A3/IVD/DOHH/RTN4IP1/COX7B/NDUFA2/PDHA1/MMACHC/MICAL2/HSD17B4/LOXL2/RDH5/COX5B/ALDH1L2/NDUFB5/TXN/GRHPR/ALDH1B1/ALKBH8/HADHB/LOXL4/HADH/NDUFA9/TMX1/SORD/ETFA/NDUFB10/SOD1/PGD/ALDH9A1/SCCPDH/PYCR2/LBR/SUMF1/CBR4/CYP4V2/NDUFS6/PAM/GFOD1/MDH2/NSDHL/ADHFE1/SURF1/GSTO1/HSD17B12/FADS1/DLAT/NDUFC2/QDPR/CYP2U1/KDM8/AIFM1/DHRS4/PRXL2B/NDUFS2/CBR3/CYB5R1/ALDH4A1/CBS/G6PD/RDH13/ACOX1/ALDH16A1/CYB561A3/CHCHD4/NDUFS4/FXN/KDM1B/NDUFB6/PRDX3/ENOX2/NDUFB8/ALKBH3/CYB5A/CYB5R2/IDH3A/PDIA3/DUS2/RRM1/VKORC1/PRDX2/PDHB/NDUFS5/DHRSX/HSPBAP1/KCNAB1/CLIC4/KCNAB3/RIOX1/NDUFA3/ETFDH/GPHN/RRM2/UQCRH/CCS/CTBP2/COX8A/MTHFR/P4HTM/COX5A/CYC1/D2HGDH/ADO/IDH2/NDUFB1/UTY/UQCR10/NDUFA12/SDR42E1/NDUFA6/CYP2R1/HPDL/DHRS4L2/NDOR1/NDUFA4/FAR1/PHF2/ADH5/ERO1A/HSD17B11/ASPH/TXNRD1/MSRB1/SELENOM/MT-ND4/MT-CO3/SDHD/ASPDH/CLIC1/TMX2/CYB5RL/DHFR/GPX1/TXNDC5/JMJD7/BCKDHA/EGLN2/SRXN1/DHRS11/GSTT1/SCO2",245
"GO:0019842","vitamin binding","51/4714","78/10643",0.653846153846154,1.47621650729415,3.76385329404588,0.00013399731010662,0.0144457939724025,0.0137978493633215,"PYGM/SLC46A1/ACACB/MCCC1/PLOD1/OGFOD1/SPTLC1/GCAT/PYGB/CUBN/PNPO/VDR/GGCX/CTH/GOT1/PANK3/CISD1/GOT2/SCLY/MMACHC/PSAT1/KYAT3/RBP5/MMAB/PAM/MMUT/PLPBP/HLCS/CBS/PDXK/TKT/ALKBH3/SGPL1/GPT/SRR/CD320/LMBRD1/KYAT1/PC/SLC19A1/PHYKPL/TYMS/SHMT1/P4HTM/SHMT2/CYP2R1/PDXDC2P-NPIPB14P/FTCDNL1/DHFR/NFS1/EGLN2",51
"GO:0017116","single-stranded DNA helicase activity","37/4714","53/10643",0.69811320754717,1.57616013320418,3.74928841907143,0.000149270533743771,0.0144457939724025,0.0137978493633215,"DDX11/RFC2/RAD51/POLQ/MCM2/MCM6/ATRX/RAD54L/MCM5/MCM4/ERCC2/TWNK/RFC5/CHD4/MCM9/MCM3/ASCC3/CHD6/MCM8/HELB/CHTF18/CHD1L/IGHMBP2/RFC3/DNA2/G3BP1/HELQ/RFC4/WRN/MCM7/CHTF8/DHX36/RUVBL1/CHD9/RUVBL2/GTF2F2/BLM",37
"GO:0004812","aminoacyl-tRNA ligase activity","30/4714","41/10643",0.731707317073171,1.65200699525027,3.72963193502263,0.000165965949087228,0.0144457939724025,0.0137978493633215,"LARS2/SARS1/KARS1/IARS2/AARS1/VARS1/SARS2/GARS1/CARS1/TARS1/RARS1/FARSB/DARS2/LRRC47/LARS1/NARS1/YARS1/EPRS1/VARS2/NARS2/WARS1/TARS2/RARS2/PARS2/MARS1/HARS1/FARSA/TARS3/IARS1/MARS2",30
