"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030527","structural constituent of chromatin","50/3831","73/10643",0.684931506849315,1.90282590117391,5.80441332064334,1.5296927158027e-08,1.54651933567653e-05,1.47011521002933e-05,"H2BC11/HMGA1/H4C8/H2AZ1/H2AC6/H2BC4/H2AC25/H3C13/H2AC21/H1-5/H1-10/H2BC13/H2AX/H2AC13/H2AC11/H2AC7/H2BC26/H4C3/H3C12/H4C11/H3C4/H2BC12/H3C14/H2BC18/H4C15/H4C12/H2BC14/H2BC6/H4C6/H2BC17/H2AC12/H4C13/H3C11/H2BC9/H4C9/H2BC3/H2AC16/H2AC8/H4C4/H2BC7/H3C7/H2AC4/H2BC10/H4C1/H2AC17/H4C2/H3C10/H3C2/H3C3/H2AC19",50
"GO:0016874","ligase activity","82/3831","142/10643",0.577464788732394,1.60426983724325,5.43613387015037,8.99460430575255e-08,4.54677247655791e-05,4.32214406902741e-05,"LARS2/SARS1/UBA6/ADSS2/GATB/KARS1/IARS2/ACSL4/ASNS/ACACB/MCCC1/UBA5/CAD/AARS1/VARS1/ATP5F1D/RTCB/TTLL1/MTHFD1/GSS/SARS2/LIG1/GARS1/CARS1/ATP5F1B/TARS1/RARS1/PCCB/ATP6V1A/FARSB/ATP5PB/DARS2/TTLL5/MTHFD1L/TRIM25/UBA2/PAICS/QRSL1/UBA1/ACSS2/MCCC2/LARS1/NARS1/YARS1/MDM2/TTLL4/SUCLA2/EPRS1/VARS2/NARS2/WARS1/TPGS1/SAE1/TARS2/UBA3/RARS2/AK3/ATP5F1A/ATP5PF/GART/HLCS/NAE1/DIP2A/SUCLG1/GMPS/ACSL6/ATP5F1C/RIMKLB/MARS1/ATP5PD/ATP5ME/HARS1/PC/LIPT2/TTLL11/ACSF3/PFAS/FARSA/TARS3/IARS1/ATP5MF/ATP5PO",82
"GO:0003684","damaged DNA binding","44/3831","70/10643",0.628571428571429,1.74625051273446,4.69747989566334,4.15558651410409e-06,0.00140043265525308,0.00133124578504457,"CREBBP/BRCA1/POLQ/POLD1/NTHL1/RAD18/XRCC1/UNG/XRCC5/MSH2/EP300/APEX1/POLI/RBBP8/MPG/NBN/ERCC2/RPA3/RAD1/MSH6/RPA2/DCLRE1B/POLK/POT1/PARP2/RPA1/PCNA/DDB2/REV1/XPA/NEIL1/PARP1/RECQL4/SMC6/HMGB2/WRN/DDB1/FEN1/RAD23A/H2AX/XRCC6/BLM/FANCG/ZNF432",44
"GO:0003678","DNA helicase activity","42/3831","68/10643",0.617647058823529,1.71590123911742,4.44117376920085,1.29481401486457e-05,0.0027656960288981,0.00262905978904052,"DDX11/MRE11/RFC2/RAD51/POLQ/MCM2/MCM6/XRCC5/ATRX/RAD54L/MCM5/MCM4/ERCC2/RFC5/CHD4/MCM3/ASCC3/RAD50/CHD6/MCM8/HELB/CHTF18/CHD1L/DHX30/RFC3/BRIP1/DNA2/ZGRF1/G3BP1/RECQL4/HELQ/RFC4/WRN/MCM7/RUVBL1/CHD9/RUVBL2/FANCM/GTF2F2/XRCC6/RAD54B/BLM",42
"GO:0140664","ATP-dependent DNA damage sensor activity","13/3831","14/10643",0.928571428571429,2.57968825744863,4.43526514764096,1.56846345095707e-05,0.0027656960288981,0.00262905978904052,"RAD51/PMS1/MLH1/MSH2/RAD51C/MSH3/MSH6/PMS2/XRCC3/RAD51B/RAD51D/XRCC2/MSH5",13
"GO:0000217","DNA secondary structure binding","23/3831","31/10643",0.741935483870968,2.06119012133613,4.43716734699131,1.64136262842617e-05,0.0027656960288981,0.00262905978904052,"HMGB3/RAD18/CLSPN/MSH2/YY1/RAD51C/MSH6/KMT2A/XRCC3/POT1/HMGA1/HNRNPD/RECQL4/SMC6/HMGB2/WRN/MECP2/GEN1/RAD51B/RAD51D/FANCM/XRCC2/BLM",23
"GO:0070182","DNA polymerase binding","17/3831","21/10643",0.80952380952381,2.24895899367317,4.2962056522045,3.2084694081937e-05,0.0043277220659947,0.0041139156085722,"RAD51/SMG6/HSP90AA1/HSP90AB1/ACD/PTGES3/CDK2AP1/SMARCA4/PCNA/NAT10/NABP2/FANCI/FANCD2/CDT1/NHEJ1/LONP1/POLG2",17
"GO:0140142","nucleocytoplasmic carrier activity","22/3831","30/10643",0.733333333333333,2.03729226485687,4.26651295065428,3.42450806409076e-05,0.0043277220659947,0.0041139156085722,"KPNA6/TNPO3/IPO5/XPO1/TNPO1/IPO11/KPNA3/NUTF2/TNPO2/KPNB1/KPNA1/CSE1L/XPO5/XPO7/RAN/SNUPN/CALR/KPNA2/EIF4ENIF1/IPO4/KPNA5/IPO9",22
"GO:0000400","four-way junction DNA binding","15/3831","18/10643",0.833333333333333,2.31510484642826,4.18757448587442,5.18042373415131e-05,0.00581934266136331,0.00553184429155573,"HMGB3/MSH2/YY1/RAD51C/MSH6/XRCC3/HMGB2/WRN/MECP2/GEN1/RAD51B/RAD51D/FANCM/XRCC2/BLM",15
"GO:0009055","electron transfer activity","53/3831","95/10643",0.557894736842105,1.54990177087197,4.03731136203568,6.11008635842891e-05,0.00617729730837163,0.00587211457394273,"CIAPIN1/UQCRC1/NDUFS1/AKR7A2/NDUFB4/ME2/AKR1B1/NDUFB2/PHGDH/NDUFB7/GSR/ETFB/NDUFC1/NDUFS7/COX7A2L/SDHB/NDUFB3/NDUFA8/NDUFA1/COX6B1/UQCR11/COX7B/NDUFA2/COX5B/NDUFB5/NDUFA9/ETFA/NDUFB10/SDHC/NDUFS6/SURF1/NDUFC2/QDPR/NDUFS2/ALDH4A1/NDUFS4/NDUFB6/NDUFB8/NDUFS5/ETFDH/UQCRH/COX8A/COX5A/CYC1/NDUFB1/UQCR10/NDUFA12/NDUFA6/NDUFA4/ADH5/ASPH/MT-ND4/SDHD",53
"GO:0016491","oxidoreductase activity","205/3831","460/10643",0.445652173913043,1.23807780917685,3.91462662007805,6.76069538850868e-05,0.00621369367071116,0.00590671281311811,"CYP51A1/UQCRC1/KDM5D/MDH1/NDUFS1/H6PD/MSMO1/AKR7A2/ALDH18A1/PDIA5/NDUFB4/MTHFD2/IDH3G/KCNAB2/RDH11/HSD17B10/ACADVL/KDM5A/IPCEF1/RSBN1/ME2/BCKDHB/PLOD1/GSTP1/HADHA/AKR1B1/ERO1B/OGFOD1/L2HGDH/BLVRB/NDUFB2/DLD/TXNL1/PHGDH/CRAT/SCD/NDUFB7/TXN2/GSTZ1/ALKBH1/MTHFD1/APEX1/PGK1/DHRS12/CYB5B/DECR1/SQLE/GSR/ETHE1/HIBADH/IMPDH1/BLVRA/KDM4C/PNPO/ALOX12/DHRS7B/NDUFC1/UGDH/HTATIP2/FOXRED1/PDHX/CYP27B1/GAPDH/LDHB/COX6A1/COX7A2/NNT/HMGCR/EHHADH/GPD2/NDUFS7/PECR/KDM3A/COX7A2L/PARK7/MECR/SDHB/AKR1A1/PRDX1/NDUFB3/NDUFA8/KDSR/ALDH6A1/COQ6/PYROXD2/MTHFD1L/KDM3B/ACADS/PRDX4/NDUFA1/COX6B1/POR/SRD5A3/DOHH/COX7B/NDUFA2/PDHA1/MICAL2/HSD17B4/LOXL2/COX5B/ALDH1L2/NDUFB5/TXN/GRHPR/ALDH1B1/HADHB/LOXL4/HADH/NDUFA9/TMX1/SORD/ETFA/NDUFB10/SOD1/PGD/ALDH9A1/SCCPDH/PYCR2/LBR/SUMF1/CYP4V2/NDUFS6/PAM/GFOD1/MDH2/NSDHL/ADHFE1/SURF1/GSTO1/HSD17B12/FADS1/DLAT/NDUFC2/QDPR/CYP2U1/KDM8/AIFM1/DHRS4/NDUFS2/CBR3/CYB5R1/ALDH4A1/CBS/G6PD/RDH13/ACOX1/CHCHD4/NDUFS4/NDUFB6/PRDX3/NDUFB8/ALKBH3/IDH3A/DUS2/RRM1/VKORC1/PRDX2/NDUFS5/HSPBAP1/KCNAB1/CLIC4/KCNAB3/RIOX1/ETFDH/GPHN/RRM2/UQCRH/CTBP2/COX8A/MTHFR/P4HTM/COX5A/CYC1/ADO/IDH2/NDUFB1/UTY/UQCR10/NDUFA12/NDUFA6/CYP2R1/HPDL/DHRS4L2/NDUFA4/PHF2/ADH5/ERO1A/HSD17B11/ASPH/TXNRD1/MSRB1/MT-ND4/SDHD/ASPDH/CLIC1/TMX2/CYB5RL/DHFR/GPX1/TXNDC5/JMJD7/BCKDHA/EGLN2/SRXN1",205
"GO:0051082","unfolded protein binding","48/3831","85/10643",0.564705882352941,1.56882399005021,3.94845253873397,8.91797347419312e-05,0.00639236384676061,0.00607655598114679,"LMAN1/HSP90AA1/ERO1B/PDRG1/NUDC/HSP90AB1/PFDN4/DNAJA3/CDC37/HSPA8/DNAJC4/AIP/PTGES3/PFDN1/TTC1/HTRA2/CCT4/HSPE1/TCP1/HSPA2/CANX/DNAJB1/CCT7/DNAJB5/NDUFAF1/AFG3L2/PFDN2/HSPD1/SHQ1/CCT6A/SERPINH1/HYOU1/CCT5/VBP1/CCT8/CHAF1B/SYVN1/CCT3/CCT2/CLPX/CHAF1A/CALR/NPM1/RUVBL2/TUBB4B/PPIA/SPG7/PFDN6",48
"GO:0046982","protein heterodimerization activity","114/3831","238/10643",0.478991596638655,1.33069892013187,3.86928390347492,9.23465465601026e-05,0.00639236384676061,0.00607655598114679,"TENM1/RRAGD/TCOF1/TCF3/SMC1A/SRI/PAFAH1B3/NFE2L1/SEPHS1/AURKA/PRMT5/FMR1/CENPT/PPP2R1A/TAF6/LSM5/MICU1/SMC3/YWHAE/GCA/ATF2/MEF2D/RRAGC/DR1/H2BC11/UBA2/ZBTB1/YWHAH/ATF4/HIP1R/TOP2A/RAN/IRAK2/TAF8/BARD1/GTF2A2/KATNB1/SAE1/UBA3/PIK3R1/MIGA2/PDSS1/QTRT2/H4C8/USF1/NAE1/PEF1/ATP1A1/H2AZ1/PDSS2/GTF2A1/NOLC1/PHB1/TPM4/TRMT112/RALGAPA1/CENPS/DRAP1/ZHX2/TAF7/RCC1/MIGA1/H2AC6/H2BC4/H2AC25/H3C13/IRAK1/H2AC21/H2BC13/KATNA1/H2AX/H2AC13/H2AC11/H2AC7/H2BC26/H4C3/H3C12/H4C11/H3C4/H2BC12/TPM2/CD247/H3C14/H2BC18/SUPT4H1/CHUK/HEXA/PHB2/H4C15/H4C12/H2BC14/H2BC6/H4C6/H2BC17/H2AC12/H4C13/H3C11/H2BC9/H4C9/H2BC3/H2AC16/H2AC8/H4C4/H2BC7/H3C7/H2AC4/H2BC10/H4C1/H2AC17/H4C2/H3C10/H3C2/H3C3/H2AC19",114
"GO:0004812","aminoacyl-tRNA ligase activity","27/3831","41/10643",0.658536585365854,1.82949748839697,3.99064860129936,9.48421935721159e-05,0.00639236384676061,0.00607655598114679,"LARS2/SARS1/KARS1/IARS2/AARS1/VARS1/SARS2/GARS1/CARS1/TARS1/RARS1/FARSB/DARS2/LARS1/NARS1/YARS1/EPRS1/VARS2/NARS2/WARS1/TARS2/RARS2/MARS1/HARS1/FARSA/TARS3/IARS1",27
"GO:0016875","ligase activity, forming carbon-oxygen bonds","27/3831","41/10643",0.658536585365854,1.82949748839697,3.99064860129936,9.48421935721159e-05,0.00639236384676061,0.00607655598114679,"LARS2/SARS1/KARS1/IARS2/AARS1/VARS1/SARS2/GARS1/CARS1/TARS1/RARS1/FARSB/DARS2/LARS1/NARS1/YARS1/EPRS1/VARS2/NARS2/WARS1/TARS2/RARS2/MARS1/HARS1/FARSA/TARS3/IARS1",27
"GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","44/3831","77/10643",0.571428571428571,1.58750046612224,3.87997259915704,0.000119188741217119,0.00753123858565673,0.00715916583758091,"MDH1/H6PD/AKR7A2/IDH3G/KCNAB2/RDH11/HSD17B10/ME2/HADHA/AKR1B1/L2HGDH/PHGDH/HIBADH/IMPDH1/DHRS7B/UGDH/LDHB/HMGCR/EHHADH/GPD2/AKR1A1/KDSR/HSD17B4/GRHPR/HADHB/HADH/SORD/PGD/MDH2/NSDHL/ADHFE1/HSD17B12/DHRS4/CBR3/G6PD/RDH13/IDH3A/KCNAB1/KCNAB3/CTBP2/IDH2/DHRS4L2/ADH5/HSD17B11",44
"GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","42/3831","73/10643",0.575342465753425,1.59837375698609,3.8470413855621,0.00013704406701723,0.00815009127967171,0.00774744477936412,"MDH1/H6PD/AKR7A2/IDH3G/KCNAB2/RDH11/HSD17B10/ME2/HADHA/AKR1B1/PHGDH/HIBADH/IMPDH1/DHRS7B/UGDH/LDHB/HMGCR/EHHADH/AKR1A1/KDSR/HSD17B4/GRHPR/HADHB/HADH/SORD/PGD/MDH2/NSDHL/ADHFE1/HSD17B12/DHRS4/CBR3/G6PD/RDH13/IDH3A/KCNAB1/KCNAB3/CTBP2/IDH2/DHRS4L2/ADH5/HSD17B11",42
