"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","69/2255","88/4862",0.784090909090909,1.69057649667406,6.07963477037381,5.67006309007169e-10,1.8824609459038e-07,1.68908195209504e-07,"4190/9563/1431/5315/3421/2023/38/4200/1738/2271/26227/50/5634/5230/2821/2027/230/2597/7167/2026/5096/6390/4329/2805/39/48/35/2806/1892/55902/5160/29968/8803/2098/2653/5211/5226/6391/275/4594/4191/5723/5631/414328/26007/226/1737/5213/22934/3098/3099/2539/51/8802/7086/3419/2875/132158/5162/5223/5091/6470/6888/3418/6472/6120/128/26275/6392",69
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","44/2255","53/4862",0.830188679245283,1.78996778647032,5.37756286619006,3.48341371099111e-08,5.78246676024524e-06,5.18845305373938e-06,"5832/586/1431/5315/3421/440/2023/384/26227/50/5634/5230/587/2027/230/2597/7167/2026/1491/2805/48/2806/435/29968/5211/29920/5723/5631/226/5213/22934/875/7086/3419/2875/4144/5223/5091/6470/6888/3418/6472/6120/95",44
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","137/2255","219/4862",0.625570776255708,1.34879162490255,4.91195446188602,6.26969973424391e-07,6.93846770589659e-05,6.22570184137202e-05,"4706/292/7384/4719/55334/5685/5601/2773/4710/5566/7419/581/5705/4708/5714/513/4713/25828/5684/5693/5687/81027/5688/23516/5683/5709/5717/4717/4891/506/1337/1347/2771/10213/374291/27429/9167/11315/515/6390/4709/4702/10376/514/4694/1340/10975/7277/7979/135/468/5682/11047/7317/1349/4695/201266/1965/517/1329/4711/7295/5695/89953/64116/4704/7385/4716/2774/25800/29985/6647/5694/5686/6391/27173/805/817/4726/54539/55630/818/4718/498/518/522/90550/9246/65018/4720/516/5710/808/4724/836/27089/1345/4712/509/7417/91252/5702/4714/84790/10476/4725/7314/4696/598/9451/7388/5707/126328/64837/5708/84617/1351/9377/1537/203068/4707/29796/55967/4700/5719/7332/51079/10383/4697/5718/4538/4514/6392/7416/440567/539/5691",137
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","87/2255","131/4862",0.66412213740458,1.43191212064792,4.66036716334756,2.24520345065648e-06,0.000186351886404488,0.000167208572772575,"8379/996/1387/1870/1663/8454/8243/4171/4175/5527/8556/5933/10403/8555/23047/546/4998/51433/8697/8317/4174/9978/2033/1869/4173/898/51343/5518/1021/9126/7531/25906/1027/26271/4172/896/5528/7029/4999/10459/991/894/7043/23244/1017/7533/151648/23383/5111/891/10971/23595/1019/4193/4609/5519/57082/5925/51529/4089/890/472/1111/64682/9184/80174/4085/25836/9232/5885/5001/7465/4176/5347/7529/81620/699/7532/27085/9134/29882/11200/51434/3066/7027/1874/5591",87
"Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","39/2255","50/4862",0.78,1.68175609756098,4.50626566522769,4.47582206634469e-06,0.000256069051707388,0.000229763924011385,"5980/672/5888/4292/29089/79728/9894/11201/6119/5889/2178/55120/6118/51426/5395/91442/6117/51455/83990/675/55215/2177/146956/2176/7398/84126/201254/378708/116028/7156/80010/2187/79008/2175/57697/84464/641/197342/2189",39
"Genetic Information Processing","Replication and repair","hsa03440","Homologous recombination","32/2255","39/4862",0.82051282051282,1.76910569105691,4.48461603643279,4.62775394651906e-06,0.000256069051707388,0.000229763924011385,"672/4361/5888/5424/10714/79728/8438/5932/4683/29086/6119/5425/5889/10111/6118/7517/7979/6117/83990/580/675/472/146956/9577/84142/11073/7156/5890/5892/7516/25788/641",32
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","149/2255","249/4862",0.598393574297189,1.29019492604565,4.37183063480938,8.34584419638877e-06,0.000378857074490836,0.000339938338874149,"4706/292/1387/163/7384/4719/5685/1175/5431/5601/841/4710/55102/55062/7419/5978/581/5705/4708/5714/513/4713/5435/2033/5684/5693/5687/81027/5688/5438/4899/5683/7019/5709/5717/4717/23130/506/1337/6908/1347/25981/10120/10213/374291/1768/9167/2882/515/6390/4709/4702/83544/1211/60673/10376/514/4694/1340/10975/7277/7979/3092/5682/11047/4294/1349/4695/517/1329/4711/5695/89953/5330/10121/4704/7385/4716/6647/5694/5686/6391/148327/5433/4726/54539/5440/4718/498/518/522/26100/4720/516/5710/1173/5437/4724/836/27089/1345/4712/509/7417/5702/4714/84790/10476/5436/4725/4696/7388/5707/126328/64837/5708/10540/9776/84617/1351/8408/5441/9377/1537/23236/203068/4707/29796/55967/4700/6667/5719/51079/10383/4697/3066/160/5718/3064/2475/4538/4514/6392/1639/7416/2876/440567/539/5691",149
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","29/2255","35/4862",0.828571428571429,1.78648083623693,4.3425925772115,9.1290861323093e-06,0.000378857074490836,0.000339938338874149,"23649/5981/5982/5424/4171/4175/10714/4174/5427/5422/4173/10535/3978/6119/5425/5985/4172/6118/6117/5111/5983/1763/5558/5984/4176/2237/246243/5426/5557",29
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","127/2255","210/4862",0.604761904761905,1.30392566782811,4.18719071310417,1.92793791163474e-05,0.000711194874069705,0.000638136174260388,"4706/292/7384/4719/5685/5601/4710/1459/5566/7419/581/5705/4708/5714/513/4713/5684/5693/5687/81027/5688/1457/778/5296/5683/5709/5717/4717/3312/506/1337/1347/10213/374291/9167/1386/116444/515/6390/4709/4702/5533/5290/10376/514/4694/1340/10975/7277/7979/468/5880/5682/11047/1349/4695/1965/517/1329/5879/4711/5695/89953/4704/7385/4716/6647/5694/5686/6391/148327/4726/5295/54539/4851/775/4718/498/518/522/90550/4720/516/5710/2905/4724/836/27089/1345/4712/509/7417/5702/4714/84790/10476/10963/4725/4696/9451/7388/5707/126328/64837/5708/84617/1351/9377/1537/203068/4707/29796/55967/4700/5719/51079/10383/4697/5718/116443/4538/4514/6392/7416/440567/539/5691",127
"Metabolism","Carbohydrate metabolism","hsa00030","Pentose phosphate pathway","20/2255","23/4862",0.869565217391304,1.87486744432662,3.91105506734639,6.34296871787216e-05,0.00210586561433356,0.00188953699700823,"51071/9563/5634/2821/230/5211/5226/5631/414328/226/5213/22934/2539/7086/132158/55276/64080/6888/23729/6120",20
