"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","64/1898","88/4862",0.727272727272727,1.86301369863014,6.53716780238046,1.0398603292041e-10,3.45233629295761e-08,3.0757973948037e-08,"4190/9563/1431/5315/3421/2023/38/4200/1738/2271/26227/50/5634/5230/2821/230/2597/7167/2026/5096/6390/4329/2805/39/35/2806/1892/55902/5160/29968/8803/2098/2653/5211/5226/6391/275/4594/4191/5723/5631/414328/26007/226/1737/5213/22934/3098/3099/2539/51/8802/7086/3419/5223/5091/6470/6888/3418/6472/6120/128/26275/6392",64
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","127/1898","219/4862",0.579908675799087,1.48551948458122,5.88303177346052,5.10509237883906e-09,8.47445334887283e-07,7.55016293923039e-07,"4706/292/7384/4719/55334/5685/5601/2773/4710/7419/5705/4708/5714/513/4713/25828/5684/5693/5687/81027/5688/23516/5683/5709/5717/4717/506/1337/1347/2771/10213/374291/27429/9167/11315/515/6390/4709/4702/10376/4694/1340/10975/7979/468/5682/11047/7317/1349/4695/201266/1965/517/1329/4711/7295/5695/89953/64116/4704/7385/4716/2774/25800/29985/6647/5694/5686/6391/27173/805/817/4726/54539/55630/818/4718/498/518/522/90550/9246/65018/4720/516/5710/808/4724/836/27089/1345/4712/509/7417/91252/5702/4714/84790/10476/4725/7314/598/9451/7388/5707/126328/64837/5708/1351/9377/1537/4707/29796/55967/4700/5719/7332/51079/10383/4697/5718/4538/6392/7416/440567/539/5691",127
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","83/1898","131/4862",0.633587786259542,1.62302624699362,5.78412049789213,1.02747348255302e-08,1.13707065402534e-06,1.01305280209614e-06,"996/1387/1870/1663/8454/8243/4171/4175/8556/5933/10403/8555/23047/546/4998/51433/8697/8317/4174/9978/2033/1869/4173/898/51343/5518/1021/9126/7531/25906/1027/26271/4172/896/5528/7029/10459/991/894/23244/1017/7533/151648/23383/5111/891/10971/23595/1019/4193/4609/5519/57082/5925/51529/4089/890/472/1111/64682/9184/80174/4085/25836/9232/5885/5001/7465/4176/5347/7529/81620/699/7532/27085/9134/29882/11200/51434/3066/7027/1874/5591",83
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","40/1898","53/4862",0.754716981132076,1.93331610235203,5.46652224717756,6.55537237530865e-08,5.44095907150618e-06,4.84752536174139e-06,"5832/586/1431/5315/3421/440/2023/384/26227/50/5634/5230/587/230/2597/7167/2026/1491/2805/2806/29968/5211/29920/5723/5631/226/5213/22934/875/7086/3419/4144/5223/5091/6470/6888/3418/6472/6120/95",40
"Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","38/1898","50/4862",0.76,1.94684931506849,5.38486570949722,1.02448798431302e-07,6.80260021583844e-06,6.06065523351491e-06,"672/5888/4292/29089/79728/9894/11201/6119/5889/2178/55120/6118/51426/5395/91442/6117/51455/83990/675/55215/2177/146956/2176/7398/84126/201254/378708/116028/7156/80010/2187/79008/2175/57697/84464/641/197342/2189",38
"Genetic Information Processing","Replication and repair","hsa03440","Homologous recombination","31/1898","39/4862",0.794871794871795,2.03617843343871,5.19852379644789,2.71144973334648e-07,1.50033551911839e-05,1.33669714924625e-05,"672/4361/5888/5424/10714/79728/8438/5932/4683/29086/6119/5425/5889/10111/6118/7517/7979/6117/83990/580/675/472/146956/9577/11073/7156/5890/5892/7516/25788/641",31
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","117/1898","210/4862",0.557142857142857,1.42720156555773,5.06400871995953,4.27436025270837e-07,2.02726800557025e-05,1.80615824212188e-05,"4706/292/7384/4719/5685/5601/4710/1459/7419/5705/4708/5714/513/4713/5684/5693/5687/81027/5688/1457/5683/5709/5717/4717/3312/506/1337/1347/10213/374291/9167/1386/116444/515/6390/4709/4702/5533/5290/10376/4694/1340/10975/7979/468/5880/5682/11047/1349/4695/1965/517/1329/5879/4711/5695/89953/4704/7385/4716/6647/5694/5686/6391/148327/4726/5295/54539/4851/775/4718/498/518/522/90550/4720/516/5710/2905/4724/836/27089/1345/4712/509/7417/5702/4714/84790/10476/10963/4725/9451/7388/5707/126328/64837/5708/1351/9377/1537/4707/29796/55967/4700/5719/51079/10383/4697/5718/116443/4538/6392/7416/440567/539/5691",117
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","28/1898","35/4862",0.8,2.04931506849315,4.98509107677445,8.27043051808147e-07,3.43222866500381e-05,3.05788286260644e-05,"23649/5981/5982/5424/4171/4175/10714/4174/5427/5422/4173/10535/3978/6119/5425/5985/4172/6118/6117/5111/5983/1763/5558/5984/4176/2237/5426/5557",28
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","132/1898","249/4862",0.530120481927711,1.35797986466414,4.64021774637439,3.14866258815292e-06,0.000116150664362975,0.000103482361084324,"4706/292/1387/163/7384/4719/5685/1175/5431/5601/841/4710/55102/7419/5978/5705/4708/5714/513/4713/5435/2033/5684/5693/5687/81027/5688/5438/4899/5683/7019/5709/5717/4717/23130/506/1337/1347/25981/10120/10213/374291/9167/515/6390/4709/4702/83544/1211/10376/4694/1340/10975/7979/5682/11047/4294/1349/4695/517/1329/4711/5695/89953/5330/10121/4704/7385/4716/6647/5694/5686/6391/148327/5433/4726/54539/5440/4718/498/518/522/26100/4720/516/5710/1173/5437/4724/836/27089/1345/4712/509/7417/5702/4714/84790/10476/5436/4725/7388/5707/126328/64837/5708/10540/9776/1351/8408/5441/9377/1537/4707/29796/55967/4700/5719/51079/10383/4697/3066/160/5718/3064/4538/6392/7416/2876/440567/539/5691",132
"Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","70/1898","119/4862",0.588235294117647,1.50684931506849,4.47917053126068,7.82190229270872e-06,0.000259687156117929,0.000231363636236963,"4706/1352/7384/4719/4710/4708/513/4713/4717/506/1337/1347/523/374291/9167/515/6390/4709/4702/4694/1340/10975/9296/529/1349/4695/517/1329/4711/9550/10063/27068/4704/7385/4716/6391/4726/54539/4718/498/518/522/4720/516/4724/27089/1345/4712/509/4714/10476/4725/521/7388/126328/1351/9377/1537/5464/4707/29796/55967/4700/51079/4697/4538/6392/440567/9551/539",70
