"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098687","chromosomal region","170/3271","352/10939",0.482954545454545,1.61511457435869,7.66141648607529,1.37199231244191e-13,8.83563049212592e-11,7.81313516874816e-11,"BAZ1B/NCAPD2/NUP160/CENPQ/SPDL1/TPR/RAD51/THOC3/POLD1/KDM4A/STAG3/NUP133/SMC1A/XRCC1/MCM2/SMARCE1/NUP37/ACTB/MCM6/SPAG5/SIRT6/XRCC5/NDC80/XPO1/PDS5B/ATRX/ORC1/CHMP5/AURKA/CBX5/CENPM/THOC5/MCM5/TELO2/APEX1/CHMP4B/SUV39H1/RBBP7/FMR1/NBN/MCM4/DOT1L/KDM4C/SMC3/CBX1/SMARCD2/ZNF330/GAR1/PTGES3/NUP107/MCM3/RNF8/CSNK1A1/SMC4/ORC4/CDC20/CENPF/RPA2/SLF2/HELLS/CENPL/KIF18A/PDS5A/SEPTIN7/CBX3/ZWINT/CENPK/CDK2/H2BC11/THOC2/XRCC3/POT1/KNSTRN/MIS18BP1/SGO1/CLIP1/DNMT1/THOC6/TOP2A/PCNA/SLF1/CCNB1/APC/NAT10/DYNC1LI2/ACTL6A/DCTN3/CENPO/DNA2/CENPE/NABP2/BRCA2/ITGB3BP/KIF2C/NUF2/PARP1/DYNC1LI1/NHP2/CDCA5/MTA2/INCENP/CHEK1/DSN1/NCAPD3/CENPU/SUV39H2/CENPH/CFDP1/PHF6/NSMCE2/H4C8/ZNF276/MIS18A/RECQL4/RBBP4/SMC6/SGO2/THOC7/MAD2L1/RAD21/SUN1/DYNLT3/CENPN/MCM7/DCTN5/PLK1/CDT1/DDB1/FEN1/NSMCE1/BUB1/CENPX/TRAPPC12/MTBP/PPP1CA/NABP1/ZWILCH/CKAP5/CENPS/RCC2/SKA2/CHEK2/KNTC1/PPP1CC/CENPP/H2AX/SLX4/XRCC6/HDAC2/H4C3/H4C11/BLM/BAZ1A/CHAMP1/SMC5/ZBTB48/PRKDC/CHMP4A/EID3/TEN1/H4C15/H4C12/H4C6/H4C9/H2BC3/H4C5/H4C4/H2AC4/H4C1/H4C2",170
"GO:0032993","protein-DNA complex","102/3271","188/10939",0.542553191489362,1.81442658566253,7.35655718535077,2.0070480420349e-12,4.70557645756641e-10,4.16102789072152e-10,"MBTD1/POLA2/POLD1/WDR18/NFYC/MCM2/ACTB/MCM6/POLD3/XRCC5/CDC5L/MCM5/RPRD1B/POLA1/MCM4/RPA3/PRPF19/GTF2H3/MCM3/RPA2/EPC1/H1-3/H2BC11/MED1/HELB/YEATS4/POT1/GINS2/PCNA/SLF1/EPC2/ACTL6A/XPA/IRF4/SMARCAL1/GLYR1/PARP1/PRIM2/GINS4/H4C8/DONSON/TONSL/VPS72/POLR2H/H2AZ1/MCM7/ATF6B/PLRG1/POLD4/RUVBL1/DMAP1/SUZ12/H2AC25/GINS3/RUVBL2/H3C13/H2AC20/H2AC21/H1-5/H2BC13/H2AX/XRCC6/H2AC13/H2AC11/H2AC7/H4C3/H3C12/H4C11/H3C4/H2BC12/PRIM1/H3C14/TREX1/H2BC15/PRKDC/TEN1/H4C15/H4C12/H2BC14/H2BC6/H4C6/H2BC17/H2AC12/H2AC15/H3C11/H2BC9/H4C9/H2BC3/H2AC16/H4C5/H4C4/H2BC7/H3C7/H2AC4/H2BC10/H4C1/H2AC17/H4C2/H3C10/H3C2/H3C3/H2AC19",102
"GO:0005743","mitochondrial inner membrane","201/3271","444/10939",0.452702702702703,1.5139452353607,7.22079951941016,2.19203872246882e-12,4.70557645756641e-10,4.16102789072152e-10,"NDUFAB1/HCCS/AGK/COX10/SLC25A39/COX15/MRPS10/MCUR1/ALDH18A1/MRPS35/MRPS24/NDUFB4/FECH/MRPS34/MRPL22/NOA1/HADHA/MRPL28/L2HGDH/CRLS1/SLC8B1/CRAT/MRPS18A/ATP5F1D/NDUFB7/TIMM13/PRODH/SLC25A1/GCAT/SAMM50/TIMM9/RAB5IF/SLC25A15/MICU1/PPIF/SLC25A11/FOXRED1/PTPMT1/COQ5/ATP5F1B/MRPL51/LDHB/COX6A1/TMEM14C/COX7A2/NNT/MRPS27/TIMMDC1/SLC41A3/MRPL3/MRPL19/COX7A2L/MRPL37/ATP5PB/MRPS15/NDUFB3/NDUFA8/MRPS2/SLC25A16/ATPAF1/ATP5F1E/NDUFA1/ROMO1/COX6B1/TIMM8A/UQCR11/MRPS12/MTX2/TOMM40/MRPL34/TMEM160/COX7B/ABCB7/IMMT/COQ3/ERAL1/COX16/KGD4/RSAD2/TIMM10/COQ10A/MRPL44/MRPS9/NDUFB5/MRPL47/MRPL15/UQCRC2/NDUFB10/AFG3L2/SDHC/NDUFS6/HIGD2A/NDUFB11/MRPS28/PDSS1/IMMP1L/ATPSCKMT/TIMM8B/NDUFC2/SLC25A4/ATP5F1A/ATP5MC3/MRPL39/ATP5PF/APOOL/MICU3/AIFM1/EXOG/ATP5MC1/THEM4/NDUFV3/FDXR/MTHFD2L/SLC9B2/CCDC51/NDUFS4/UQCRQ/SFXN1/COX6C/SLC25A32/NDUFB6/STOML2/MICU2/ATP5F1C/NDUFB8/CLPX/MRPL16/DUSP18/PHB1/MRPL58/ATP5PD/NDUFS5/LETM1/ATP5ME/MRPL1/SPNS1/TMEM126B/MRPL36/BCL2L1/MRPL13/CHCHD1/MRPL52/COQ2/MRPL57/UQCRH/ATP5MK/MRPL11/NDUFA11/MICOS13/MRPL48/TMEM70/MTLN/AURKAIP1/SLC35A4/COX8A/DNAJC30/TYMS/MTX3/SLC25A22/TMEM11/COX5A/CYC1/GADD45GIP1/MRPL14/HIGD1A/MRPS23/MRPS11/MRPS16/SHMT2/SLC25A10/SFXN4/UQCR10/NDUFA12/APOO/NDUFA6/MRPL40/NDUFA13/PTPN1/ATAD3A/SPG7/MT-ND4/MT-CO3/SDHD/MRPL53/MRPL23/PHB2/UQCRHL/MRPS17/ATP5MF/ATP5PO/MRPL33/PGAM5/CHCHD10/COA8/MRPL12/TIMM23/MRPS21/NDUFA7/SLC25A53/MRPL45/SCO2",201
"GO:0019866","organelle inner membrane","212/3271","482/10939",0.439834024896266,1.47090932385822,6.90598187212263,1.59276667590031e-11,2.5643543481995e-09,2.26759676753176e-09,"NDUFAB1/HCCS/AGK/COX10/SLC25A39/COX15/MRPS10/MCUR1/ALDH18A1/MRPS35/MRPS24/NDUFB4/FECH/MRPS34/MRPL22/RNF13/NOA1/HADHA/MRPL28/L2HGDH/CRLS1/SLC8B1/CRAT/MRPS18A/ATP5F1D/NDUFB7/TIMM13/PRODH/SLC25A1/GCAT/SAMM50/TIMM9/RAB5IF/SLC25A15/NUTF2/MICU1/PPIF/SLC25A11/FOXRED1/PTPMT1/COQ5/ATP5F1B/MRPL51/LDHB/COX6A1/TMEM14C/COX7A2/NNT/MRPS27/LMNB1/TIMMDC1/SLC41A3/MRPL3/MRPL19/COX7A2L/MRPL37/ATP5PB/MRPS15/NDUFB3/NDUFA8/TMPO/MRPS2/CBX3/SLC25A16/ATPAF1/ATP5F1E/NDUFA1/ROMO1/COX6B1/TIMM8A/UQCR11/MRPS12/MTX2/TOMM40/MRPL34/TMEM160/COX7B/ABCB7/IMMT/COQ3/ERAL1/COX16/KGD4/RSAD2/TIMM10/COQ10A/MRPL44/MRPS9/NDUFB5/MRPL47/NRM/MRPL15/UQCRC2/NDUFB10/AFG3L2/SDHC/NDUFS6/HIGD2A/NDUFB11/MRPS28/SIGMAR1/PDSS1/IMMP1L/ATPSCKMT/TIMM8B/NDUFC2/SLC25A4/ATP5F1A/ATP5MC3/MRPL39/ATP5PF/APOOL/MICU3/AIFM1/EXOG/ATP5MC1/THEM4/NDUFV3/FDXR/MTHFD2L/SLC9B2/CCDC51/NDUFS4/UQCRQ/SFXN1/SUN1/COX6C/SLC25A32/NDUFB6/STOML2/MICU2/ATP5F1C/NDUFB8/CLPX/NEMP1/MRPL16/DUSP18/PHB1/MRPL58/ATP5PD/NDUFS5/LETM1/ATP5ME/MRPL1/SPNS1/TMEM126B/MRPL36/BCL2L1/MRPL13/CHCHD1/MRPL52/COQ2/MRPL57/UQCRH/ATP5MK/MRPL11/NDUFA11/MICOS13/MRPL48/TMEM70/MTLN/AURKAIP1/SLC35A4/COX8A/DNAJC30/TYMS/MTX3/SLC25A22/TMEM11/COX5A/CYC1/GADD45GIP1/MRPL14/HIGD1A/MRPS23/MRPS11/MRPS16/SHMT2/SLC25A10/SFXN4/UQCR10/NDUFA12/APOO/NDUFA6/MRPL40/NDUFA13/TMEM120B/TMEM120A/PTPN1/ATAD3A/SPG7/MT-ND4/MT-CO3/SDHD/MRPL53/MRPL23/PHB2/UQCRHL/MRPS17/ATP5MF/ATP5PO/MRPL33/PGAM5/CHCHD10/COA8/MRPL12/TIMM23/MRPS21/NDUFA7/SLC25A53/MRPL45/SCO2",212
"GO:0000793","condensed chromosome","115/3271","226/10939",0.508849557522124,1.70171363795002,6.96188369677692,2.12569428380286e-11,2.73789423753808e-09,2.42105391060494e-09,"BAZ1B/NCAPD2/BRCA1/NUP160/CENPQ/SPDL1/TPR/RAD51/STAG3/NUP133/SMC1A/SMARCE1/NUP37/ACTB/MLH1/SPAG5/NDC80/XPO1/ATRX/CHMP5/AURKA/CBX5/CENPM/CCNB1IP1/CHMP4B/SUV39H1/SMC3/SMARCD2/NUP107/CSNK1A1/SMC4/CDC20/CENPF/SLF2/CENPL/KIF18A/SEPTIN7/CBX3/ZWINT/CENPK/CDK2/AGO3/HSPA2/KNSTRN/SGO1/CLIP1/TUBG1/TOP2A/SLF1/CCNB1/APC/DYNC1LI2/ACTL6A/SMC2/DCTN3/CENPO/CENPE/BRCA2/P3H4/ITGB3BP/KIF2C/NUF2/FANCD2/DYNC1LI1/NCAPG2/MKI67/INCENP/CHEK1/DSN1/RAD9B/NCAPD3/CENPU/CENPH/CFDP1/NIFK/TTN/PHF6/NSMCE2/ZNF276/RGS12/SYCE2/SMC6/SGO2/TOPBP1/HMGB2/MAD2L1/RAD21/DYNLT3/CENPN/DCTN5/PLK1/CDT1/NSMCE1/BUB1/CENPX/TRAPPC12/MTBP/ZWILCH/CKAP5/CENPS/BANF1/RRS1/RCC1/SKA2/KNTC1/L3MBTL1/PPP1CC/CENPP/H2AX/HMGB1/BLM/CHAMP1/SMC5/CHMP4A/EID3",115
"GO:0005657","replication fork","48/3271","71/10939",0.676056338028169,2.26089277948338,6.96146584503202,5.4499925523568e-11,5.84965867286297e-09,5.1727122295176e-09,"BAZ1B/POLA2/RTF2/RFC1/RFC2/POLD1/RAD18/TIPIN/POLD3/CDC5L/POLA1/NBN/RPA3/RAD51C/PRPF19/RFC5/TIMELESS/MCM3/BCL6/RPA2/XRCC3/HELB/DNMT1/PCNA/RFC3/BRIP1/XPA/SMARCAL1/TP53/PARP1/PRIM2/MMS22L/CHEK1/EME1/DONSON/TONSL/RFC4/PRIMPOL/PLRG1/POLD4/DMAP1/H2AX/BLM/EME2/PRIM1/WDHD1/TREX1/UHRF1",48
"GO:0000775","chromosome, centromeric region","111/3271","227/10939",0.488986784140969,1.63528781159219,6.31707959852729,1.01518295827707e-09,9.33968321614909e-08,8.25885684853981e-08,"BAZ1B/NCAPD2/NUP160/CENPQ/SPDL1/TPR/KDM4A/STAG3/NUP133/SMC1A/SMARCE1/NUP37/ACTB/SPAG5/SIRT6/NDC80/XPO1/PDS5B/ATRX/CHMP5/AURKA/CBX5/CENPM/CHMP4B/SUV39H1/FMR1/KDM4C/SMC3/CBX1/SMARCD2/ZNF330/NUP107/CSNK1A1/SMC4/CDC20/CENPF/HELLS/CENPL/KIF18A/PDS5A/SEPTIN7/CBX3/ZWINT/CENPK/H2BC11/KNSTRN/MIS18BP1/SGO1/CLIP1/DNMT1/TOP2A/CCNB1/APC/DYNC1LI2/ACTL6A/DCTN3/CENPO/CENPE/ITGB3BP/KIF2C/NUF2/DYNC1LI1/CDCA5/INCENP/DSN1/NCAPD3/CENPU/SUV39H2/CENPH/CFDP1/PHF6/H4C8/ZNF276/MIS18A/SMC6/SGO2/MAD2L1/RAD21/DYNLT3/CENPN/DCTN5/PLK1/CDT1/NSMCE1/BUB1/CENPX/TRAPPC12/MTBP/ZWILCH/CKAP5/CENPS/RCC2/SKA2/KNTC1/PPP1CC/CENPP/H4C3/H4C11/BAZ1A/CHAMP1/SMC5/CHMP4A/H4C15/H4C12/H4C6/H4C9/H4C5/H4C4/H2AC4/H4C1/H4C2",111
"GO:0000786","nucleosome","60/3271","104/10939",0.576923076923077,1.92936763633798,6.21953528654122,3.15207970949758e-09,2.53742416614556e-07,2.24378305636604e-07,"MBTD1/ACTB/EPC1/H1-3/H2BC11/YEATS4/SLF1/EPC2/ACTL6A/IRF4/GLYR1/H4C8/VPS72/H2AZ1/RUVBL1/DMAP1/H2AC25/RUVBL2/H3C13/H2AC20/H2AC21/H1-5/H2BC13/H2AX/H2AC13/H2AC11/H2AC7/H4C3/H3C12/H4C11/H3C4/H2BC12/H3C14/H2BC15/H4C15/H4C12/H2BC14/H2BC6/H4C6/H2BC17/H2AC12/H2AC15/H3C11/H2BC9/H4C9/H2BC3/H2AC16/H4C5/H4C4/H2BC7/H3C7/H2AC4/H2BC10/H4C1/H2AC17/H4C2/H3C10/H3C2/H3C3/H2AC19",60
"GO:0000228","nuclear chromosome","97/3271","195/10939",0.497435897435897,1.66354365088697,6.10621347535923,3.72132405950942e-09,2.66281410480452e-07,2.35466235812233e-07,"KMT2E/BAZ1B/NCAPD2/BRCA1/POLA2/ARID4A/RAD51/POLD1/STAG3/SMC1A/MCM2/SMARCE1/TIPIN/MCM6/MLH1/POLD3/ATRX/ORC1/CDC5L/MCM5/POLE2/CCNB1IP1/CSNK2A1/POLA1/SUV39H1/RBBP7/MCM4/RPA3/SMC3/PRPF19/TIMELESS/MCM3/SMC4/INO80D/ORC4/UCHL5/RPA2/AGO3/HSPA2/HELB/SIN3B/GINS2/TUBG1/TOP2A/SLX1A/FIGNL1/PCNA/ACTL6A/SMC2/XPA/SMARCAL1/BRCA2/P3H4/ANP32E/PARP1/PRIM2/MMS22L/NCAPG2/GINS4/INCENP/CHEK1/RAD9B/NCAPD3/CFDP1/EME1/NIFK/TTN/SFR1/RGS12/TONSL/SYCE2/RBBP4/TOPBP1/RAD21/MCM7/PLK1/NFRKB/PLRG1/POLD4/RUVBL1/POLE/DMAP1/RRS1/RCC1/GINS3/RUVBL2/MCRS1/H2AX/SLX4/HDAC2/BLM/EME2/PRIM1/WDHD1/BAZ1A/FIRRE/TREX1",97
"GO:0098803","respiratory chain complex","55/3271","96/10939",0.572916666666667,1.91596924997452,5.88721587920722,1.99298035456526e-08,1.28347934834003e-06,1.13494986507348e-06,"NDUFAB1/COX15/NDUFB4/ATP5F1D/NDUFB7/ATP5F1B/COX6A1/COX7A2/NNT/COX7A2L/ATP5PB/NDUFB3/NDUFA8/ATP5F1E/NDUFA1/COX6B1/UQCR11/COX7B/NDUFB5/UQCRC2/NDUFB10/SDHC/NDUFS6/NDUFB11/NDUFC2/ATP5F1A/ATP5PF/ATP5MC1/NDUFV3/NDUFS4/UQCRQ/COX6C/NDUFB6/ATP5F1C/NDUFB8/ATP5PD/NDUFS5/ATP5ME/UQCRH/ATP5MK/NDUFA11/COX8A/COX5A/CYC1/UQCR10/NDUFA12/NDUFA6/NDUFA13/MT-ND4/MT-CO3/SDHD/UQCRHL/ATP5MF/ATP5PO/NDUFA7",55
