"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","27/1602","35/4933",0.771428571428571,2.37544141252006,5.66268236333306,6.82508874242003e-08,2.25910437374103e-05,2.04034231878662e-05,"23649/5981/5982/5424/4171/4175/10714/4174/5427/5422/4173/10535/3978/6119/5985/4172/6118/5111/5983/1763/5558/5984/4176/2237/57804/5426/5557",27
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","108/1602","221/4933",0.48868778280543,1.50480451471859,5.32441869690606,1.67318701418268e-07,2.76912450847233e-05,2.50097427383095e-05,"4706/55334/5685/5601/2773/4710/7419/581/5705/5714/513/4713/25828/5684/5693/5687/81027/5688/23516/10105/5717/4891/506/1337/7922/1347/2771/10213/27429/9167/11315/515/4709/4702/3709/10376/514/4694/1340/10975/7979/91860/11047/7317/1349/201266/1965/4711/7295/89953/7385/4716/25800/7157/29985/6647/5694/5686/6391/805/4726/54539/55630/4718/291/498/518/522/9246/516/5710/808/118424/4731/5701/4724/27089/1345/4712/509/91252/5702/4714/84790/10476/4725/598/7388/5707/126328/5708/1351/9377/1537/29796/55967/4700/5719/7332/51079/4538/4514/6392/7416/440567/539/4701/5691",108
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","70/1602","132/4933",0.53030303030303,1.6329493436235,5.11146674857781,6.10654874969561e-07,6.73755878716416e-05,6.08512226285457e-05,"996/1387/1870/8243/4171/4175/5933/10403/8555/23047/546/4998/8697/8317/4174/9978/1869/4173/898/7040/9126/7531/25906/26271/4172/5528/7029/5000/10459/991/894/23244/1017/9587/7533/151648/23383/5111/891/10971/1019/9700/4193/5519/114799/7157/51529/890/113130/1111/80174/4085/9232/5885/7534/7465/4176/5347/7529/81620/699/7532/27085/29882/246184/11200/3066/7027/1874/5591",70
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","101/1602","211/4933",0.478672985781991,1.47396619154966,4.87956462208563,1.46701608831556e-06,0.000109286458459652,9.87036228416003e-05,"4706/5685/5601/4710/1459/7419/581/5705/5714/513/4713/5684/5693/5687/81027/5688/1457/5595/5532/10105/5717/3312/506/1337/1347/10213/9167/1386/116444/515/4709/4702/1958/5533/3709/10376/514/4694/1340/10975/7979/5880/11047/1349/1965/5879/4711/89953/7385/4716/6647/5694/5686/6391/4726/5295/54539/4851/775/4718/291/498/518/522/516/5710/4731/5701/4724/27089/1345/4712/509/5702/4714/84790/10476/10963/1388/4725/7388/5707/126328/5708/1351/9377/1537/29796/55967/4700/5719/51079/4538/4514/6392/7416/5534/440567/539/4701/5691",101
"Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","63/1602","118/4933",0.533898305084746,1.64402018663112,4.91018450899739,1.65085284682254e-06,0.000109286458459652,9.87036228416003e-05,"4706/1352/1355/4710/513/4713/506/1337/1347/523/9167/515/4709/4702/514/4694/1340/10975/9296/529/1349/4711/9550/10063/27068/7385/4716/6391/4726/54539/526/4718/498/518/522/516/4731/4724/27089/1345/4712/509/4714/10476/4725/521/7388/126328/1351/9377/1537/5464/29796/55967/4700/51079/4538/4514/6392/440567/9551/539/4701",63
"Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","33/1602","51/4933",0.647058823529412,1.99247264448851,4.94037845562744,2.1246679677598e-06,0.000117210849554749,0.000105860649621716,"5980/672/5888/4292/29089/79728/9894/11201/6119/5889/2178/3280/55120/6118/5395/91442/548593/83990/675/55215/2177/146956/7398/201254/378708/116028/2187/2175/57697/84464/641/197342/2189",33
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","48/1602","86/4933",0.558139534883721,1.71866562146155,4.66224465167784,5.76046425483065e-06,0.000272387666906992,0.000246010804266452,"8970/8365/3015/717/6632/92815/653604/8338/317772/8340/3014/8329/8969/3013/8364/8356/8363/8351/85236/126961/8341/554313/8362/8342/8344/8361/8348/85235/8330/8354/8345/8294/8331/3018/8332/8367/8360/8343/8968/8335/8346/8359/8336/8366/8357/8358/8352/723790",48
"Genetic Information Processing","Replication and repair","hsa03430","Mismatch repair","16/1602","21/4933",0.761904761904762,2.34611497532846,4.28665071278195,4.87859053772005e-05,0.00186033409232811,0.00168018725463884,"5981/5982/5424/4292/10714/3978/6119/5985/4437/2956/6118/5395/5111/5983/5984/57804",16
"Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","24/1602","37/4933",0.648648648648649,1.99736815467153,4.22270875147218,5.05831022083171e-05,0.00186033409232811,0.00168018725463884,"4190/2730/586/1789/26227/4507/2937/191/6611/259307/587/3945/6723/2805/2806/1786/3939/29968/56267/58478/4191/51074/875/10768",24
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","126/1602","293/4933",0.430034129692833,1.32419373394179,3.96766420916496,6.46491700161869e-05,0.00213988752753579,0.00193266992469443,"4706/355/55334/5685/5601/5610/841/4710/55102/1459/7419/5705/5714/513/4713/5684/5693/5687/81027/5688/1457/5595/23516/5532/10105/5717/4891/506/2597/1337/7922/1347/1452/10213/57142/9167/515/10000/4709/4702/5533/3709/4035/10376/514/4694/1340/7186/10975/7979/91860/11047/1349/201266/10313/1965/324/4711/89953/83464/7385/4716/25800/29985/207/5694/5686/6391/805/4726/5295/54539/55630/29982/775/4718/291/498/518/522/516/5710/808/4731/5701/4724/27089/1345/4712/509/10023/91252/5702/4714/322/84790/10476/4725/7480/5481/7388/5707/488/126328/5708/1351/9377/1537/23401/29796/1435/55967/4700/5719/51079/4538/4514/6392/55851/1147/7416/5534/440567/539/4701/5691",126
