"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","27/1500","35/4933",0.771428571428571,2.53697142857143,6.03129662257132,1.42919737048201e-08,4.71635132259063e-06,4.21237119721013e-06,"23649/5981/5982/5424/4171/4175/10714/4174/5427/5422/4173/10535/3978/6119/5985/4172/6118/5111/5983/1763/5558/5984/4176/2237/57804/5426/5557",27
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","105/1500","221/4933",0.475113122171946,1.56248868778281,5.65493412963945,3.55933143044504e-08,5.87289686023432e-06,5.24533052907691e-06,"4706/55334/5685/5601/2773/4710/7419/581/5705/5714/513/4713/25828/5684/5693/5687/81027/5688/23516/5717/4891/506/1337/7922/1347/2771/10213/27429/9167/11315/515/4709/4702/3709/10376/514/4694/1340/10975/7979/91860/11047/7317/1349/201266/1965/4711/7295/89953/7385/4716/25800/7157/29985/6647/5694/5686/6391/805/4726/54539/55630/4718/498/518/522/9246/516/5710/808/118424/4731/5701/4724/27089/1345/4712/509/91252/5702/4714/84790/10476/4725/598/7388/5707/126328/5708/1351/9377/1537/29796/55967/4700/5719/7332/51079/4538/4514/6392/7416/440567/539/5691",105
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","68/1500","132/4933",0.515151515151515,1.69416161616162,5.34320663777387,2.35234473849983e-07,2.58757921234981e-05,2.31107553256123e-05,"996/1387/1870/8243/4171/4175/5933/10403/8555/23047/546/4998/8697/8317/4174/9978/1869/4173/898/9126/7531/25906/26271/4172/5528/7029/5000/10459/991/894/23244/1017/9587/7533/151648/23383/5111/891/10971/1019/9700/4193/5519/114799/7157/51529/890/113130/1111/80174/4085/9232/5885/7465/4176/5347/7529/81620/699/7532/27085/29882/246184/11200/3066/7027/1874/5591",68
"Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","62/1500","118/4933",0.525423728813559,1.72794350282486,5.2900623874442,3.25238095152411e-07,2.68321428500739e-05,2.39649122743882e-05,"4706/1352/1355/4710/513/4713/506/1337/1347/523/9167/515/4709/4702/514/4694/1340/10975/9296/529/1349/4711/9550/10063/27068/7385/4716/6391/4726/54539/526/4718/498/518/522/516/4731/4724/27089/1345/4712/509/4714/10476/4725/521/7388/126328/1351/9377/1537/5464/29796/55967/4700/51079/4538/4514/6392/440567/9551/539",62
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","97/1500","211/4933",0.459715639810427,1.51185150078989,5.0227606023644,8.41255475046141e-07,5.55228613530453e-05,4.95897964237725e-05,"4706/5685/5601/4710/1459/7419/581/5705/5714/513/4713/5684/5693/5687/81027/5688/1457/5595/5532/5717/3312/506/1337/1347/10213/9167/1386/116444/515/4709/4702/5533/3709/10376/514/4694/1340/10975/7979/5880/11047/1349/1965/5879/4711/89953/7385/4716/6647/5694/5686/6391/4726/5295/54539/4851/775/4718/498/518/522/516/5710/4731/5701/4724/27089/1345/4712/509/5702/4714/84790/10476/10963/1388/4725/7388/5707/126328/5708/1351/9377/1537/29796/55967/4700/5719/51079/4538/4514/6392/7416/5534/440567/539/5691",97
"Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","32/1500","51/4933",0.627450980392157,2.06347712418301,5.04585323980972,1.643433642875e-06,9.03888503581253e-05,8.07300736850879e-05,"5980/672/5888/4292/29089/79728/9894/11201/6119/5889/2178/55120/6118/5395/91442/548593/83990/675/55215/2177/146956/7398/201254/378708/116028/2187/2175/57697/84464/641/197342/2189",32
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","46/1500","86/4933",0.534883720930233,1.75905426356589,4.69359704251724,5.814502117669e-06,0.00027411224269011,0.00024482114179659,"8970/8365/3015/717/6632/92815/653604/317772/8340/3014/8329/8969/3013/8364/8356/8363/8351/85236/126961/8341/554313/8362/8342/8344/8361/8348/85235/8354/8345/8294/8331/3018/8332/8367/8360/8343/8968/8335/8346/8359/8336/8366/8357/8358/8352/723790",46
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","123/1500","293/4933",0.419795221843003,1.38056655290102,4.43941452029733,9.97053203570629e-06,0.000411284446472885,0.000367335390789179,"4706/355/55334/5685/5601/5610/841/4710/55102/1459/7419/5705/5714/513/4713/5684/5693/5687/81027/5688/1457/5595/23516/5532/5717/4891/506/2597/1337/7922/1347/1452/10213/57142/9167/515/10000/4709/4702/5533/3709/4035/10376/514/4694/1340/7186/10975/7979/91860/11047/1349/201266/10313/1965/324/4711/89953/83464/7385/4716/25800/29985/207/5694/5686/6391/805/4726/5295/54539/55630/29982/775/4718/498/518/522/516/5710/808/4731/5701/4724/27089/1345/4712/509/10023/91252/5702/4714/322/84790/10476/4725/7480/5481/7388/5707/488/126328/5708/1351/9377/1537/23401/29796/1435/55967/4700/5719/51079/4538/4514/6392/55851/1147/7416/5534/440567/539/5691",123
"Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","24/1500","37/4933",0.648648648648649,2.13318918918919,4.573017273919,1.48510647415349e-05,0.000544539040522947,0.000486350658202313,"4190/2730/586/1789/26227/4507/2937/191/6611/259307/587/3945/6723/2805/2806/1786/3939/29968/56267/58478/4191/51074/875/10768",24
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","46/1500","89/4933",0.51685393258427,1.69976029962547,4.40314003095432,1.91315556803565e-05,0.000582904333582637,0.000520616310695817,"4190/5214/5315/2023/38/4200/2271/26227/5634/5230/2821/2597/7167/2805/39/35/2806/1892/55902/29968/8803/2098/5211/5226/6391/275/4594/4191/5723/414328/226/1737/22934/3098/2539/51/8802/84706/5162/5223/5091/6470/6888/3418/6472/6392",46
