GeneID,Symbol,Module,Module_kME,PValue_kME,Is_Hub,Predicted_BP,Predicted_MF,Predicted_CC,Predicted_KEGG,log2FoldChange,padj_DE
ENSG00000253824.3,,blue,0.8374647655984456,1.6213495319645523e-11,TRUE,nuclear chromosome segregation; chromosome segregation; sister chromatid segregation; nuclear division; organelle fission,"ligase activity; structural constituent of chromatin; ATP-dependent activity, acting on DNA; protein heterodimerization activity; oxidoreduction-driven active transmembrane transporter activity",mitochondrial matrix; chromosomal region; condensed chromosome; mitochondrial inner membrane; nuclear chromosome,Cell cycle; Carbon metabolism; Parkinson disease; Biosynthesis of amino acids; Prion disease,6.687376631498128,1.703766904384683e-21
ENSG00000235532.3,LINC00402,blue,-0.8695201518055097,3.3471205877904204e-13,TRUE,nuclear chromosome segregation; chromosome segregation; sister chromatid segregation; nuclear division; organelle fission,"ligase activity; structural constituent of chromatin; ATP-dependent activity, acting on DNA; protein heterodimerization activity; oxidoreduction-driven active transmembrane transporter activity",mitochondrial matrix; chromosomal region; condensed chromosome; mitochondrial inner membrane; nuclear chromosome,Cell cycle; Carbon metabolism; Parkinson disease; Biosynthesis of amino acids; Prion disease,-6.6113679999266,8.75558964801377e-52
ENSG00000262429.1,,blue,0.8725437821592952,2.2035781968339609e-13,TRUE,nuclear chromosome segregation; chromosome segregation; sister chromatid segregation; nuclear division; organelle fission,"ligase activity; structural constituent of chromatin; ATP-dependent activity, acting on DNA; protein heterodimerization activity; oxidoreduction-driven active transmembrane transporter activity",mitochondrial matrix; chromosomal region; condensed chromosome; mitochondrial inner membrane; nuclear chromosome,Cell cycle; Carbon metabolism; Parkinson disease; Biosynthesis of amino acids; Prion disease,6.292146969799954,1.3672439007270456e-15
ENSG00000306025.1,,turquoise,0.8898826796587734,1.601649127703406e-14,TRUE,transcription initiation at RNA polymerase II promoter; DNA-templated transcription initiation; transcription preinitiation complex assembly,Unknown,nuclear ribonucleoprotein granule,Biosynthesis of cofactors,-5.79821682268311,1.6718039850689218e-20
ENSG00000235059.7,,blue,-0.8715846317795527,2.5189042006623105e-13,TRUE,nuclear chromosome segregation; chromosome segregation; sister chromatid segregation; nuclear division; organelle fission,"ligase activity; structural constituent of chromatin; ATP-dependent activity, acting on DNA; protein heterodimerization activity; oxidoreduction-driven active transmembrane transporter activity",mitochondrial matrix; chromosomal region; condensed chromosome; mitochondrial inner membrane; nuclear chromosome,Cell cycle; Carbon metabolism; Parkinson disease; Biosynthesis of amino acids; Prion disease,-5.326346660332596,7.011914877296602e-24
ENSG00000227145.3,IL21-AS1,blue,0.8890878097876979,1.8230966438014804e-14,TRUE,nuclear chromosome segregation; chromosome segregation; sister chromatid segregation; nuclear division; organelle fission,"ligase activity; structural constituent of chromatin; ATP-dependent activity, acting on DNA; protein heterodimerization activity; oxidoreduction-driven active transmembrane transporter activity",mitochondrial matrix; chromosomal region; condensed chromosome; mitochondrial inner membrane; nuclear chromosome,Cell cycle; Carbon metabolism; Parkinson disease; Biosynthesis of amino acids; Prion disease,5.096614797151983,5.404779757901571e-13
ENSG00000288767.3,,blue,0.8383312651811085,1.4765228549187106e-11,TRUE,nuclear chromosome segregation; chromosome segregation; sister chromatid segregation; nuclear division; organelle fission,"ligase activity; structural constituent of chromatin; ATP-dependent activity, acting on DNA; protein heterodimerization activity; oxidoreduction-driven active transmembrane transporter activity",mitochondrial matrix; chromosomal region; condensed chromosome; mitochondrial inner membrane; nuclear chromosome,Cell cycle; Carbon metabolism; Parkinson disease; Biosynthesis of amino acids; Prion disease,4.945274893148096,7.549919028707578e-15
ENSG00000301057.1,,turquoise,0.938535892077797,3.8115054552862517e-19,TRUE,transcription initiation at RNA polymerase II promoter; DNA-templated transcription initiation; transcription preinitiation complex assembly,Unknown,nuclear ribonucleoprotein granule,Biosynthesis of cofactors,-4.933205789246418,2.1233628597723968e-19
ENSG00000287692.2,,blue,0.8772889583942391,1.1187551511071754e-13,TRUE,nuclear chromosome segregation; chromosome segregation; sister chromatid segregation; nuclear division; organelle fission,"ligase activity; structural constituent of chromatin; ATP-dependent activity, acting on DNA; protein heterodimerization activity; oxidoreduction-driven active transmembrane transporter activity",mitochondrial matrix; chromosomal region; condensed chromosome; mitochondrial inner membrane; nuclear chromosome,Cell cycle; Carbon metabolism; Parkinson disease; Biosynthesis of amino acids; Prion disease,4.896432508158756,3.8595288177324655e-11
ENSG00000278041.2,,blue,0.8935787403373471,8.655289753432383e-15,TRUE,nuclear chromosome segregation; chromosome segregation; sister chromatid segregation; nuclear division; organelle fission,"ligase activity; structural constituent of chromatin; ATP-dependent activity, acting on DNA; protein heterodimerization activity; oxidoreduction-driven active transmembrane transporter activity",mitochondrial matrix; chromosomal region; condensed chromosome; mitochondrial inner membrane; nuclear chromosome,Cell cycle; Carbon metabolism; Parkinson disease; Biosynthesis of amino acids; Prion disease,4.856473667375698,1.6256363968199317e-13
