Analysis,Module,Type,Ontology,Gene_Scope,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Source_File,category,subcategory
cd4_all,black,GO,CC,AllGenes,GO:0042613,MHC class II protein complex,4/189,15/13625,0.266666666666667,19.2239858906526,8.37545017537361,4.34375781445731e-5,0.0144647135221428,0.0133513398086477,CD74/HLA-DQB1/HLA-DRB1/HLA-DPA1,4,cd4_all_black_GO_CC_AllGenes.csv,NA,NA
cd4_all,black,GO,CC,AllGenes,GO:0042611,MHC protein complex,4/189,22/13625,0.181818181818182,13.1072631072631,6.74043916974047,2.1573655694226e-4,0.0239906169678715,0.0221440181906701,CD74/HLA-DQB1/HLA-DRB1/HLA-DPA1,4,cd4_all_black_GO_CC_AllGenes.csv,NA,NA
cd4_all,black,GO,CC,AllGenes,GO:0098576,lumenal side of membrane,5/189,40/13625,0.125,9.01124338624339,6.01794649739663,2.1613168439523e-4,0.0239906169678715,0.0221440181906701,CD74/HLA-DQB1/HLA-DRB1/DNAJC19/HLA-DPA1,5,cd4_all_black_GO_CC_AllGenes.csv,NA,NA
cd4_all,black,GO,CC,AllGenes,GO:0030139,endocytic vesicle,12/189,288/13625,0.0416666666666667,3.00374779541446,4.07622781173359,6.9258094239626e-4,0.0467213084126407,0.0431250894783976,EHD3/CD74/ITGB5/RAB5C/GNLY/RAB11FIP1/ZYX/NOS3/HLA-DQB1/HLA-DRB1/HLA-DPA1/SEC22B,12,cd4_all_black_GO_CC_AllGenes.csv,NA,NA
cd4_all,black,GO,CC,AllGenes,GO:0044853,plasma membrane raft,6/189,78/13625,0.0769230769230769,5.54538054538055,4.77467929998498,7.3853226457788e-4,0.0467213084126407,0.0431250894783976,SLC2A1/SKAP1/AKAP6/ITGB2/NOS3/DAG1,6,cd4_all_black_GO_CC_AllGenes.csv,NA,NA
cd4_all,black,GO,CC,AllGenes,GO:0098553,lumenal side of endoplasmic reticulum membrane,4/189,31/13625,0.129032258064516,9.30192865676737,5.48825691188898,8.4182537680433e-4,0.0467213084126407,0.0431250894783976,CD74/HLA-DQB1/HLA-DRB1/HLA-DPA1,4,cd4_all_black_GO_CC_AllGenes.csv,NA,NA
cd4_all,black,KEGG,KEGG,AllGenes,hsa05416,Viral myocarditis,6/96,55/6217,0.109090909090909,7.06477272727273,5.65737488410877,1.8244631579159e-4,0.0375557608360814,0.0338323622709375,842/3689/1605/3119/3123/3113,6,cd4_all_black_KEGG_AllGenes.csv,Human Diseases,Cardiovascular disease
cd4_all,black,KEGG,KEGG,AllGenes,hsa05152,Tuberculosis,9/96,144/6217,0.0625,4.04752604166667,4.63347645594514,3.4935591475424e-4,0.0375557608360814,0.0338323622709375,4800/572/972/5878/842/3689/3119/3123/3113,9,cd4_all_black_KEGG_AllGenes.csv,Human Diseases,Infectious disease: bacterial
cd4_all,blue,GO,BP,AllGenes,GO:0098813,nuclear chromosome segregation,155/4070,296/12980,0.523648648648649,1.6700146092038,7.8809936931386,2.74283936945414e-14,1.50965878894756e-10,1.45688078508059e-10,POLDIP2/CDC27/NCAPD2/DPF1/TACC3/MRE11/MSH4/RIOK2/ASPM/STAG3/TRIP13/CLASP1/ACTB/MLH1/SPAG5/TOP2B/ZCWPW1/SMARCA2/NDC80/SEH1L/AURKA/TPX2/ANAPC5/BIRC5/NUDC/KIF4A/MAP3K20/CDC6/BCL7C/DMC1/CCNB1IP1/MYBL2/KIF3B/CHMP4B/FAM83D/CENPI/RAB11A/CCNE1/PPP2R1A/BCCIP/SMC3/KPNB1/SMARCD2/NCAPG/BCL7A/FBXO5/TTK/SMC4/ECT2/ACTR3/CDC20/NEK2/CENPF/STAG1/KIF14/MLH3/TEX14/NCAPH/MND1/KIF18A/ZWINT/CENPK/MAD2L1BP/DLGAP5/SMARCA4/KNSTRN/SGO1/CDC16/CHMP2A/LATS1/CHMP1A/TUBG1/PSMC3IP/TOP2A/RAN/VPS4A/TEX15/DPF2/CCNB1/PSRC1/CDCA8/ESPL1/BRIP1/CDK5RAP2/NUSAP1/KIF23/KNL1/KIF11/HECW2/CENPE/RB1/ANAPC11/KIF2C/NUF2/ANKRD53/FANCD2/DYNC1LI1/NCAPG2/CHMP7/ATM/INCENP/DSN1/NCAPD3/SPC25/ANAPC1/SMARCA5/BUB3/SKA1/TTN/NSMCE2/BUB1B/CCNB2/KASH5/SPC24/KIF15/MAD2L1/PTTG1/RAD21/DCAF13/SKA3/PRAP1/GOLGA2/CDT1/DDB1/BUB1/CDK1/SYCE1/IHO1/ZWILCH/UBE2C/DCTN2/RMI2/HASPIN/GEN1/AURKB/RRS1/RCC2/RCC1/CHEK2/KMT5A/KNTC1/DRG1/KIF18B/PPP1CC/SIRT7/PRC1/KIFC1/MSH5/BAG6/MZT1/LCMT1/PTTG2/PINX1/CHMP4A/UHRF1,155,cd4_all_blue_GO_BP_AllGenes.csv,NA,NA
cd4_all,blue,GO,BP,AllGenes,GO:0007059,chromosome segregation,195/4070,404/12980,0.482673267326733,1.53933636606904,7.44317262876484,4.48128517634984e-13,1.0526013155868801e-9,1.0158021416867e-9,POLDIP2/CDC27/NCAPD2/DPF1/TACC3/MRE11/MSH4/RIOK2/ASPM/STAG3/CSNK2A2/RAD18/TRIP13/CLASP1/NUP37/ACTB/MLH1/SPAG5/TOP2B/ZCWPW1/SMARCA2/NDC80/MAPRE3/SEH1L/AURKA/TPX2/ANAPC5/BIRC5/NUDC/KIF4A/MAP3K20/HAUS4/CDC6/BCL7C/CENPM/DMC1/CCNB1IP1/MYBL2/TUBB1/CSNK2A1/KIF3B/CHMP4B/FAM83D/CENPI/RAB11A/OIP5/CCNE1/PPP2R1A/BCCIP/SMC3/KPNB1/SMARCD2/NCAPG/CCDC86/BCL7A/FBXO5/SENP6/TTK/SMC4/ECT2/ACTR3/CDC20/NEK2/CENPF/STAG1/KIF14/MLH3/TEX14/NCAPH/MND1/KIF18A/GPSM2/ZWINT/CENPK/STIL/HJURP/MAD2L1BP/TUBGCP3/DLGAP5/SMARCA4/KNSTRN/SGO1/MAU2/CDC16/CHMP2A/LATS1/CHMP1A/TUBG1/PSMC3IP/TOP2A/RAN/VPS4A/TEX15/DPF2/CCNB1/ARL8B/PSRC1/CDCA8/ESPL1/BRIP1/CDK5RAP2/PPP2R1B/NUSAP1/KIF23/KNL1/HAUS2/CENPO/KIF11/HECW2/CENPE/RB1/DIAPH3/ANAPC11/KIF2C/NUF2/ANKRD53/FANCD2/DYNC1LI1/NCAPG2/CHMP7/HAUS6/MKI67/ATM/INCENP/DSN1/NCAPD3/CENPU/HAUS1/SPC25/CENPH/ANAPC1/SMARCA5/BUB3/SKA1/MMS19/TTN/NSMCE2/BUB1B/CCNB2/KASH5/SPC24/KIF15/MAD2L1/PTTG1/RAD21/DCAF13/SKA3/PRAP1/CIAO2B/GOLGA2/CDT1/DDB1/BUB1/CENPX/CDK1/ESCO2/HDAC3/SYCE1/IHO1/ZWILCH/UBE2C/DCTN2/CENPS/RMI2/HASPIN/GEN1/AURKB/RRS1/RCC2/RCC1/TUBB/CHEK2/KMT5A/KNTC1/CDCA2/DRG1/KIF18B/PPP1CC/SIRT7/CENPP/TLK1/PRC1/CENPW/KIFC1/MSH5/BAG6/MZT1/LCMT1/HAUS7/PPP2R2A/PTTG2/PINX1/CHMP4A/NDE1/UHRF1,195,cd4_all_blue_GO_BP_AllGenes.csv,NA,NA
