Package	Version
CorLevelPlot	0.99.0
WGCNA	1.73
fastcluster	1.3.0
dynamicTreeCut	1.63-1
org.Hs.eg.db	3.22.0
AnnotationDbi	1.72.0
clusterProfiler	4.18.0
biomaRt	2.66.0
DESeq2	1.50.0
SummarizedExperiment	1.40.0
Biobase	2.70.0
MatrixGenerics	1.22.0
matrixStats	1.5.0
GenomicRanges	1.62.0
Seqinfo	1.0.0
IRanges	2.44.0
S4Vectors	0.48.0
BiocGenerics	0.56.0
generics	0.1.4
edgeR	4.8.0
limma	3.66.0
tximport	1.38.0
Hmisc	5.2-4
gridExtra	2.3
ggrepel	0.9.6
knitr	1.50
lubridate	1.9.4
forcats	1.0.1
stringr	1.5.2
dplyr	1.1.4
purrr	1.1.0
readr	2.1.5
tidyr	1.3.1
tibble	3.3.0
ggplot2	4.0.0
tidyverse	2.0.0
